layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass
0,6,,14.743970844739273,acknow,0.0004500626237131655,elli,0.0003140315238852054,transferred,0.00021730329899583012,ouver,0.0002127497864421457,scription,0.00020834016322623938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9985975126037374
1,6,,14.367465049609207,dici,0.0009431531652808189,acknow,0.0009184320224449039,anth,0.0008606979390606284,human,0.0008156131953001022,separated,0.0007973816245794296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9956647220533341
2,6,,14.113124722762423,rapidly,0.0016969755524769425,kn,0.0011082410346716642,th,0.0009968819795176387,controlling,0.0009449596400372684,thorough,0.0009161689085885882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9943367728847079
3,6,,14.061518920613924,bat,0.0014887441648170352,PER,0.0010245463345199823,contro,0.0009582286002114415,ynchron,0.0009188008261844516,rog,0.0009012225782498717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9947084574960172
4,6,,13.717965001389171,progressive,0.0023889702279120684,supp,0.0022916547022759914,",",0.0018794774077832699,ch,0.0017048476729542017,bro,0.0016567951533943415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9900782548356801
5,6,,13.690266163571811,civilization,0.00306368013843894,horn,0.002759720664471388,pure,0.0020233108662068844,collective,0.0018918568966910243,……,0.0018909667851403356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9883704646490514
6,6,,13.638214582392276,la,0.0032000988721847534,Aires,0.0021033817902207375,dry,0.002058464800938964,pl,0.002045548055320978,ch,0.0020138155668973923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9885786909144372
7,6,,13.477742386386414,city,0.01082295086234808,deep,0.00312435464002192,Aires,0.003119210246950388,ould,0.002354739233851433,ch,0.0020057165529578924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9785730284638703
8,6,,13.553853652491052,uty,0.0033788031432777643,NOT,0.0031534391455352306,officially,0.0030524390749633312,ch,0.002356979064643383,​,0.002256092382594943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9858022471889853
9,6,,13.64777131433542,city,0.005333487875759602,​,0.00500192167237401,officially,0.0026304423809051514,ch,0.0019452247070148587,uty,0.0015481958398595452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9835407275240868
10,6,,13.70119325327703,surrounded,0.004140955395996571,city,0.0035374013241380453,officially,0.0027892026118934155,farm,0.0020200784783810377,oux,0.001657886547036469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9858544756425545
11,6,,13.720844678895219,city,0.005205954425036907,ště,0.005042250733822584,neither,0.0029730647802352905,Â,0.0023113503120839596,ch,0.0017496407963335514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9827177389524877
12,6,,13.78050614841013,city,0.0057960981503129005,officially,0.0034081300254911184,/******/,0.0029004875104874372,nder,0.0016542926896363497,ennes,0.0016079931519925594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9846329984720796
13,6,,13.614229193972346,city,0.0121152363717556,surrounded,0.004774765577167273,stadt,0.0041817775927484035,ště,0.0035381349734961987,/******/,0.003382285125553608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9720078003592789
14,6,,13.622178920025828,city,0.013053159229457378,officially,0.004514601547271013,​,0.0034929499961435795,surrounded,0.0032327419612556696,etta,0.0032053873874247074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9725011598784477
15,6,,13.690495932393365,officially,0.008715610951185226,city,0.003998380620032549,​,0.0028820300940424204,distance,0.002427777275443077,surrounded,0.00211333972401917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9798628613352776
16,6,,13.279017121245042,city,0.03571237623691559,officially,0.005087388679385185,omer,0.0031565006356686354,cities,0.003098907181993127,distance,0.0025572190061211586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9503876082599163
17,6,,11.724372381534046,city,0.14442113041877747,/******/,0.03567439690232277,cities,0.016435226425528526,cidade,0.006848572287708521,City,0.005676209926605225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7909444640390575
