layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass,copy_collapse,entropy_collapse,is_answer
0,15,⟨NEXT⟩,7.83997222914665,CLICK,0.1901724487543106,称之,0.07883410155773163,flix,0.04024490341544151,oreal,0.0392814502120018,嵯,0.02708832174539566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6243787743151188,False,False,False
1,15,⟨NEXT⟩,8.525797764951324,湾,0.1121528148651123,标配,0.06176425516605377, Hentai,0.03645933419466019,首富,0.0302582960575819, hitters,0.02150426059961319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7378610391169786,False,False,False
2,15,⟨NEXT⟩,8.594777254489982,湾,0.12546037137508392, hitters,0.04329356923699379, Hentai,0.0327831469476223,标配,0.03084423765540123, offseason,0.022839011624455452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7447796631604433,False,False,False
3,15,⟨NEXT⟩,8.824698108706057,湾,0.173884779214859, Atari,0.03354647383093834, hitters,0.021200861781835556, offseason,0.014751603826880455,fä,0.014245507307350636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.742370774038136,False,False,False
4,15,⟨NEXT⟩,7.646859101868233,湾,0.33276206254959106,院子,0.04846041277050972, décor,0.018815182149410248,tube,0.013131682761013508, hitters,0.011904423125088215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5749262366443872,False,False,False
5,15,⟨NEXT⟩,11.190607026316233,院子,0.022254914045333862,湾,0.02204423025250435,town,0.020507819950580597,-minded,0.019091887399554253,tion,0.013778294436633587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9023228539153934,False,False,False
6,15,⟨NEXT⟩,9.572502064298067,-minded,0.15124328434467316,tion,0.09579472243785858,town,0.027603380382061005,tics,0.01693270355463028,驿,0.011063924059271812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6973619852215052,False,False,False
7,15,⟨NEXT⟩,8.740268385744487,mente,0.13754108548164368,-minded,0.1133396178483963,ly,0.053055595606565475,-looking,0.045824844390153885,tion,0.027397288009524345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6228415686637163,False,False,False
8,15,⟨NEXT⟩,7.908572668922806,tion,0.18904753029346466,-minded,0.0896625891327858,tics,0.08283794671297073,mente,0.04052203893661499,ly,0.02296438254415989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5749655123800039,False,False,False
9,15,⟨NEXT⟩,7.6938055500395555,ifiable,0.27230849862098694,地说,0.06056377664208412,介绍一下,0.028508592396974564,俗,0.02545730024576187,-minded,0.018895305693149567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5942665264010429,False,False,False
