layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass
0,6, ,-0.0, ,1.0,"

",0.0,"
",0.0, (,0.0,",",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1,6, ,1.0392441903912912e-05, ,0.9999995231628418,<bos>,4.610533039794973e-07, (,4.847638675024857e-14,"
",8.915555400608281e-15, C,1.0923019250436237e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5783795714874316e-08
2,6, ,2.3209825776558874,KommentareTeilen,0.39325520396232605,ANZE,0.35949045419692993,RenderAtEndOf,0.10688883066177368, myſelf,0.02700851671397686,<bos>,0.024555163457989693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08880183100700378
3,6, ,1.0315414489334236,IntoConstraints,0.847429633140564,RenderAtEndOf,0.06349543482065201,ANZE,0.034006498754024506, surla,0.011914066039025784,InputTagHelper,0.008597631938755512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034556735306978226
4,6, ,1.1302945749894517,ANZE,0.7188692688941956, jouet,0.24566765129566193, chrétien,0.007871408946812153, tatouage,0.006976968143135309, enfans,0.005635978188365698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014978724531829357
5,6, ,2.872835348264942, Grecs,0.44876495003700256, féminin,0.18223345279693604, Generales,0.08355660736560822, marbre,0.0656883716583252, littéraire,0.05289223790168762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16686438024044037
6,6, ,0.01426152158689458, capitales,0.9989275336265564,capital,0.0006002763984724879, capital,0.0002215575223090127, Capital,0.00010831494728336111, capitale,6.142721395008266e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.089029142865911e-05
7,6, ,2.1013958169648568, capitale,0.349891722202301, capital,0.27040475606918335, capitales,0.24503092467784882,capital,0.08672758936882019, Capital,0.039740271866321564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008204735815525055
8,6, ,0.1399861385830374, capital,0.9843546152114868, capitale,0.0091276029124856, Capital,0.004395757336169481, Hauptstadt,0.0013155981432646513,Capital,0.0007120739901438355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.435240644961596e-05
9,6, ,0.05929601713074398, capital,0.9943245649337769, capitale,0.002847676631063223,Capital,0.0017948633758351207, Capital,0.0009619899792596698, Hauptstadt,5.691733895218931e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3987741112941876e-05
10,6, ,0.4059186980372523, capital,0.9410374164581299,Capital,0.03953155130147934, capitale,0.011311903595924377, Hauptstadt,0.006186281330883503,"
",0.0008045837748795748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0011282635387033224
11,6, ,0.6674660008641046, capital,0.9048639535903931,capital,0.03450823947787285, capitale,0.03239048272371292,Capital,0.012245900928974152, city,0.0077060735784471035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008285349700599909
12,6, ,3.5048193074599014,"
",0.2453528791666031,1,0.14258421957492828, capital,0.13847070932388306, ,0.1053495854139328, city,0.07769650220870972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29054610431194305
13,6, ,1.118269892006426,"
",0.8286723494529724,"

",0.06687267124652863, ,0.05255918949842453, city,0.01413265336304903,  ,0.011068309657275677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026694826781749725
