layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass
0,0,<bos>,-0.0,<bos>,1.0, مرئيه,0.0," >="",",0.0, autorytatywna,0.0,RegressionTest,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
0,1,The,1.255186804991866e-33,The,1.0, The,1.0806076920509284e-35, ,0.0,"

",0.0,In,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
0,2, capital,1.4510477568919973e-27, capital,1.0,capital,1.5037978483289808e-29, Capital,1.089052022745869e-31,Capital,1.852005196791419e-36, CAPITAL,3.681952352668922e-39,CAPITAL,0.0, capitals,0.0, capitol,0.0, capitale,0.0, capitalize,0.0, capitalized,0.0,资本,0.0,資本,0.0,kapital,0.0, capi,0.0, capitalization,0.0, kapital,0.0, Capitals,0.0, Capitol,0.0, Kapital,0.0,0.0
0,3, of,1.8326765921244778e-38, of,1.0,",",1.1181520966233445e-40, ,2.5853956666792875e-41, in,4.203895392974451e-45,.,2.802596928649634e-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
0,4, Germany,4.865951384127087e-14, Germany,1.0,Germany,9.758406122685514e-16, germany,3.8124871014377924e-26, GERMANY,3.39115920240472e-31,germany,1.226429531233875e-34, German,8.334923265804012e-42, Germans,4.131027872829561e-42, Italy,1.5414283107572988e-44,<unused43>,0.0,<unused8>,0.0,<unused41>,0.0,<unused74>,0.0,<unused79>,0.0,<unused16>,0.0,[@BOS@],0.0,<unused14>,0.0,<pad>,0.0,<unused3>,0.0,<unused28>,0.0,<unused80>,0.0,0.0
0,5, is,-0.0, is,1.0, ,0.0, has,0.0,",",0.0, was,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
0,6, ,-0.0, ,1.0,"

",0.0,"
",0.0, (,0.0,",",0.0,  ,0.0,.,0.0,-,0.0,1,0.0,2,0.0," """,0.0,:,0.0,',0.0,3,0.0,(,0.0, A,0.0, a,0.0, -,0.0,<eos>,0.0,/,0.0,0.0
1,0,<bos>,1.302442649098614e-24,<bos>,1.0,<h1>,1.3540533970902275e-26,The,5.299109093651496e-28,<strong>,4.966273732522383e-28,"

",3.0841351017281376e-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1,1,The,3.453361774454406e-17,The,1.0, The,5.698036751498828e-19, THE,3.5813531359150437e-39,the,1.973840990878651e-40,THE,7.58662988585456e-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1,2, capital,3.67202018988785e-24, capital,1.0,capital,4.358583458648024e-26, Capital,7.343726043202839e-31,Capital,2.6289037780433835e-32, CAPITAL,2.4477414146499757e-35,CAPITAL,0.0, capitale,0.0, capitals,0.0, capitol,0.0, capitales,0.0,资本,0.0, capitalize,0.0, kapital,0.0, capitalized,0.0,資本,0.0, Hauptstadt,0.0, Kapital,0.0,kapital,0.0, столи,0.0, capitalization,0.0,0.0
1,3, of,2.324119301180139e-28, of,1.0, Of,1.2228255838383729e-30, OF,6.2084777977662645e-31,of,4.824223643599524e-31, của,1.671681536563914e-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1,4, Germany,1.7115858538430534e-13, Germany,1.0,Germany,3.566210301782051e-15, germany,1.5225622893662548e-23, Alemania,4.955723603072454e-24, GERMANY,3.410960959577655e-29,germany,3.4172054241945764e-33, Allemagne,2.7372768083114142e-34, German,1.0383384677892159e-35, Tyskland,5.767155440548871e-36, Germans,5.559661466297962e-39, Duitsland,1.5685098048788402e-39, Deutschland,6.213259299923736e-40, Alemanha,4.4483519100759156e-40,GERMANY,3.4037539698449807e-42,德国,7.538985738067516e-43,Allemagne,2.802596928649634e-45, Германии,2.802596928649634e-45,German,1.401298464324817e-45, Jerman,0.0,Alemania,0.0,0.0
1,5, is,7.346897523826093e-36, is,1.0, has,5.171532900505896e-38, was,7.428560616481792e-39, are,2.7213216177187948e-42, Is,3.923635700109488e-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
