layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass,copy_collapse,entropy_collapse,is_answer
0,16,⟨NEXT⟩,13.039965364129358,泛,0.015290618874132633,ivec,0.008573808707296848, pro,0.008062455803155899, faced,0.007438334636390209,ty,0.007430011406540871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9532047705724835,False,False,False
1,16,⟨NEXT⟩,12.817316624322366,mente,0.0523335263133049,tons,0.015244368463754654,pulse,0.007958830334246159, unr,0.007220170460641384, Sext,0.006485539022833109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9107575654052198,False,False,False
2,16,⟨NEXT⟩,12.466059258200167,tics,0.06635958701372147,tones,0.02350948378443718,mente,0.015529411844909191,tons,0.014680827967822552,pulse,0.00961727648973465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.870303412899375,False,False,False
3,16,⟨NEXT⟩,13.295414635108905,tones,0.016184024512767792,Simply,0.006561769172549248," ($(""#",0.006486473139375448,interp,0.006292369682341814,936,0.006191868335008621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9582834951579571,False,False,False
4,16,⟨NEXT⟩,12.993834113723127,tones,0.016839005053043365,interp,0.01635543629527092,Samples,0.014591356739401817,aires,0.01452725101262331,�,0.009716268628835678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9279706822708249,False,False,False
5,16,⟨NEXT⟩,8.933203338996611,�,0.3769679069519043,tones,0.027180852368474007,tons,0.014451686292886734, Aviv,0.006873704958707094,ovně,0.00603723619133234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5684886132366955,False,False,False
6,16,⟨NEXT⟩,13.350363779990177,rops,0.014350146055221558,�,0.00936902966350317,aires,0.006974885705858469,tones,0.006298580672591925,toDate,0.005786918103694916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95722043979913,False,False,False
7,16,⟨NEXT⟩,12.915487073157271, bul,0.02770528569817543, simply,0.025086132809519768,AllowAnonymous,0.009843133389949799,Exited,0.007954664528369904, Gur,0.00727910315617919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9221316804178059,False,False,False
8,16,⟨NEXT⟩,12.958091991290214,urement,0.026586808264255524, bul,0.020154856145381927,�单,0.019813641905784607,apı,0.011437034234404564,biased,0.010536137968301773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9114715214818716,False,False,False
9,16,⟨NEXT⟩,12.993509410478298,�单,0.021834321320056915,RITE,0.01828942261636257, Bulg,0.00751116219907999,tics,0.0073286136612296104, bul,0.007156402803957462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9378800773993134,False,False,False
10,16,⟨NEXT⟩,13.279597734674356,biased,0.00860975868999958,ully,0.007276902906596661, adul,0.007163483649492264, h,0.0071411109529435635, bul,0.0059697749093174934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9638389688916504,False,False,False
11,16,⟨NEXT⟩,13.111387695240873, Gott,0.009788263589143753,inar,0.008874607272446156, h,0.008713462390005589, Freed,0.007237519137561321,283,0.0062202150002121925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.959165932610631,False,False,False
12,16,⟨NEXT⟩,13.398750066914523,LEGAL,0.008532091043889523, Freed,0.007217092905193567,龄,0.0069804987870156765,inar,0.006406893953680992,283,0.005828838795423508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9650345845147967,False,False,False
13,16,⟨NEXT⟩,13.3478569608712, Freed,0.01525625865906477,macros,0.010325460694730282,][_,0.006557118147611618,onia,0.005715545266866684,ValuePair,0.005547589622437954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9565980276092887,False,False,False
14,16,⟨NEXT⟩,12.90063052384514, simply,0.030872026458382607, tie,0.016128795221447945,endar,0.011631103232502937, ๆ,0.010770376771688461,ValuePair,0.009367600083351135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9212300982326269,False,False,False
15,16,⟨NEXT⟩,11.492429011343823, simply,0.17022588849067688,龄,0.010869232937693596, IReadOnly,0.009978355839848518,ycz,0.009825650602579117, reg,0.00831590685993433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7907849652692676,False,False,False
16,16,⟨NEXT⟩,9.504939711802518, simply,0.3269846737384796,Simply,0.024359218776226044,tics,0.01487655658274889,ンピ,0.01341702789068222, Simply,0.009049180895090103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6113133421167731,False,False,False
17,16,⟨NEXT⟩,11.920654117171958, simply,0.1319599151611328, plain,0.028234431520104408,umno,0.01242833398282528,tons,0.008545853197574615,ンピ,0.006396826356649399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8124346397817135,False,False,False
18,16,⟨NEXT⟩,7.946625550252712, simply,0.47403350472450256,Simply,0.006827775854617357,각,0.006006139796227217, plain,0.004149838350713253,ystate,0.0038842991925776005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.505098442081362,False,False,False
19,16,⟨NEXT⟩,11.790017471437777, simply,0.12373501807451248, ',0.06457319110631943, Rif,0.009463828057050705,Sortable,0.006743417587131262,.enterprise,0.006535152904689312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7889493922702968,False,False,False
20,16,⟨NEXT⟩,12.480994231601093, ',0.08883184939622879, simply,0.03090270608663559,)application,0.010369585826992989,tons,0.008555818349123001, Erotische,0.007018119562417269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8543219207786024,False,False,False
21,16,⟨NEXT⟩,12.377796385916167, ',0.10609978437423706,tons,0.022903449833393097, simply,0.015606064349412918,)application,0.015465520322322845,imas,0.006163727026432753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8337614540942013,False,False,False
22,16,⟨NEXT⟩,13.047535352489737, simply,0.057217203080654144, ',0.01789202354848385,tons,0.010490348562598228, MainAxisAlignment,0.009394058026373386,abouts,0.005822216160595417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.899184150621295,False,False,False
