layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass,copy_collapse,entropy_collapse,is_answer
0,15,⟨NEXT⟩,7.831247205303078,CLICK,0.19060134887695312,称之,0.07897135615348816,flix,0.04029890149831772,oreal,0.039334118366241455,嵯,0.027118563652038574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.623675711452961,False,False,False
1,15,⟨NEXT⟩,8.525716589140115,湾,0.112159363925457,标配,0.0617649145424366, Hentai,0.0364593081176281,首富,0.030258677899837494, hitters,0.021504264324903488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7378534711897373,False,False,False
2,15,⟨NEXT⟩,8.594741482098602,湾,0.12546153366565704, hitters,0.043293848633766174, Hentai,0.0327833890914917,标配,0.030844232067465782, offseason,0.02283933386206627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.744777662679553,False,False,False
3,15,⟨NEXT⟩,8.824666463898298,湾,0.17388686537742615, Atari,0.03354661539196968, hitters,0.02120095118880272, offseason,0.01475148368626833,fä,0.014245527796447277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7423685565590858,False,False,False
4,15,⟨NEXT⟩,7.646854974284612,湾,0.3327619731426239,院子,0.04846048355102539, décor,0.018815085291862488,tube,0.013131864368915558, hitters,0.011904507875442505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5749260857701302,False,False,False
5,15,⟨NEXT⟩,11.190607714246836,院子,0.022255003452301025,湾,0.022044319659471512,town,0.020507920533418655,-minded,0.019091928377747536,tion,0.013778313994407654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9023225139826536,False,False,False
6,15,⟨NEXT⟩,9.57250481602048,-minded,0.15124337375164032,tion,0.09579440206289291,town,0.027603261172771454,tics,0.016932841390371323,驿,0.011063972488045692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6973621491342783,False,False,False
7,15,⟨NEXT⟩,8.740291087454402,mente,0.1375391036272049,-minded,0.11333915591239929,ly,0.053055986762046814,-looking,0.045824307948350906,tion,0.027397673577070236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6228437721729279,False,False,False
8,15,⟨NEXT⟩,7.908569917200393,tion,0.18904827535152435,-minded,0.08966250717639923,tics,0.08283794671297073,mente,0.04052203893661499,ly,0.022964272648096085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5749649591743946,False,False,False
9,15,⟨NEXT⟩,7.693815868998607,ifiable,0.2723070979118347,地说,0.06056399270892143,介绍一下,0.028508640825748444,俗,0.025457534939050674,-minded,0.018895119428634644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5942676141858101,False,False,False
