layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass
0,0,Give,9.99366281075936,spr,0.032537657767534256,KT,0.018404390662908554,明知,0.016073063015937805,"',)
",0.016058845445513725,csi,0.01592632383108139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9009997192770243
0,1, the,8.643238525850105, inspected,0.10198836773633957, net,0.04025902971625328, interviewed,0.03404175117611885, complexion,0.03343797102570534,沱,0.030134912580251694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7601379677653313
0,2, city,9.093849581445147,Dat,0.07751351594924927, Dat,0.046078525483608246,asia,0.04244402050971985, custom,0.02634042128920555,还好,0.02314760535955429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7844759114086628
0,3, name,5.90870887368662,ýt,0.43869727849960327, translating,0.05131017044186592, skept,0.04116221144795418,calcul,0.027844281867146492,eting,0.025549083948135376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41543697379529476
0,4, only,9.083947508339069,挚,0.05590447038412094,一个小,0.03844933956861496, spark,0.030102398246526718,Atomic,0.03002813644707203,熊,0.027654826641082764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8178608287125826
0,5,",",10.687279160648119,POR,0.05003776401281357, PAD,0.03797100484371185, unchecked,0.031349167227745056,声誉,0.023432288318872452, inspections,0.01981123350560665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8373985420912504
0,6, plain,3.4202829552547964,锣,0.6122711896896362,胞,0.1358177661895752, TSA,0.036977361887693405,lights,0.018713999539613724, Sax,0.00820004940032959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18801963329315186
0,7, text,8.35676840016913,MOVED,0.16102349758148193, dig,0.07825738191604614,Scaling,0.025514502078294754, bet,0.02390485256910324,blur,0.022640906274318695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6886588595807552
0,8,.,1.6901429910197692,чрежден,0.6449993252754211,蔊,0.2397545576095581,鲯,0.041394736617803574,堼,0.011488128453493118,榃,0.011202031746506691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05116122029721737
0,9, The,6.570026881743343,范冰,0.11336342990398407, parallels,0.0910806953907013,谢韵,0.07944774627685547,谷爱,0.06117236614227295,柴纳,0.05368572100996971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6012500412762165
0,10, capital,9.95624076179282, TERMS,0.05384087190032005,果然,0.022977713495492935,Invariant,0.019801925867795944, dot,0.01919279433786869, INS,0.018784435465931892,滚滚,0.01782701164484024, forth,0.01497865654528141, oc,0.012697305530309677,ORY,0.012035390362143517, Allan,0.011597668752074242,صر,0.011556288227438927, forwards,0.010015871375799179,问我,0.00998129602521658,巩,0.009957442060112953, Eg,0.009255713783204556,izable,0.007993425242602825, lie,0.0073367394506931305,_OVERRIDE,0.007316525559872389,眼前,0.007271138019859791, áp,0.0071801175363361835,0.7084016688168049
0,11, of,4.29273821636566, Почем,0.3627769947052002,vox,0.3303399085998535, приятн,0.025963056832551956,PH,0.011488396674394608, misc,0.010124463587999344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2593071796000004
0,12, Germany,7.502337264833991,一角,0.13916435837745667,谲,0.07861945033073425,殃,0.07028112560510635, Manufact,0.051624055951833725,EXP,0.0426989421248436,原件,0.03423687070608139,ifact,0.03060462325811386, fitted,0.021956423297524452,青山,0.01625276729464531,传出,0.015957649797201157,放出,0.013495339080691338,afe,0.012572107836604118,同期,0.011813590303063393, renders,0.010617493651807308,还会,0.009571344591677189, choking,0.007927903905510902,.Rendering,0.006645721383392811, fists,0.00618557957932353,垫,0.005902760662138462,fell,0.005723847541958094,0.4081480447202921
0,13, is,1.1763431017406196, Дмитр,0.8380303382873535, Почем,0.11477691680192947, volume,0.004798800218850374, Алексан,0.0033998326398432255, volum,0.0028289062902331352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036165205761790276
0,14, called,8.28507158474684,МИ,0.0839914083480835,Flo,0.05772331357002258, SO,0.05424858629703522,TE,0.05356459319591522, bund,0.04023868590593338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7102334126830101
0,15, simply,7.831247205303078,CLICK,0.19060134887695312,称之,0.07897135615348816,flix,0.04029890149831772,oreal,0.039334118366241455,嵯,0.027118563652038574,�,0.017163561657071114, CLICK,0.015941724181175232,_PS,0.01412741094827652,-circle,0.013910721056163311,ultan,0.012107566930353642, kron,0.009405779652297497,Exited,0.00886618159711361,堰,0.008175195194780827, Overnight,0.008142523467540741,mods,0.007016423158347607, pastors,0.006289474666118622, trif,0.006075990851968527,coop,0.005909249186515808,filled,0.005637354217469692,独一,0.005495380610227585,0.47941117407754064
1,0,Give,10.625553899322854,-vous,0.021736880764365196,的前提,0.020705506205558777, vouchers,0.01979084312915802,来宾,0.01948709972202778,相结合,0.017658665776252747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9006210044026375
1,1, the,12.888238141954568, thereafter,0.024095017462968826,部长,0.01885097473859787, Liberties,0.01202269084751606, /^,0.009599778801202774,reau,0.006617284379899502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.928814253769815
