layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass
0,0,<bos>,-0.0,<bos>,1.0, مرئيه,0.0," >="",",0.0, autorytatywna,0.0,RegressionTest,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
0,1,Give,4.71047631269231e-12,Give,1.0, Give,1.0940503196313692e-13,give,3.574343554276099e-21,GIVE,1.9690822103505547e-28, GIVE,1.7853940931365566e-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
0,2, the,-0.0, the,1.0, a,0.0, ,0.0, The,0.0,",",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
0,3, city,1.530331062312295e-30, city,1.0, City,1.4465999353835764e-32,city,2.3350887845412056e-36, CITY,4.8456900896352174e-42,City,4.203895392974451e-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
0,4, name,4.6818376049947674e-32, name,1.0, Name,4.222919833468393e-34,name,2.9006878211523713e-43, names,4.0637655465419695e-44, NAME,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
0,5, only,1.2043768067289258e-38, only,1.0,only,9.054069637695508e-41, Only,0.0,Only,0.0, ONLY,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
0,6,",",4.0728147921536894e-39,",",1.0,.,3.0130719579912217e-41, ,1.1911036946760945e-43, (,0.0,-,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
0,7, plain,3.698314310584373e-21, plain,1.0, Plain,4.991985014530567e-23,plain,1.6621611995881439e-28,Plain,1.6662461976225056e-32, plains,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
0,8, text,2.702559301947256e-27, text,1.0, Text,2.8500516179415475e-29, texts,1.1210387714598537e-43,text,5.605193857299268e-45, TEXT,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
0,9,.,8.759416253323019e-31,.,1.0,",",8.218239532375613e-33, ,1.7746926570242008e-38,"

",7.146622168056567e-44,-,6.445972935894159e-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
0,10, The,1.5335668344514872e-36, The,1.0,The,1.2176072933109484e-38, ,0.0,"

",0.0, A,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
0,11, capital,1.4510476179655184e-27, capital,1.0,capital,1.5037978483289808e-29, Capital,1.089052022745869e-31,Capital,1.851892196083256e-36, CAPITAL,3.682064456546068e-39,CAPITAL,0.0, capitals,0.0, capitol,0.0, capitale,0.0, capitalize,0.0, capitalized,0.0,资本,0.0,資本,0.0,kapital,0.0, capi,0.0, capitalization,0.0, kapital,0.0, Capitals,0.0, Capitol,0.0, Kapital,0.0,0.0
0,12, of,1.832787176179565e-38, of,1.0,",",1.1182221615465608e-40, ,2.58553579652572e-41, in,4.203895392974451e-45,.,2.802596928649634e-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
0,13, Germany,4.866095581334519e-14, Germany,1.0,Germany,9.758703643008237e-16, germany,3.8127200619238654e-26, GERMANY,3.391366089410465e-31,germany,1.2264669541985593e-34, German,8.336324564268337e-42, Germans,4.1324291712938855e-42, Italy,1.5414283107572988e-44,<unused43>,0.0,<unused8>,0.0,<unused41>,0.0,<unused74>,0.0,<unused79>,0.0,<unused16>,0.0,[@BOS@],0.0,<unused14>,0.0,<pad>,0.0,<unused3>,0.0,<unused28>,0.0,<unused80>,0.0,0.0
0,14, is,-0.0, is,1.0, ,0.0, has,0.0,",",0.0, was,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
0,15, called,2.55715609655195e-29, called,1.0,called,2.279810637911324e-31, Called,2.249718834763678e-32,Called,4.85575141260907e-40, CALLED,3.1288051981598083e-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
0,16, simply,6.114458800523963e-16, simply,1.0,simply,1.0849876631951848e-17,Simply,2.7405512910890037e-31, Simply,1.9655894780918887e-31, simplemente,0.0, simplesmente,0.0, semplicemente,0.0, simplement,0.0, просто,0.0, einfach,0.0, Simplemente,0.0, merely,0.0, Просто,0.0,Просто,0.0, פשוט,0.0, jednod,0.0,Einfach,0.0, Einfach,0.0, gewoon,0.0, simpel,0.0,0.0
1,0,<bos>,1.3023773514306635e-24,<bos>,1.0,<h1>,1.3539862206537673e-26,The,5.298785537420839e-28,<strong>,4.965989176373099e-28,"

",3.0839352864964074e-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1,1,Give,6.747163126932749e-05,Give,0.999996542930603, Give,3.443055902607739e-06,give,2.7350252152394255e-17, give,3.868291466999773e-24,GIVE,2.104319957802488e-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4013494364917278e-08
1,2, the,1.2537644627907605e-21, the,1.0, The,1.656740429596202e-23, a,7.103468802900419e-29,the,2.6255905014542914e-29, their,3.112818503011366e-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1,3, city,2.606339167134129e-25, city,1.0,city,2.9566995913889397e-27, City,6.342870656302556e-31, CITY,1.9534864707063873e-32,City,9.821344984221929e-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1,4, name,9.934871244076041e-26, name,1.0, Name,1.1094329074292394e-27, names,7.331658183098427e-32,name,2.0256536504877177e-34, NAME,1.9208145924568655e-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1,5, only,3.125339066024497e-23, only,1.0,only,3.853590698904333e-25, Only,5.648154387607606e-34,Only,5.00064537786602e-35, ONLY,2.6840470785677546e-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1,6,",",3.2114462720822107e-26,",",1.0," ,",2.2038546353894386e-28, (,1.1499934735405207e-28,.,7.784714911823426e-30, and,3.767861507492961e-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1,7, plain,2.8364912724822114e-21, plain,1.0, Plain,3.7909859381873724e-23,plain,1.563801003914718e-25,Plain,1.272985044977791e-28,PLAIN,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1,8, text,1.9279235250512928e-20, text,1.0, Text,2.6905826569134507e-22, texts,5.0929863209828305e-31,text,5.4797094450481304e-33,Text,3.886860964884315e-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1,9,.,3.550667173315402e-08,.,1.0,<bos>,1.198066534868758e-09, .,1.5518314126982833e-19,",",6.7715888766624844e-21,!,3.0021474239942944e-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1,10, The,4.097567817636802e-22, The,1.0,The,5.299463431635268e-24, the,6.128508674634114e-35, THE,1.1763761868248483e-35, This,8.20516437325406e-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1,11, capital,7.898588919480306e-23, capital,1.0,capital,9.904965136086707e-25, Capital,3.7548492928429176e-29,Capital,1.0131394909454722e-30, CAPITAL,1.6617576091780892e-33,CAPITAL,9.80908925027372e-45, capitale,0.0, capitals,0.0, capitol,0.0, capitales,0.0,资本,0.0, capitalize,0.0, kapital,0.0, capitalized,0.0,資本,0.0, Hauptstadt,0.0, Kapital,0.0,kapital,0.0, capitalization,0.0, Capitals,0.0,0.0
1,12, of,5.395665664215987e-29, of,1.0, Of,2.2371653485555828e-31, OF,1.7335285555276963e-31,of,1.312335176344166e-31, của,9.101017485880823e-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1,13, Germany,2.1991249218397337e-13, Germany,1.0,Germany,4.617906737883724e-15, germany,6.79787758428744e-23, Alemania,3.948998248491124e-24, GERMANY,9.09386624291048e-29,germany,7.218786480848502e-33, Allemagne,5.604627576671084e-34, German,1.186109314487968e-35, Tyskland,6.639474631087928e-36, Germans,1.3803826834463049e-38, Deutschland,1.536295354482477e-39, Duitsland,1.3598788843163041e-39, Alemanha,2.668871016199117e-40,GERMANY,1.881523448048932e-41,德国,1.7334062003697987e-42, Германии,1.401298464324817e-44,Allemagne,5.605193857299268e-45,German,1.401298464324817e-45, Германия,0.0,Alemania,0.0,0.0
