layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass
0,0,<|begin_of_text|>,12.707765051583964,greg,0.024270614609122276,れど,0.01681176759302616,utron,0.009504511952400208,ister,0.009430546313524246,�,0.007460176479071379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9325223830528557
0,1,Give,13.214893733836146,éra,0.01229432225227356,ivar,0.010934796184301376,quet,0.00899471901357174,igers,0.008516027592122555, Ghost,0.006428235210478306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9528318997472525
0,2, the,13.501829588535657,.cn,0.030235564336180687,otel,0.010780822485685349, �,0.006190905813127756,izza,0.004459142219275236,USTER,0.0038141063414514065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9445194588042796
0,3, city,13.133618860622002, nào,0.02496199496090412, ties,0.014112229458987713,umi,0.012650120072066784, Kitt,0.005837071221321821,.googlecode,0.005791646894067526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.936646937392652
0,4, name,12.76141951106954,OAD,0.04625893756747246,erp,0.011973455548286438,plate,0.0100041963160038, Dyn,0.008828672580420971,θρω,0.0063095674850046635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9166251705028117
0,5, only,13.296366731064083,ell,0.010594749823212624, Seymour,0.009875393472611904, scn,0.008251200430095196,َّ,0.007454338017851114, 田,0.006948206573724747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9568761116825044
0,6,",",12.346894543209137,enton,0.04043782502412796, atom,0.035408541560173035,oment,0.027792485430836678,atti,0.009756079874932766,aland,0.008952680975198746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8776523871347308
0,7, plain,12.978275875195473,cri,0.019292233511805534,ung,0.01170133426785469,onnement,0.008494257926940918,ogy,0.007917518727481365,fee,0.005976456683129072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9466181988827884
0,8, text,13.140300042642721, Deniz,0.017392771318554878,ouz,0.009237230755388737,ัด,0.006653327960520983,ileş,0.005101283546537161,aura,0.004717916250228882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9568974701687694
0,9,.,11.442009889486279,ysi,0.1082734614610672,idon,0.06465303897857666,iaux,0.045845869928598404,ethyst,0.010974757373332977,SKTOP,0.007904821075499058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7623480511829257
0,10, The,12.751699051642774,ieber,0.04657334089279175,odor,0.017133379355072975,.scalablytyped,0.016221558675169945,шиб,0.013034387491643429,著,0.010721794329583645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8963155392557383
0,11, capital,13.401906292523156, tol,0.008524405770003796, inch,0.008070744574069977,棒,0.006434558890759945, Brennan,0.006334800273180008,uch,0.006188055034726858,ůr,0.003933367319405079,erver,0.0036663012579083443, front,0.003471184289082885,ynn,0.0034173685126006603, inf,0.0033382049296051264,MAS,0.003160549094900489, Suite,0.003135953564196825,asy,0.003111549187451601,UCH,0.003087335266172886,quist,0.0027891749050468206,(preg,0.0026201873552054167,ashing,0.0025997967459261417,front,0.0023671418894082308,olid,0.0022411649115383625, burning,0.0022237240336835384,0.919284432195127
0,12, of,12.79631823058262,icina,0.02330315113067627, course,0.02121775969862938,course,0.020246127620339394, sorts,0.018724607303738594, Kong,0.009342052973806858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9071663012728095
0,13, Germany,13.255213346504423, rond,0.010898654349148273,shall,0.010729686357080936,iner,0.007668161299079657,hey,0.006714466493576765,tems,0.005788231734186411, Grass,0.005788231734186411, qed,0.005229231435805559,NAL,0.00510809663683176,aney,0.005068344995379448, massaggi,0.004724217113107443,RDD,0.00391651364043355,hap,0.0038257876876741648,idUser,0.0032980351243168116, mình,0.003147006966173649,astos,0.002956339390948415,館,0.002820958849042654,ーナ,0.0027990059461444616,TemplateName,0.002650045556947589,�,0.002650045556947589, acompan,0.002509012818336487,0.901709926314652
0,14, is,12.686945519801117,jav,0.034330036491155624,otope,0.02018158882856369,/w,0.018090657889842987,isphere,0.010388591326773167, bubble,0.0087480703368783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9082610551267862
0,15, called,12.990529295104146,นวน,0.010983966290950775,gorithms,0.009845963679254055,월부터,0.00816259067505598,_WAKE,0.006357031874358654, ACPI,0.006113498006016016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9585369494743645
0,16, simply,13.039981874463841,泛,0.015292164869606495,ivec,0.00857812725007534, pro,0.008058404549956322, faced,0.0074528055265545845,ty,0.007394807878881693,ton,0.006892718840390444,ีย,0.006424720399081707, white,0.005326280370354652,038,0.005284830927848816,mmas,0.005122233647853136,elden,0.0047372919507324696, Bone,0.0036322076339274645,emax,0.0036039412952959538,tera,0.0034658764488995075,감,0.0034389051143079996, mam,0.0032814261503517628,δα,0.00325588951818645, Fen,0.002806752687320113,058,0.002657379722222686,ork,0.002657379722222686,0.8906358554959297
1,0,<|begin_of_text|>,13.368536154810945,ungs,0.018307998776435852,NG,0.008992587216198444,ingo,0.007282418664544821,iotic,0.004889185074716806,.ImageAlign,0.0044170101173222065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9561108001507819
1,1,Give,13.565559479639377,aways,0.04094010591506958,řeba,0.004889597184956074,pause,0.004851546138525009,optimizer,0.004813791252672672,akter,0.004665686283260584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9398392732255161
1,2, the,12.587235482275688,'gc,0.10911468416452408,TL,0.013872374780476093,ses,0.009760434739291668, WWW,0.007842729799449444,OVE,0.00725333858281374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.852156437933445
1,3, city,13.534967205703902,-wide,0.015304705128073692,paced,0.013090807944536209,scape,0.008788752369582653,ENCE,0.005586470942944288, Kendrick,0.005330648273229599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9518986153416336
1,4, name,12.210984221468896,plates,0.04677847400307655,'gc,0.03643111139535904,plate,0.031651899218559265,OAD,0.030439333990216255,MMdd,0.01720883883535862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8374903425574303
1,5, only,13.614668093697349,rition,0.005978771485388279,범,0.00588607881218195,mind,0.005840272642672062, Rosenstein,0.00566058699041605,uh,0.004656271543353796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9719780185259879
1,6,",",13.60937240391198,ateg,0.017459070309996605,cef,0.009345167316496372,діл,0.007747415918856859,RetVal,0.007687124889343977,atten,0.007221385836601257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9505398357287049
1,7, plain,12.175518647138572,ings,0.08421570807695389,ائه,0.02266635186970234,ions,0.014184240251779556,�,0.012038007378578186,ither,0.008603176102042198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8582925163209438
1,8, text,13.5666202686299, quota,0.013001656159758568,aml,0.010529061779379845,xico,0.007703226525336504,.ศ,0.0039652809500694275,ΥΡ,0.0030402864795178175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9617604881059378
1,9,.,13.687942333993353,'gc,0.026038940995931625,ernet,0.01372156199067831,wik,0.007118651643395424,STALL,0.004284080117940903,StateException,0.003810339840129018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9450264254119247
1,10, The,13.381763684454105, Dün,0.02637089043855667,oretical,0.01990579254925251,لوب,0.012073476798832417,че,0.006987592205405235,ofil,0.006412175018340349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9282500729896128
1,11, capital,13.308284440838271,cak,0.051751911640167236, residence,0.010596497915685177,.tc,0.006327458657324314, Residence,0.004665575455874205,.ov,0.004182194359600544,AAF,0.003778297919780016, Tanner,0.0033083881717175245,pend,0.00310794310644269, Tou,0.002764261793345213,PGA,0.002658364363014698, unlike,0.002382942708209157, Gerard,0.002327741589397192,cene,0.0022916533052921295,ech,0.002256124746054411,izia,0.0020382388029247522,lice,0.0018703931709751487,裕,0.0018558375304564834,letcher,0.0018558375304564834,��,0.0016700730193406343, tug,0.0016570764128118753,0.8866531878011301
1,12, of,12.93917114797289, ​​,0.06008434295654297,$core,0.012111879885196686,statt,0.011289513669908047,�,0.008792282082140446, Pose,0.008259584195911884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8994623972103
1,13, Germany,13.456580265163048,osate,0.01885703206062317,ês,0.0066713597625494,RDD,0.004657359793782234,#ab,0.004621115978807211,bbe,0.004549472127109766,шев,0.0035989286843687296, RedirectTo,0.0035709217190742493,.ibatis,0.003488201415166259, SetLastError,0.003461055690422654,aned,0.003251361194998026,_aligned,0.00284698698669672,یش,0.0026954729110002518,agram,0.0025720384437590837,ơ,0.002552022458985448, Ro,0.0023974033538252115,isches,0.002378746634349227,Interop,0.002341867657378316,RowCount,0.0022346256300807,AGED,0.002074779709801078, дот,0.0020666909404098988,0.9191125568468124
1,14, is,12.77361652066873,/w,0.04336005076766014,otope,0.04105247184634209,/is,0.04073299840092659,consin,0.009088758379220963,ifu,0.008340314030647278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8574254065752029
1,15, called,13.085615063113176,apsed,0.02660263516008854, Loose,0.018864093348383904,illon,0.016261860728263855,izi,0.009193622507154942, dib,0.007272753864526749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.921805034391582
