layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass,copy_collapse,entropy_collapse,is_answer
0,16,⟨NEXT⟩,13.45753786456305,/******/,0.009899575263261795,simply,0.008736344054341316,celebrated,0.0032773104030638933,mux,0.002582458546385169,bob,0.0023883834946900606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9731159282382578,False,False,False
1,16,⟨NEXT⟩,13.773416335610962,❶,0.0038105198182165623,,0.0031467159278690815,simply,0.0028875889256596565,ask,0.00210436899214983,fasc,0.0019310774514451623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9861197288846597,False,False,False
2,16,⟨NEXT⟩,13.709573623888273,❶,0.005626223515719175,simply,0.0051027629524469376,/******/,0.002896131481975317,tb,0.002840114990249276,azu,0.0026472783647477627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9808874886948615,False,False,False
3,16,⟨NEXT⟩,13.740603421687545,eston,0.007204192690551281,simply,0.005168755538761616,azu,0.002499446738511324,恩,0.002258062129840255,/******/,0.0022057541646063328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9806637887377292,False,False,False
4,16,⟨NEXT⟩,13.74127621781772,simply,0.006284552160650492,eston,0.004387324675917625,ohl,0.0024419138208031654,�,0.0023667842615395784,azu,0.002330090617761016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9821893344633281,False,False,False
5,16,⟨NEXT⟩,13.601158512506773,simply,0.01969062350690365,[…],0.006544205825775862,ifi,0.004713614005595446,azu,0.002542804228141904,Simply,0.00251317978836596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9639955726452172,False,False,False
6,16,⟨NEXT⟩,13.641794573252637,simply,0.018085207790136337,[…],0.007870039902627468,apt,0.002709209220483899,ush,0.0026361329946666956,plain,0.002545066410675645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96615434368141,False,False,False
7,16,⟨NEXT⟩,13.719713720983144,plain,0.005066568963229656,ifi,0.003348797559738159,eval,0.002478912705555558,iron,0.0023653951939195395,simply,0.002356173237785697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9843841523397714,False,False,False
8,16,⟨NEXT⟩,13.737183030727186,olas,0.0031959298066794872,raw,0.0031834696419537067,plain,0.002744322642683983,igd,0.002112380461767316,edy,0.002071523340418935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9866923741064966,False,False,False
9,16,⟨NEXT⟩,13.746498986959121,anel,0.008203824050724506,rite,0.003006251761689782,raw,0.002287035807967186,porte,0.002225346863269806,iron,0.0020183019805699587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9822592395357788,False,False,False
10,16,⟨NEXT⟩,13.760843715902286,anel,0.00432016234844923,alike,0.0025999194476753473,«,0.002064755419269204,olas,0.0018221401842311025,ält,0.0016917998436838388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9875012227566913,False,False,False
11,16,⟨NEXT⟩,13.768560921411803,inho,0.003685234347358346,«,0.0023700897581875324,minded,0.0019495825981721282,alike,0.0018243232043460011,plic,0.0015604263171553612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9886103437747806,False,False,False
12,16,⟨NEXT⟩,13.760651095333321,ifi,0.0058595286682248116,iron,0.0026931874454021454,plain,0.0024236065801233053,inho,0.002073020441457629,minded,0.0018655165331438184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9850851403316483,False,False,False
13,16,⟨NEXT⟩,13.810472405496466,ív,0.0022115465253591537,olas,0.002135147573426366,Fuck,0.0020373722072690725,ifi,0.0020215169060975313,«,0.0019979658536612988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9895964509341866,False,False,False
14,16,⟨NEXT⟩,13.741086348971168,ív,0.005665371660143137,mate,0.004276446998119354,oka,0.001965563278645277,plain,0.0019050890114158392,«,0.0018537024734541774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9843338265782222,False,False,False
15,16,⟨NEXT⟩,13.653584327934585,simply,0.008931349031627178,«,0.006821205373853445,ixer,0.003963261842727661,[…],0.003062571631744504,acco,0.0027239075861871243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9744977045338601,False,False,False
16,16,⟨NEXT⟩,13.406836003227488,simply,0.03062121383845806,plain,0.0070219216868281364,plain,0.0034088697284460068,Fuck,0.003329903120175004,«,0.0025731497444212437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9530449418816715,False,False,False
17,16,⟨NEXT⟩,13.147600362206546,simply,0.04629230871796608,Fuck,0.008430453948676586,plain,0.004583558067679405,"""",0.003799903206527233,叫,0.00289081409573555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9340029619634151,False,False,False
18,16,⟨NEXT⟩,12.15850749917643,simply,0.12008081376552582,"""",0.024683469906449318,“,0.007071932312101126,Fuck,0.0038449428975582123,',0.0036545665934681892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8406642745248973,False,False,False
