layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass,copy_collapse,entropy_collapse,is_answer
0,15,⟨NEXT⟩,17.21285057067871,CLICK,7.252927389345132e-06,称之,7.209233899629908e-06,oreal,7.197802460723324e-06, CLICK,7.172805453592446e-06,flix,7.16799058864126e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999639992402081,False,False,False
1,15,⟨NEXT⟩,17.18882942199707, обязан,1.5598767276969738e-05,岔,1.4539649782818742e-05,俗称,1.4230606211640406e-05, Astroph,1.4175126125337556e-05," ""-"",",1.4140560779196676e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999927315289824,False,False,False
2,15,⟨NEXT⟩,15.86388874053955,hook,0.0008555795066058636,对学生,0.0007204702123999596,øy,0.0007010367116890848,auc,0.0006741804536432028,单职业,0.0006559955654665828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9963927375501953,False,False,False
3,15,⟨NEXT⟩,13.647409439086914,对学生,0.010680093429982662,*,0.009135168045759201,原因之一,0.0066834320314228535, lun,0.0056721544824540615,挨,0.004166079219430685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9636630727909505,False,False,False
4,15,⟨NEXT⟩,15.69218635559082,原因之一,0.0019836032297462225,对学生,0.0018853882793337107,单职业,0.001384778181090951,名列,0.0008631936507299542,callee,0.0007952112937346101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9930878253653646,False,False,False
5,15,⟨NEXT⟩,16.767425537109375,(PR,0.00017854871111921966,town,0.00015391860506497324,tics,0.00014544287114404142,.TYPE,0.00014207368076313287,zia,0.00013743384624831378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9992425822856603,False,False,False
6,15,⟨NEXT⟩,17.013582229614258,呼和,6.253566243685782e-05, ön,5.874682028661482e-05,而又,5.828965004184283e-05,tion,5.6828270317055285e-05,gebung,5.594722824753262e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997076523686701,False,False,False
7,15,⟨NEXT⟩,16.771377563476562,的方式来,0.0003780028491746634,了一下,0.00016610766761004925,han,0.00015124275523703545,"()));
",0.00014207941421773285,而又,0.00013824706547893584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9990243202482816,False,False,False
8,15,⟨NEXT⟩,16.91436195373535,的方式来,0.0001368413504678756,ingly,0.00013134226901456714,鄙,0.00010050711716758087,istically,9.856313408818096e-05,的方式,8.496673399349675e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9994477793952683,False,False,False
9,15,⟨NEXT⟩,17.064598083496094,俗,5.911746120546013e-05,简单,5.911746120546013e-05,ifiable,4.815611828234978e-05,畸形,4.488643753575161e-05, titled,4.4842625356977805e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999743879896414,False,False,False
10,15,⟨NEXT⟩,17.015714645385742,名字,9.676424815552309e-05,ifiable,7.714718231000006e-05,/name,7.639746036147699e-05,称为,6.781672709621489e-05,俗,6.186855171108618e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996200058303657,False,False,False
11,15,⟨NEXT⟩,17.043964385986328,名字,0.0001326652563875541,ifiable,0.00010891453712247312,名称,7.618324889335781e-05,称号,6.762657721992582e-05, name,6.266662967391312e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9995519437507028,False,False,False
