layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass
0,0,Give,17.212852478027344,spr,7.155354069254827e-06, *__,7.153607839427423e-06,ovy,7.129633559088688e-06,ooled,7.10400536263478e-06, Gibraltar,7.103138159436639e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999643542610102
0,1, the,17.212886810302734,зам,7.12641804057057e-06,本报,7.107738838385558e-06,eya,7.106003977241926e-06,дра,7.10557014826918e-06, complexion,7.097335128491977e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999964456933867
0,2, city,17.21285629272461,asia,7.206062946352176e-06,ording,7.190246833488345e-06,Dat,7.1727140493749175e-06, Dat,7.13864756107796e-06,ATA,7.13385634298902e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999641584722667
0,3, name,17.212860107421875,ýt,7.302817266463535e-06,eting,7.254836873471504e-06, translating,7.1931090133148246e-06,calcul,7.145849394873949e-06,一事,7.131906386348419e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999639714810655
0,4, only,17.212848663330078,挚,7.194228601292707e-06,focused,7.181067303463351e-06,熊,7.167492640292039e-06,一个小,7.143036782508716e-06,uzzi,7.137807187973522e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999641763674845
0,5,",",17.21289825439453,不够,7.1071508500608616e-06,edor,7.103681582520949e-06,��,7.081603598635411e-06,pad,7.074690984154586e-06,DR,7.062179975036997e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999645706930096
0,6, plain,17.21285629272461,锣,7.332977475016378e-06, TSA,7.246661425597267e-06,胞,7.2453344728273805e-06,lights,7.194657428044593e-06,犯,7.181056844274281e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999637993123542
0,7, text,17.21284294128418,MOVED,7.2234615799970925e-06, dig,7.180383818194969e-06,iaux,7.175564860517625e-06,一事,7.168123374867719e-06,ingham,7.148025815695291e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999641044405507
0,8,.,17.21291732788086,在现场,7.170735898398561e-06,特别是,7.120145710359793e-06,鉴定,7.084166554705007e-06,报告显示,7.0712076194467954e-06, disliked,7.068186732794857e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999644855574843
0,9, The,17.21283721923828, parallels,7.204267149063526e-06, mere,7.189771167759318e-06,OLA,7.176618510129629e-06,փ,7.174866823334014e-06,unsupported,7.172239747887943e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999640822366018
0,10, capital,17.212844848632812, forth,7.142404228943633e-06,Invariant,7.12759765519877e-06, TERMS,7.113256742741214e-06,果然,7.107614692358766e-06,صر,7.106313205440529e-06,眼前,7.104578344296897e-06, dot,7.101976734702475e-06,enso,7.099809863575501e-06,obili,7.096343779267045e-06,ORY,7.095910859789001e-06, lie,7.092447049217299e-06,巩,7.092447049217299e-06,til,7.085091965564061e-06, Allan,7.078175713104429e-06,何必,7.074720542732393e-06, forwards,7.07342587702442e-06,ycin,7.072130756569095e-06, Eg,7.072130756569095e-06,湍,7.071698746585753e-06,问我,7.0695409704057965e-06,0.9998581223844667
