layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass
0,0,<s>,14.94654532469492,thon,6.210825813468546e-05,oso,6.090697570471093e-05,iden,6.02267864451278e-05,amba,6.0021284298272803e-05,�,5.978728222544305e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996969494131918
0,1,Give,14.956155610866054,dabei,5.025392965762876e-05,wo,5.0094684411305934e-05,oft,4.988720320397988e-05,ave,4.8695888835936785e-05,boy,4.8684003559174016e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999752384290332
0,2,the,14.889262685194426,/******/,0.0001447372924303636,Hughes,0.00011528199684107676,anto,0.00011460849054856226,ipper,0.00011054128844989464,mant,0.00011000285303452983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9994048280786956
0,3,city,14.95476430925852,adel,5.632366082863882e-05,aden,5.098366818856448e-05,ave,5.0884191296063364e-05,ety,5.068581231171265e-05,ga,5.0193240895168856e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997409294264799
0,4,name,14.952724171920867,olas,5.268502718536183e-05,wa,5.240281097940169e-05,/******/,5.202040483709425e-05,LIED,5.156519546289928e-05,aden,5.1414346671663225e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997399122148636
0,5,only,14.949013861840227,/******/,5.999061613692902e-05,olas,5.9378620790084824e-05,oft,5.8515161072136834e-05,ave,5.777698606834747e-05,ipper,5.749555566580966e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997068430602667
0,6,",",14.9137809545255,/******/,0.00011753432045225054,�,0.00010092590673593804,ety,9.907052299240604e-05,wa,9.583507926436141e-05,edu,9.020473953569308e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9994964294310194
0,7,plain,14.957092086209585,peg,4.933435775456019e-05,dabei,4.880723645328544e-05,boy,4.838014501729049e-05,лок,4.742122837342322e-05,RENT,4.704070670413785e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997590163256973
0,8,text,14.953321133304282,adel,5.518905527424067e-05,�,5.1542425353545696e-05,tid,5.0299306167289615e-05,NA,5.00909736729227e-05,hit,5.004207559977658e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997428361639322
0,9,.,14.916955249854617,ety,9.301608224632218e-05,rugu,9.041879093274474e-05,ipper,8.927814633352682e-05,�,8.772252476774156e-05,wa,8.602580783190206e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9995535386478878
0,10,The,14.939929066815695,/******/,8.465262362733483e-05,oft,7.540197111666203e-05,�,6.878849671920761e-05,kit,6.752392073394731e-05,anto,6.563843635376543e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996379945514491
0,11,capital,14.955616508589765,NA,5.0532973546069115e-05,ave,5.045900616096333e-05,tid,4.9193946324521676e-05,prit,4.850226468988694e-05,lobby,4.838399399886839e-05,oft,4.811306644114666e-05,wa,4.7831978008616716e-05,aft,4.77852881886065e-05,ipper,4.7703699237899855e-05,Post,4.754092515213415e-05,ppe,4.7367142542498186e-05,adel,4.7355584683828056e-05,izen,4.734401954920031e-05,peg,4.733246169053018e-05,Ave,4.727471969090402e-05,tecn,4.7240104322554544e-05,fully,4.7032965085236356e-05,Å,4.6952653065091e-05,handy,4.67924473923631e-05,ga,4.6723955165361986e-05,0.9990425368050637
0,12,of,14.921930144516294,indow,9.19062367756851e-05,ety,8.58335115481168e-05,̈,8.491641347063705e-05,adel,8.351830183528364e-05,ipper,8.214321860577911e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9995716823177645
0,13,Germany,14.957978464330116,adel,5.249994501355104e-05,indirect,5.05627176607959e-05,indow,4.8863697884371504e-05,pf,4.791859464603476e-05,undial,4.7825087676756084e-05,ön,4.669441841542721e-05,ipper,4.661468483391218e-05,CHANT,4.624063512892462e-05,zw,4.5836004574084654e-05,洲,4.5690761908190325e-05,rug,4.5357333874562755e-05,甲,4.525778058450669e-05,pit,4.5015349314780906e-05,cr,4.487270780373365e-05,̧,4.486175021156669e-05,pul,4.476328467717394e-05,zel,4.474143497645855e-05,chg,4.465413439902477e-05,志,4.4610547774937004e-05,bid,4.4501768570626155e-05,0.9990726173600706
