layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass
0,0,<|startoftext|>,15.963683900244197,oples,1.9999462892883457e-05,emb,1.9851093384204432e-05,dens,1.9682191123138182e-05, arrest,1.964618422789499e-05,checkmark,1.961024281627033e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999012108255556
0,1,Give,15.962330024113065,]:\\,2.112957190547604e-05,王小,2.0954905266989954e-05,ifug,2.0908912119921297e-05,材,2.0908912119921297e-05, bird,2.0827395928790793e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998952703026589
0,2, the,15.958891534748629, princ,2.4188979296013713e-05,侦,2.4118216970236972e-05,中期,2.3750095351715572e-05,抽,2.3559519831906073e-05, Clare,2.345621214772109e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998809269764024
0,3, city,15.96264616135949,森,2.0857114577665925e-05,�,2.0852025045314804e-05, Farmer,2.0538767785183154e-05,emetery,2.0518720702966675e-05,加深,2.0513713025138713e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998967196588637
0,4, name,15.955314654577307,大利,2.624889930302743e-05,大笑,2.619768383738119e-05,iop,2.550972203607671e-05, DV,2.514490370231215e-05,WF,2.505299198674038e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998718457991345
0,5, only,15.961553049570568,ncase,2.2961225113249384e-05, Draw,2.135524118784815e-05,<table>,2.130836946889758e-05,收到,2.1127065338077955e-05, degener,2.1080695660202764e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998921674032317
0,6,",",15.9549168114919,anch,2.948666769952979e-05, heav,2.721749660850037e-05,ificially,2.7124628104502335e-05,uru,2.6612980946083553e-05,Enum,2.5882500267471187e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998636757263739
0,7, plain,15.96251982471774, materials,2.071651215374004e-05,nthey,2.069629044854082e-05, motiv,2.0525205400190316e-05,准确,2.030094401561655e-05,达尔,2.0184805180178955e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998975762428017
0,8, text,15.962160256680269,ople,2.1471490981639363e-05,}{-,2.1117974029039033e-05,下令,2.1066480258014053e-05,供,2.1051055227871984e-05,nblock,2.098434924846515e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999894308650255
0,9,.,15.950218256795065, Abd,3.09873248625081e-05, Dra,2.9626120522152632e-05, Hayes,2.875671452784445e-05,沿线,2.82832497759955e-05,近平,2.811801095958799e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998542285793519
0,10, The,15.959064230185538,"{""__",2.602638596727047e-05,iki,2.3830734789953567e-05,ymptotic,2.3346994566963986e-05,十五日内,2.3165308448369615e-05,趋于,2.3091899493010715e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998805386767344
0,11, capital,15.962240764069302,迷,2.204415613960009e-05,氧,2.1009020201745443e-05,Links,2.0688356016762555e-05,挽,2.0517336452030577e-05,---,2.051232695521321e-05,戳,2.0432358724065125e-05,Qual,2.0397468688315712e-05, bailout,2.0303070414229296e-05,$~,2.0273351765354164e-05,太子,2.0174602468614466e-05,平常,2.0064084310433827e-05, bur,2.0022489479742944e-05,opath,1.9990740838693455e-05,ode,1.995173624891322e-05,ayers,1.9937127945013344e-05,肽,1.9932260329369456e-05,同胞,1.9929828340536915e-05, imag,1.9854551283060573e-05,揭,1.9842436813632958e-05,氧气,1.9832750695059076e-05,0.9995942899458896
0,12, of,15.958147054083373,�,2.4483406377839856e-05,vep,2.442370714561548e-05,和所述,2.3869582946645096e-05,ault,2.3834641979192384e-05, Tam,2.3793945729266852e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998795947158214
0,13, Germany,15.963156484279517,stra,2.1228297555353492e-05,<tbody>,2.0792307623196393e-05,nun,2.018706436501816e-05,stones,2.0071578546776436e-05,shan,1.9929972040699795e-05, proc,1.9866818547598086e-05,柠,1.9859544408973306e-05,ellers,1.982805406441912e-05,rell,1.9815954146906734e-05, Initi,1.9811117454082705e-05,麻,1.979419721465092e-05,erer,1.9685761799337342e-05, multivariate,1.9683360733324662e-05,盲,1.9668948880280368e-05,拿出,1.9649747628136538e-05, secular,1.962338137673214e-05,的马,1.953256651177071e-05,gencies,1.9501594579196535e-05,arta,1.9482558855088428e-05, Initiative,1.9482558855088428e-05,0.9996025046148134
0,14, is,15.959324880323692,ours,2.350663453398738e-05,eating,2.3221433366416022e-05, Loc,2.2945292585063726e-05,十五日内,2.2733405785402283e-05,VD,2.2539979909197427e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998850532538199
0,15, called,15.963116734249777, attention,2.1743126126239076e-05,attention,2.0475705241551623e-05,Tube,2.0475705241551623e-05,移,2.029157622018829e-05,uchi,2.025692811002955e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998967569590604
0,16, simply,15.962135660187664, Denote,2.195591696363408e-05,npred,2.1181920601520687e-05,erity,2.0924922864651307e-05,密切,2.0838257114519365e-05,insula,2.0565335944411345e-05,面,2.0490162569331005e-05,涌,2.0485160348471254e-05,uct,2.0475161363719963e-05, CIA,2.0410279830684885e-05,这一点,2.0335670342319645e-05, Tree,2.0295990907470696e-05,ontal,2.029103779932484e-05,odox,2.026628135354258e-05,ninter,2.0128216419834644e-05, Opera,2.0123301510466263e-05, Hire,2.006933391385246e-05, solution,2.0059536836924963e-05,:///,2.005708847718779e-05,酯,2.0025285266456194e-05,asive,2.000573840632569e-05,0.9995910154011654
1,0,<|startoftext|>,15.954038265039676, Myth,2.7661193598760292e-05,双,2.666653563210275e-05,记,2.6265928681823425e-05,剑,2.6240293664159253e-05, pam,2.6004325263784267e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998671617231594
1,1,Give,15.961565648119082,away,2.329408198420424e-05,晕,2.211370156146586e-05,vertible,2.201135976065416e-05, 背景技术,2.194696935475804e-05,shtml,2.186674282711465e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998887671445118
1,2, the,15.96423765810521,挤,1.9442528355284594e-05,馒,1.921367038448807e-05,抑,1.918788802868221e-05,ads,1.9164479454047978e-05,蛋,1.9157461792929098e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999038339719846
1,3, city,15.964654927088308,第二百零,1.898828304547351e-05,wide,1.884281482489314e-05,RANT,1.8582413758849725e-05, Hyde,1.8426555470796302e-05,商业化,1.8305490812053904e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999068544420879
1,4, name,15.964774183685362,ks,1.8528964574215934e-05,百分点,1.84387117769802e-05,cuador,1.8344420823268592e-05,plate,1.8344420823268592e-05,bbf,1.8339942471357062e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999080035395309
1,5, only,15.964755138483937,及利息,1.870346204668749e-05,淋漓尽,1.8628270481713116e-05,burner,1.8361866750638e-05, eternity,1.8296979760634713e-05,BUFFER,1.8283584722667e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999077258362377
1,6,",",15.9647814626767,usercontent,1.846617306000553e-05,hdad,1.8322467440157197e-05,逆,1.8217646356788464e-05, Bread,1.8177663150709122e-05,ads,1.8144408386433497e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999086716416059
1,7, plain,15.964451243449892,ly,1.9899192921002395e-05,尴,1.8990260286955163e-05,一刀,1.868671824922785e-05,不可思,1.8600236217025667e-05,ermi,1.8573009583633393e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999052505827422
1,8, text,15.964930104085418,itored,1.8550919776316732e-05,iles,1.8514723706175573e-05,ivan,1.8447044567437842e-05,ured,1.835046714404598e-05,nblock,1.8274464309797622e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999078623804962
1,9,.,15.965128961694552,CTYPE,1.8067023120238446e-05,上诉状,1.7900183593155816e-05,点缀,1.7793434381019324e-05,\\\\%,1.7711088730720803e-05,ECT,1.7698121155262925e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999108301490196
1,10, The,15.965205557100587,××××,1.8078273569699377e-05,aters,1.8023187294602394e-05,*{-,1.786765642464161e-05,其特征,1.780668753781356e-05,med,1.775242890289519e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999104717662703
