layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass,copy_collapse,entropy_collapse,is_answer
0,16,⟨NEXT⟩,0.00046468900871339595, simply,0.9999775886535645, merely,6.962148745515151e-06, Simply,6.144074632175034e-06, simplemente,3.726569730133633e-06,Simply,9.422244033885363e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.636328924334521e-06,True,True,False
1,16,⟨NEXT⟩,0.9891413913174163,the,0.5621663928031921,which,0.4378156363964081,”,5.694797891919734e-06, godk,5.694797891919734e-06,what,5.694797891919734e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.864067240210716e-07,True,True,False
2,16,⟨NEXT⟩,0.0003098801917027146, simply,0.9999831914901733,simply,1.0129922884516418e-05,Simply,6.144109192973701e-06, Simply,4.450777453257615e-07, simplement,2.8452870282080767e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.094713356219472e-08,True,True,False
3,16,⟨NEXT⟩,0.008119218213140171, simply,0.999380350112915,simply,0.0004304756294004619,Simply,0.00017944893625099212, Simply,5.418888576969039e-06, simplement,1.9934977899538353e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.312935066584032e-06,True,True,False
4,16,⟨NEXT⟩,0.7789472206857112, simply,0.8570681214332581,L,0.09033431112766266,R,0.04267090559005737,C,0.007415092084556818,H,0.0010035235900431871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0015080461744219065,True,True,False
5,16,⟨NEXT⟩,0.0015898615801951462, simply,0.9998950958251953,simply,9.61015684879385e-05,Simply,6.143568043626146e-06, Simply,2.2600922875426477e-06, simplement,1.8551968139490782e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1342630418530462e-07,True,True,False
6,16,⟨NEXT⟩,0.23582053283340562, simply,0.9676235318183899,simply,0.02275632508099079,Simply,0.009486247785389423, simplement,7.242839637910947e-05, Simply,4.3930042011197656e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7536876839585602e-05,True,True,False
7,16,⟨NEXT⟩,0.21449674299851326, simply,0.9717562198638916,simply,0.020168157294392586,Simply,0.007419450208544731, Simply,0.0003693927137646824, simplement,0.00011992424697382376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00016685567243257537,True,True,False
8,16,⟨NEXT⟩,3.3899192917401813, simply,0.44276145100593567,simply,0.36706215143203735,Simply,0.056290797889232635, simplesmente,0.016127584502100945, simplement,0.013370237313210964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10438777785748243,False,False,False
9,16,⟨NEXT⟩,1.673610910812547, simply,0.462230384349823,Simply,0.28035691380500793,simply,0.24741411209106445, simplement,0.0022786050103604794, Simply,0.002140551572665572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005579433171078563,False,False,False
10,16,⟨NEXT⟩,14.303029883652659, simply,0.11119703203439713,simply,0.055913377553224564,Simply,0.040907107293605804, Simply,0.004178924020379782, simplement,0.004050351679325104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7837532074190676,False,False,False
11,16,⟨NEXT⟩,17.062247024253963, simply,0.0065315463580191135,simply,0.0052482448518276215,Simply,0.0019920088816434145, plain,0.0009708276484161615, egyszerű,0.0006075284327380359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9846498438273557,False,False,False
12,16,⟨NEXT⟩,6.447520655932916,ſſel,0.27733853459358215,萏,0.1484486162662506,⃢,0.09003863483667374, egyszerű,0.03312336280941963,simply,0.02423357032239437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4268172811716795,False,False,False
13,16,⟨NEXT⟩,17.033660975736762, plain,0.0019964012317359447,simply,0.00041846843669191003,plain,0.00036929710768163204, egyszerű,0.0002876088838092983,plains,0.0002538139233365655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9966744104167446,False,False,False
14,16,⟨NEXT⟩,17.616493699151906, plain,0.00017170538194477558,蛋白质,8.368252019863576e-05, беременности,7.046774408081546e-05, egyszerű,7.046774408081546e-05,plain,6.619832129217684e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9995374782884028,False,False,False
15,16,⟨NEXT⟩,17.578134998765787, civilian,0.0001280472642974928, juges,0.00010952463344438002, получа,8.397545025218278e-05, беременности,7.295912655536085e-05,Просто,7.295912655536085e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9995325343988952,False,False,False
16,16,⟨NEXT⟩,17.792636317199303, civilian,3.676914639072493e-05, juges,3.563787686289288e-05, phenomenal,3.0010103728272952e-05,Просто,2.8635840862989426e-05, получа,2.6900881493929774e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998420461506612,False,False,False
