layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass,copy_collapse,entropy_collapse,is_answer
0,16,⟨NEXT⟩,16.968053817749023, winding,9.172249519906472e-06, affirmative,9.151081030722708e-06,¨¨,8.990994501800742e-06,ucci,8.937382517615333e-06,treeview,8.89697275852086e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999548513196714,False,False,False
1,16,⟨NEXT⟩,16.96009063720703,cepts,1.3177843356970698e-05,こんに,1.3040590602031443e-05,мати,1.2840013368986547e-05,شته,1.2760877325490583e-05,adt,1.2712529496639036e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999354681458499,False,False,False
2,16,⟨NEXT⟩,16.96335220336914,улю,1.195540426124353e-05,cepts,1.1777235158660915e-05,мати,1.164008972409647e-05,Як,1.1512352102727164e-05,شته,1.1506637747515924e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999416082810058,False,False,False
3,16,⟨NEXT⟩,16.96256446838379,zier,1.2383183275233023e-05,alls,1.2257809430593625e-05,rella,1.1747105418180581e-05,erton,1.1744617950171232e-05,ォ,1.1719745089067146e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999401475388368,False,False,False
4,16,⟨NEXT⟩,16.9586124420166,alls,1.4593974810850341e-05,erton,1.4010043742018752e-05, unh,1.3449312973534688e-05, Hem,1.342588075203821e-05,zier,1.3209707503847312e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999313110802177,False,False,False
5,16,⟨NEXT⟩,16.95718002319336,alls,1.512286235083593e-05,erton,1.4196500160323922e-05, unh,1.3965340258437209e-05, gum,1.3721554751100484e-05,agna,1.3506154573406093e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999294875879059,False,False,False
6,16,⟨NEXT⟩,16.95612144470215,alls,1.4689461750094779e-05,BT,1.4471832400886342e-05, gum,1.4270884094003122e-05, backs,1.4234790796763264e-05,aders,1.4095160622673575e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999282378703356,False,False,False
7,16,⟨NEXT⟩,16.953330993652344,NodeId,1.5547908333246596e-05,alls,1.548882937640883e-05,BT,1.5238162632158492e-05, unh,1.4935544641048182e-05, backs,1.4911006473994348e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999238785485431,False,False,False
8,16,⟨NEXT⟩,16.959373474121094,inds,1.3559681065089535e-05, unh,1.3171449609217234e-05, поба,1.2959626474184915e-05,lia,1.2920419067086186e-05,inker,1.2802599485439714e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999934586224299,False,False,False
9,16,⟨NEXT⟩,16.959671020507812,NodeId,1.3464275980368257e-05,lia,1.3429214050120208e-05,inds,1.3205083632783499e-05,rop,1.283180154132424e-05,ctor,1.2733112271234859e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999343365125242,False,False,False
10,16,⟨NEXT⟩,16.9523868560791,inds,1.610312392585911e-05,NodeId,1.5708859791629948e-05,lia,1.5303487089113332e-05, backs,1.5048181921883952e-05, rim,1.4886884855513927e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999922949462416,False,False,False
11,16,⟨NEXT⟩,16.956024169921875,inds,1.4594209460483398e-05, Reyn,1.3869568647351116e-05,rop,1.379708010063041e-05, Perkins,1.3737996596319135e-05,yal,1.3735389984503854e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999302657552107,False,False,False
12,16,⟨NEXT⟩,16.956356048583984,lia,1.4445015949604567e-05,lik,1.3927849977335427e-05,inds,1.3783382200927008e-05,rop,1.3679057701665442e-05,w,1.3474372281052638e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999306903218894,False,False,False
13,16,⟨NEXT⟩,16.955209732055664,eds,1.4285424185800366e-05,roup,1.4265745448938105e-05,lik,1.4243837540561799e-05,cepts,1.4221065612218808e-05,xes,1.4040100722922944e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999289438264896,False,False,False
14,16,⟨NEXT⟩,16.950437545776367,idders,1.6737112673581578e-05,ouns,1.6252026398433372e-05,roup,1.5120401258172933e-05,eds,1.5105816601135302e-05, Kok,1.4816738257650286e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999921967904811,False,False,False
