layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass
0,0,<|begin_of_text|>,16.967355728149414, inf,9.904794751491863e-06,alls,9.612687790649943e-06,堂,9.57150314206956e-06, Parkway,9.45660394791048e-06, Dixon,9.412386134499684e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999520420242334
0,1,Give,16.96822166442871,ucci,8.798234375717584e-06, winding,8.764086487644818e-06,┘,8.718649041838944e-06,ollo,8.71735937835183e-06,"....
",8.702861123310868e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999562988095931
0,2, the,16.967411041259766,otten,9.672375199443195e-06,�,9.397480425832327e-06,wit,9.334596143162344e-06,945,9.330195098300464e-06,Mirror,9.311916073784232e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999529534370595
0,3, city,16.968124389648438,"....
",9.17132456379477e-06,"......

",9.11040206119651e-06,"....

",9.014665920403786e-06,".....

",9.007184416987002e-06,"....

",8.958945727499668e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999547374773101
0,4, name,16.968212127685547,"....
",8.901213732315227e-06, winding,8.881476787792053e-06,"......

",8.861155038175639e-06,oir,8.816978152026422e-06,"....

",8.814333341433667e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999557248429483
0,5, only,16.968177795410156,"...
",8.933520803111605e-06,oir,8.928571332944557e-06,"....
",8.924625944928266e-06,"......

",8.902024092094507e-06, winding,8.835994776745792e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999554752630502
0,6,",",16.966699600219727,exion,1.003212764771888e-05, prim,1.0010891855927184e-05, powering,9.9051731012878e-06, raft,9.895455150399357e-06, inde,9.84233611234231e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999503140161323
0,7, plain,16.968137741088867,"....
",9.078198672796134e-06,"....

",9.046852028404828e-06,"....

",8.964100743469317e-06,".....

",8.886777322913986e-06, affirmative,8.88381418917561e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999551402570432
0,8, text,16.968172073364258,"....
",9.059331205207855e-06, winding,8.974258889793418e-06,"......

",8.893618542060722e-06, affirmative,8.878545486368239e-06,"...
",8.840596819936763e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999553536490566
0,9,.,16.966798782348633, neutral,9.745016541273799e-06,فن,9.695661901787389e-06, inde,9.67390133155277e-06, Grat,9.656622751208488e-06, exhaust,9.612183021090459e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999516166144531
0,10, The,16.96748924255371,otten,9.576839147484861e-06,wit,9.354342182632536e-06,achten,9.346563274448272e-06,�,9.335064532933757e-06,945,9.3298540377873e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999530573368247
0,11, capital,16.96815299987793,"....
",9.266179404221475e-06,"....

",9.179366315947846e-06,"......

",9.111025065067224e-06,".....

",9.091277206607629e-06,"....

",9.09123718884075e-06,.......,9.010119356389623e-06,",...

",8.995076314022299e-06," [...]

",8.972850082500372e-06,"...
",8.88957492861664e-06,oir,8.87935675564222e-06,........,8.869906196196098e-06,┘,8.857825378072448e-06, Lor,8.842305760481395e-06, winding,8.83164830156602e-06,vern,8.829521902953275e-06,.........,8.816883564577438e-06,ucci,8.787586011749227e-06,renderer,8.787155820755288e-06, Zw,8.782049917499535e-06,ring,8.759950105741154e-06,0.9998213491044226
0,12, of,16.968122482299805, Weber,8.799927854852285e-06, exp,8.791796972218435e-06, keyed,8.780700227362104e-06,prim,8.771040484134573e-06,uj,8.767712643020786e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999560888218184
0,13, Germany,16.9681453704834,"....
",9.053866961039603e-06,"....

",8.929787327360827e-06,"....

",8.87382611836074e-06, winding,8.86991256265901e-06,ucci,8.850667654769495e-06,oir,8.832307685224805e-06,.......,8.829362741380464e-06,".....

",8.82734457263723e-06,┘,8.812995474727359e-06,"......

",8.810861800157e-06,rawler,8.799080205790233e-06,renderer,8.781491487752646e-06,",...

",8.769431588007137e-06, affirmative,8.76496960700024e-06,"...
",8.751992936595343e-06,........,8.734450602787547e-06,ring,8.726484338694718e-06,шка,8.722799066163134e-06, fors,8.717767741472926e-06,.........,8.71616884978721e-06,0.9998238244306776
