layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass,copy_collapse,entropy_collapse,is_answer
0,16,⟨NEXT⟩,16.99850845336914, Forbes,9.551221410220023e-06, institutes,9.321828656538855e-06, shades,9.25367021409329e-06,ulle,9.246104127669241e-06,ej,9.245974069926888e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999533812015216,False,False,False
1,16,⟨NEXT⟩,16.974502563476562,随着时间的,3.591292261262424e-05,此之前,2.847908399417065e-05,随着时间的推移,2.7695579774444923e-05,说实,2.5233073756680824e-05,我敢,2.1537927750614472e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998611414121115,False,False,False
2,16,⟨NEXT⟩,16.944101333618164,随着时间的,6.23476444161497e-05,说实,4.697012627730146e-05,此之前,4.437913230503909e-05,随着时间的推移,4.168763916823082e-05, quelcon,3.977644519181922e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997648390126415,False,False,False
3,16,⟨NEXT⟩,16.81198501586914,随着时间的,0.0001704813475953415,说实,0.00016466063971165568, quelcon,0.00012959475861862302,šlo,9.995258005801588e-05,随着时间的推移,9.660090290708467e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9993387097711093,False,False,False
4,16,⟨NEXT⟩,16.868196487426758, quelcon,7.915031164884567e-05,oł,7.758168067084625e-05,说实,7.579146040370688e-05,此之前,6.409880734281614e-05,随着时间的,6.333782221190631e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996400399177219,False,False,False
5,16,⟨NEXT⟩,16.902732849121094,народ,6.746809958713129e-05, quelcon,5.783198866993189e-05,说实,5.401331509347074e-05,큼,4.793762491317466e-05,渐渐地,4.684755185735412e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997259014198789,False,False,False
6,16,⟨NEXT⟩,16.90873146057129,народ,5.7901914260583e-05,-на,4.521264781942591e-05, quelcon,4.383141276775859e-05,说实,4.039206396555528e-05,中略,4.010138945886865e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997725605717278,False,False,False
7,16,⟨NEXT⟩,16.89779281616211,народ,6.243419193197042e-05,中略,5.782902371720411e-05,cius,5.2298084483481944e-05,说实,5.0948361604241654e-05, quelcon,4.942210216540843e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997270682360977,False,False,False
8,16,⟨NEXT⟩,16.895511627197266, quelcon,5.6709486671024933e-05, simply,5.1882972911698744e-05,-на,4.353978511062451e-05,中略,4.125784107600339e-05,народ,4.057093246956356e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997660389817611,False,False,False
9,16,⟨NEXT⟩,16.885221481323242, simply,5.978608169243671e-05,əh,5.1982256991323084e-05,说实,5.101478745928034e-05, hétérogènes,4.7929686843417585e-05,从那以后,4.681854625232518e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997424686407612,False,False,False
10,16,⟨NEXT⟩,16.835926055908203, hétérogènes,8.650385279906914e-05,说实,7.956894842209294e-05,从那以后,7.152462058002129e-05,ugliel,6.355332880048081e-05, Daarnaast,6.260840746108443e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996362408419373,False,False,False
11,16,⟨NEXT⟩,16.84233856201172,从那以后,8.95772100193426e-05,luš,8.258901652880013e-05, simply,7.98932378529571e-05,说实,7.467989780707285e-05, hétérogènes,7.068303966661915e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996025775981252,False,False,False
12,16,⟨NEXT⟩,16.84012222290039, simply,0.0001520995720056817, просто,6.824724550824612e-05, semplicemente,6.560097972396761e-05,-на,6.40106009086594e-05,ugliel,6.370370829245076e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999586337893561,False,False,False
13,16,⟨NEXT⟩,16.87094497680664, simply,8.851553866406903e-05,meer,5.3872616263106465e-05, просто,5.137359403306618e-05,стен,5.041146869189106e-05,ôt,4.986880594515242e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997059579764027,False,False,False
14,16,⟨NEXT⟩,16.81495475769043,стен,8.969272312242538e-05,-т,7.31451582396403e-05,luš,7.269804336829111e-05," """,6.900283187860623e-05,mén,6.747488805558532e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996279863553355,False,False,False
15,16,⟨NEXT⟩,16.816375732421875,luš,9.532264084555209e-05,əh,7.296932744793594e-05, «**,7.261814607772976e-05,zza,7.154335617087781e-05, Generic,6.438501441152766e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996231615150464,False,False,False
16,16,⟨NEXT⟩,16.830005645751953,luš,0.00011140952119603753, Generic,6.212604057509452e-05, olaraq,5.9872600104426965e-05,té,5.915149085922167e-05,ementara,5.7249897508881986e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996501904497563,False,False,False
17,16,⟨NEXT⟩,16.77523422241211,luš,0.00014023327094037086, straightforward,8.100128616206348e-05,oč,7.963799725985155e-05,-minded,7.539986836491153e-05, oly,7.26148282410577e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9995511127490317,False,False,False
18,16,⟨NEXT⟩,16.760787963867188,luš,0.00015344007988460362,té,0.00012445691390894353, saja,0.00010251929779769853, straightforward,0.0001001167474896647,ว่า,9.752385085448623e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9994219431100646,False,False,False
19,16,⟨NEXT⟩,16.774606704711914,luš,0.00022749359777662903, simply,0.00016578129725530744, oly,0.00011485143477329984, saja,0.00010011527047026902, straightforward,9.863750892691314e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9992931208907976,False,False,False
20,16,⟨NEXT⟩,16.742412567138672,luš,0.0001694130914984271, simply,0.00011385582183720544, oly,0.00011116041423520073,-на,0.00010477463365532458, rather,0.00010377790022175759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9993970181385521,False,False,False
21,16,⟨NEXT⟩,16.774662017822266, simply,0.0002302979992236942,ว่า,0.00013728397607337683, saja,0.00012892561790067703,ỳ,0.00011648303916445002,lerle,9.791828779270872e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9992890910798451,False,False,False
22,16,⟨NEXT⟩,16.764379501342773, simply,0.00022351148072630167,ว่า,0.0001880201161839068,-на,0.00012674072058871388,asteel,0.00012235144095029682,ĵ,0.0001198679456138052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999219508295937,False,False,False
23,16,⟨NEXT⟩,16.76902198791504,-на,0.0001997815998038277,ว่า,0.00019081187201663852, simply,0.00017140357522293925,mehr,0.00014495724462904036, ',0.00013575211050920188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9991572935978184,False,False,False
24,16,⟨NEXT⟩,16.758028030395508,-на,0.0002450617612339556, simply,0.00021623870998155326,ว่า,0.00016150936426129192, «**,0.00015820546832401305,ĵ,0.00012576355948112905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9990932211367181,False,False,False
25,16,⟨NEXT⟩,16.747480392456055, «**,0.0003175684541929513, simply,0.0002477214438840747,-на,0.00021758383081760257,ว่า,0.0001417458988726139, saja,0.00013469744590111077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9989406829263316,False,False,False
26,16,⟨NEXT⟩,16.76917839050293, «**,0.00029765197541564703, simply,0.00020299837342463434,-на,0.00014652525715064257,keits,0.0001315424160566181,ว่า,0.00011191397061338648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9991093680073391,False,False,False
27,16,⟨NEXT⟩,16.77630043029785, «**,0.0003501731844153255,-на,0.00016345416952390224,keits,0.00013930407294537872, simply,0.00010509975982131436,mehr,9.77105155470781e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999144258297747,False,False,False
28,16,⟨NEXT⟩,16.74065399169922, «**,0.0003835812967736274,-на,0.00035381660563871264, «,0.00018789547902997583,keits,0.00018259901844430715," """,0.0001651505590416491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9987269570410717,False,False,False
29,16,⟨NEXT⟩,16.760404586791992, «**,0.00043983873911201954,-на,0.00021042523439973593,keits,0.00015641127538401634, «,0.00010521600779611617, saja,9.763398702489212e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9989904747562832,False,False,False
30,16,⟨NEXT⟩,16.742570877075195,-на,0.0003858819545712322, «**,0.00031337683321908116, Berlin,0.00016948569100350142, «,0.00013955406029708683,keits,0.00013854684948455542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9988531546114245,False,False,False
31,16,⟨NEXT⟩,16.793106079101562,-на,0.00040937724406830966, Berlin,0.00026363643701188266, «**,0.0001629145845072344,-minded,0.00013246403250377625,etta,0.00011789074778789654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9989137169541209,False,False,False
32,16,⟨NEXT⟩,16.788814544677734,-на,0.0003277306677773595, Berlin,0.000275501050055027, «**,0.00017153298540506512,-minded,0.00014108000323176384,Berlin,0.00011071170592913404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9989734435876017,False,False,False
33,16,⟨NEXT⟩,16.773998260498047, Berlin,0.0004247833858244121,-на,0.0003077344154007733, «**,0.0002098433906212449,Berlin,0.00016546918777748942, «,0.00013354365364648402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9987586259667296,False,False,True
34,16,⟨NEXT⟩,16.761343002319336, Berlin,0.0006069177761673927,-на,0.00028676961665041745,Berlin,0.00019085606618318707,-minded,0.0001897445326903835, «,0.0001849452091846615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.998540766799124,False,False,True
35,16,⟨NEXT⟩,16.7338924407959, Berlin,0.0023510227911174297,Berlin,0.0006282363901846111, ber,0.0005926997400820255,-Ber,0.0004677661054302007, Бер,0.0003687508578877896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9955915241152979,False,False,True
36,16,⟨NEXT⟩,16.699424743652344, Berlin,0.0026349781546741724,Berlin,0.0006825318560004234," """,0.000628882844466716, `,0.0004955240874551237,:,0.0004900266649201512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9950680563924834,False,False,True
37,16,⟨NEXT⟩,16.513315200805664," """,0.0040452489629387856, Berlin,0.003233937546610832, “,0.0018408575560897589, ',0.0018050241051241755, `,0.0016710922354832292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9874038395937532,False,False,False
38,16,⟨NEXT⟩,15.869349479675293," """,0.02536039426922798, “,0.009357024915516376, ',0.008242703042924404, Berlin,0.005213631317019463,:,0.004547121934592724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.947279124520719,False,False,False
39,16,⟨NEXT⟩,16.004974365234375, Berlin,0.027102168649435043, ber,0.015129737555980682,Berlin,0.004054014105349779," """,0.003024264005944133, Бер,0.0024049554485827684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9482848602347076,False,False,True
40,16,⟨NEXT⟩,3.180720090866089, Berlin,0.45546209812164307," """,0.21269574761390686, “,0.07918655127286911, ',0.036301713436841965,:,0.03526588901877403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18108800053596497,False,False,True
