layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass,copy_collapse,entropy_collapse,is_answer
0,16,⟨NEXT⟩,15.9623384475708, Denote,2.174902692786418e-05,npred,2.0998557374696247e-05,erity,2.0746529116877355e-05,密切,2.067410241579637e-05,insula,2.0409952412592247e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998954218317522,False,False,False
1,16,⟨NEXT⟩,15.941797256469727,.,5.036619768361561e-05,ODM,4.161410470260307e-05,••,3.911902604158968e-05,",",3.896795533364639e-05, ,3.870156069751829e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999791231155541,False,False,False
2,16,⟨NEXT⟩,15.932032585144043,.,6.985654908930883e-05,ODM,5.803205567644909e-05,MTI,5.109267294756137e-05,",",4.907049151370302e-05,MTY,4.8551835789112374e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997233963949839,False,False,False
3,16,⟨NEXT⟩,15.839134216308594,MTY,0.00011592909868340939,nexper,0.00010938800551230088,MTQ,0.0001077148481272161,***\\,0.00010567347635515034,('\\\\,0.00010156383359571919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9994597307377262,False,False,False
4,16,⟨NEXT⟩,15.82593822479248,MTY,0.0001412353158229962,MTQ,0.00012613667058758438,nexper,0.00011770109267672524,XFF,0.00011657593859126791,***\\,0.00011501702101668343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9993833339613047,False,False,False
5,16,⟨NEXT⟩,15.863527297973633,MTY,0.0001106511554098688,MTQ,0.000102179117675405,nexper,9.29650996113196e-05,XFF,8.912633347790688e-05,MTU,8.418990910286084e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9995208883847226,False,False,False
6,16,⟨NEXT⟩,15.829475402832031,MTQ,0.00015065097250044346,MTY,0.00014893371553625911,nexper,0.00013051231508143246,~\\\\,0.00011126051686005667,gettable,0.00010577424109214917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9993528682389297,False,False,False
7,16,⟨NEXT⟩,15.862338066101074,MTY,0.000109316453745123,~\\\\,0.00010332799865864217,MTU,9.965826029656455e-05,MTQ,9.275510092265904e-05,审理终结,8.829202124616131e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9995066501651308,False,False,False
8,16,⟨NEXT⟩,15.872590065002441,其特征是,0.0001010230989777483,~\\\\,9.989309910451993e-05,MTY,9.400388080393896e-05,审理终结,9.229546412825584e-05,AULT,9.094487904803827e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9995218395779375,False,False,False
9,16,⟨NEXT⟩,15.836432456970215,审理终结,0.00012739046360366046,MTY,0.00011940365220652893,~\\\\,0.00011776993051171303,gettable,0.00011740552872652188,AULT,0.0001151316100731492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9994028988148784,False,False,False
