layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass
0,0,<|begin_of_text|>,16.964189529418945,ouv,1.2212891306262463e-05,ünüz,1.165511548606446e-05, Mand,1.1369131243554875e-05,bestos,1.1197840649401769e-05,гл,1.0973261851177085e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999425917594635
0,1,Give,16.957189559936523,"
",1.3653496353072114e-05,ILLISECONDS,1.3590795788331889e-05,́,1.3294721611600835e-05,fully,1.3154396583558992e-05,bare,1.2932226127304602e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999333743635361
0,2, the,16.9552059173584,.AutoComplete,1.430139036528999e-05,.opensource,1.4177269804349635e-05, Feinstein,1.3958803720015567e-05,ioso,1.3824799680151045e-05, kontakte,1.3773111277259886e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999299646251529
0,3, city,16.95952606201172,istle,1.3051029782218393e-05,us,1.3037052667641547e-05,emics,1.2585605873027816e-05, Richt,1.2497617717599496e-05,://,1.2488476386351977e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999363402175732
0,4, name,16.95732307434082,emics,1.4273286069510505e-05,obbies,1.4010010090714786e-05,offer,1.3953123016108293e-05,anz,1.3567540008807555e-05, Dyn,1.345192504231818e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999307441157725
0,5, only,16.95578956604004,ots,1.4334766092360951e-05,igator,1.3916389434598386e-05,ーリ,1.3860525541531388e-05,undo,1.3806864444632083e-05, Abs,1.3679891708306968e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999304015627786
0,6,",",16.950950622558594,ExecutionContext,1.717289887892548e-05,athers,1.6431169569841586e-05,".)



",1.577262628416065e-05,ñana,1.557131326990202e-05, Awakening,1.5512459867750295e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999195395321294
0,7, plain,16.957592010498047,.googleapis,1.493315812695073e-05,antage,1.4769379959034268e-05,OUSE,1.3905816558690276e-05,ioned,1.3590889466286171e-05,(Source,1.3191724065109156e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999296090318239
0,8, text,16.958953857421875,abb,1.3862390005670022e-05,とも,1.3398418559518177e-05,kov,1.269416134164203e-05,ForRow,1.2613476428668946e-05,ovice,1.2597522072610445e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999348340315919
0,9,.,16.9520320892334," ******************************************************************************
",1.788880217645783e-05,ayd,1.655611049500294e-05,ayet,1.602848533366341e-05,iedo,1.5704452380305156e-05,aliz,1.5396009985124692e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999184261396294
