layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass,copy_collapse,entropy_collapse,is_answer
0,16,⟨NEXT⟩,14.955116271972656,dabei,5.43289388588164e-05,/******/,5.23242233612109e-05,座,5.1993138185935095e-05,ogy,5.081352355773561e-05,ppe,5.027059523854405e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997402695807978,False,False,False
1,16,⟨NEXT⟩,14.958433151245117,❶,4.888665353064425e-05,ask,4.6773417125223204e-05,,4.671635542763397e-05,äst,4.6420751459663734e-05,omet,4.555624764179811e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999765646574815,False,False,False
2,16,⟨NEXT⟩,14.952078819274902,simply,5.947752288193442e-05,❶,5.844115366926417e-05,tb,5.728282485506497e-05,/******/,5.581942605203949e-05,azu,5.543914812733419e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997135399244144,False,False,False
3,16,⟨NEXT⟩,14.944883346557617,simply,7.575163181172684e-05,eston,7.338516297750175e-05,/******/,7.140572415664792e-05,azu,6.167592073325068e-05,❶,5.986598625895567e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996579155740619,False,False,False
4,16,⟨NEXT⟩,14.93440055847168,simply,9.17655197554268e-05,eston,7.708588964305818e-05,äl,7.104953692760319e-05,azu,7.03934274497442e-05,inx,7.015323353698477e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996195523926872,False,False,False
5,16,⟨NEXT⟩,14.929191589355469,simply,0.00011639901640592143,ifi,9.012204100145027e-05,[…],8.607906056568027e-05,Simply,7.992171595105901e-05,azu,7.94160005170852e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9995480621655588,False,False,False
6,16,⟨NEXT⟩,14.918190002441406,simply,0.0001281204604310915,[…],9.919737203745171e-05,uler,9.085100464290008e-05,apt,8.822797099128366e-05,amon,8.814185275696218e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9995054613391403,False,False,False
7,16,⟨NEXT⟩,14.910040855407715,plain,0.00010179208038607612,eval,0.00010149429726880044,ifi,0.00010011612175730988,[…],9.5345065346919e-05,iron,9.488064824836329e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9995063717869925,False,False,False
8,16,⟨NEXT⟩,14.89979076385498,olas,0.0001145564965554513,raw,0.00011366500257281587,[…],0.0001133324985858053,cles,0.00010824827768374234,edy,0.00010258754628011957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9994476101783221,False,False,False
9,16,⟨NEXT⟩,14.893994331359863,anel,0.00013302883598953485,cles,0.00012159819743828848,rite,0.00010794065019581467,raw,0.00010731002839747816,simply,0.00010431360715301707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9994258086808259,False,False,False
10,16,⟨NEXT⟩,14.888526916503906,anel,0.00011698297021212056,rad,0.00011054113565478474,alike,0.00010672244388842955,ält,0.00010558214853517711,«,0.00010133923933608457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9994588320623734,False,False,False
11,16,⟨NEXT⟩,14.883952140808105,inho,0.00011807019473053515,[…],0.00011567349429242313,unf,0.00011255339632043615,plic,0.00010521911463001743,«,0.00010511640721233562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9994433673928143,False,False,False
12,16,⟨NEXT⟩,14.880340576171875,ifi,0.00013855767610948533,[…],0.0001369434321532026,iron,0.0001259120472241193,',0.0001235973322764039,"""",0.00011576927499845624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9993592202372383,False,False,False
13,16,⟨NEXT⟩,14.869928359985352,[…],0.00013752473751083016,mate,0.00013698858674615622,Roose,0.00012894044630229473,Fuck,0.00012718957441393286,official,0.00012327637523412704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9993460802797927,False,False,False
14,16,⟨NEXT⟩,14.85781192779541,mate,0.00020409772696439177,ív,0.000178191126906313,[…],0.00014600457507185638,official,0.00013863993808627129,Dez,0.00013463714276440442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9991984294902068,False,False,False
15,16,⟨NEXT⟩,14.847138404846191,[…],0.00025974944583140314,simply,0.00021076275152154267,ixer,0.00019022241758648306,«,0.0001829351094784215,Simply,0.0001604965073056519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9989958337682765,False,False,False
16,16,⟨NEXT⟩,14.81943416595459,simply,0.0004091960727237165,plain,0.0002322439249837771,Fuck,0.0001974882179638371,plain,0.00019729543419089168,Simply,0.0001707449700916186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9987930313800462,False,False,False
17,16,⟨NEXT⟩,14.782751083374023,simply,0.0005569073255173862,Fuck,0.00035399183980189264,plain,0.00025646909489296377,叫,0.0002307972317794338,plain,0.00021428796753752977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9983875465404708,False,False,False
18,16,⟨NEXT⟩,14.753975868225098,simply,0.0010816325666382909,"""",0.0004137613286729902,Fuck,0.0003337677917443216,“,0.0002799649373628199,without,0.0002635168784763664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9976273564971052,False,False,False
19,16,⟨NEXT⟩,14.701233863830566,simply,0.004847764503210783,plain,0.000615121447481215,Simply,0.0005503154825419188,"""",0.0005119495908729732,“,0.00046070473035797477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9930141442455351,False,False,False
20,16,⟨NEXT⟩,14.639768600463867,simply,0.007095173932611942,Germany,0.0012450560461729765,capital,0.0009055807022377849,city,0.0006822343566454947,city,0.0006742860423400998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9893976689199917,False,False,False
21,16,⟨NEXT⟩,14.53370475769043,simply,0.0075073158368468285,capital,0.0052614640444517136,Germany,0.002584344008937478,“,0.001418872270733118,"""",0.0013725347816944122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9818554690573364,False,False,False
22,16,⟨NEXT⟩,14.503305435180664,simply,0.004811171442270279,capital,0.0041313194669783115,Germany,0.0038962054532021284,Berlin,0.002438182942569256,“,0.0015347423031926155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9831883783917874,False,False,False
23,16,⟨NEXT⟩,14.37990951538086,simply,0.01709504798054695,capital,0.004637156147509813,Germany,0.0035833166912198067,Berlin,0.0028792759403586388,“,0.0015502221649512649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9702549810754135,False,False,False
24,16,⟨NEXT⟩,14.211136817932129,simply,0.0174745824187994,Berlin,0.00976413581520319,Germany,0.007143594790250063,Frankfurt,0.004401041194796562,capital,0.003991571255028248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9572250745259225,False,False,False
25,16,⟨NEXT⟩,11.636174201965332,Berlin,0.1302635371685028,Germany,0.09093859791755676,Frankfurt,0.022025831043720245,German,0.012747570872306824,Deutschland,0.010818724520504475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7332057384774089,False,False,True
26,16,⟨NEXT⟩,9.891179084777832,Berlin,0.25216883420944214,Germany,0.09204580634832382,Frankfurt,0.03193467855453491,German,0.01134226843714714,Hamburg,0.009970494545996189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6025379179045558,False,False,True
27,16,⟨NEXT⟩,8.83319091796875,Berlin,0.35536298155784607,Germany,0.07507234066724777,Frankfurt,0.021592767909169197,simply,0.009847348555922508,Hamburg,0.009507167153060436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.528617394156754,False,False,True
28,16,⟨NEXT⟩,8.414161682128906,Berlin,0.3913579285144806,Germany,0.04512634873390198,Frankfurt,0.013602418825030327,"""",0.013132517226040363,simply,0.012828301638364792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.523952485062182,False,False,True
29,16,⟨NEXT⟩,7.894835948944092,Berlin,0.33057278394699097,"""",0.06929181516170502,“,0.03566836938261986,',0.03098921664059162,Germany,0.030508775264024734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5029690396040678,False,False,True
30,16,⟨NEXT⟩,7.239440441131592,Berlin,0.3465653955936432,"""",0.0758335143327713,“,0.05679668113589287,Germany,0.04320863261818886,‘,0.026105187833309174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4514905884861946,False,False,True
31,16,⟨NEXT⟩,7.827925205230713,Berlin,0.2440701127052307,"""",0.09191764891147614,“,0.054459407925605774,Germany,0.0513601079583168,',0.03355146571993828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5246412567794323,False,False,True
32,16,⟨NEXT⟩,3.6098573207855225,Berlin,0.38210946321487427,"""",0.17494246363639832,“,0.10446291416883469,',0.05768990144133568,Germany,0.0513104610145092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22948479652404785,False,False,True
