layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass,copy_collapse,entropy_collapse,is_answer
0,15,⟨NEXT⟩,17.21424102783203,s,6.8847998591081705e-06,l,6.878453405079199e-06,i,6.875896815472515e-06,o,6.867708179925103e-06,y,6.856481832073769e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999656366599083,False,False,False
1,15,⟨NEXT⟩,17.214149475097656,下一篇,7.176229701144621e-06,.myapplication,7.139428817026783e-06,有的玩家,7.119022484403104e-06,.mvp,7.073937467794167e-06,.timedelta,7.069329512887634e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999644220520167,False,False,False
2,15,⟨NEXT⟩,17.142515182495117,ولوج,9.678963397163898e-05,ستحق,9.573882562108338e-05,شدد,9.290335583500564e-05,نجح,8.285212243208662e-05,有意思的,6.910668889759108e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9995626093732426,False,False,False
3,15,⟨NEXT⟩,17.063072204589844,شدد,0.00013430679973680526,ستحق,0.00011768368858611211,ولوج,0.00011755578452721238,نجح,0.00011242274194955826,.myapplication,9.630561544327065e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999421725369757,False,False,False
4,15,⟨NEXT⟩,17.08906364440918,.myapplication,0.0001303844474023208,نجح,0.00012794283975381404,ستحق,0.00012561678886413574,شدد,0.000111673231003806,ولوج,0.00010647429735399783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9993979083956219,False,False,False
5,15,⟨NEXT⟩,17.007232666015625,ستحق,0.00019868738309014589,.myapplication,0.0001810243702493608,نجح,0.00015774961502756923,شدد,0.00013620157551486045,ناقش,0.00012404921289999038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9992022878432181,False,False,False
6,15,⟨NEXT⟩,17.0314998626709,.myapplication,0.000126414728583768,شدد,0.00010801574535435066,ولوج,9.823573782341555e-05,ستحق,9.726427379064262e-05,نجح,9.516898717265576e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9994749005272752,False,False,False
7,15,⟨NEXT⟩,16.937198638916016,.myapplication,0.0002178626018576324,شدد,0.0001820186007535085,ستحق,0.00017639921861700714,ولوج,0.0001735493278829381,نجح,0.00015105416241567582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9990991160884732,False,False,False
8,15,⟨NEXT⟩,16.798046112060547,.myapplication,0.00031055277213454247,有期徒,0.00030017821700312197,ستحق,0.0002509905898477882,かもしれ,0.00022237574739847332,のではない,0.00020756194135174155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9987083407322643,False,False,False
9,15,⟨NEXT⟩,16.120342254638672,ستحق,0.0024206796661019325,.myapplication,0.0021263062953948975,有期徒,0.0019199044909328222,ولوج,0.0017345951637253165,اقتص,0.0013936135219410062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.990404900861904,False,False,False
