layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass
0,0,Give,17.212853947637807,spr,7.155362254707143e-06, *__,7.153615570132388e-06,ovy,7.129641744541004e-06,ooled,7.104013548087096e-06, Gibraltar,7.103146344888955e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999643542205376
0,1, the,17.21288429079553,зам,7.125974207156105e-06,本报,7.107296369213145e-06,дра,7.105561508069513e-06,eya,7.105561508069513e-06, complexion,7.09732648829231e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999644582799192
0,2, city,17.212856040686816,asia,7.20604930393165e-06,ording,7.1902331910678186e-06,Dat,7.172700406954391e-06, Dat,7.138633918657433e-06,ATA,7.1338427005684935e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999641585404788
0,3, name,17.212860492679816,ýt,7.303237453015754e-06,eting,7.255253876792267e-06, translating,7.193083547463175e-06,calcul,7.14626048647915e-06,一事,7.131880920496769e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999639702837158
0,4, only,17.212853239551507,挚,7.194218142103637e-06,focused,7.181056844274281e-06,熊,7.167482181102969e-06,一个小,7.143026323319646e-06,uzzi,7.137361080822302e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999641768554284
0,5,",",17.212897777557302,不够,7.107132660166826e-06,edor,7.103663392626913e-06,��,7.0820174187247176e-06,pad,7.07467279426055e-06,DR,7.062161785142962e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999645703519491
0,6, plain,17.21285502381361,锣,7.333000212383922e-06, TSA,7.246683708217461e-06,胞,7.245356755447574e-06,lights,7.194679710664786e-06,犯,7.181079126894474e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999637992004864
0,7, text,17.21285126745239,MOVED,7.223456577776233e-06, dig,7.180378815974109e-06,iaux,7.175559858296765e-06,一事,7.168118372646859e-06,ingham,7.1480212682217825e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999641044651071
0,8,.,17.212909816475516,在现场,7.170746357587632e-06,特别是,7.12059045326896e-06,鉴定,7.084177013894077e-06,报告显示,7.071649179124506e-06, disliked,7.068196737236576e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999644846402589
0,9, The,17.212843551507653, parallels,7.204278517747298e-06, mere,7.18978253644309e-06,OLA,7.176629878813401e-06,փ,7.174878192017786e-06,unsupported,7.172251116571715e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999640821797584
0,10, capital,17.2128567526909, forth,7.141996320569888e-06,Invariant,7.127625849534525e-06, TERMS,7.112850198609522e-06,果然,7.107641977199819e-06,صر,7.105907116056187e-06,眼前,7.104606083885301e-06, dot,7.1020044742908794e-06,enso,7.099838057911256e-06,obili,7.096371518855449e-06,ORY,7.095938599377405e-06, lie,7.092475243553054e-06,巩,7.092475243553054e-06,til,7.085118795657763e-06, Allan,7.078203452692833e-06,何必,7.0747482823207974e-06, forwards,7.073452707118122e-06,ycin,7.072158496157499e-06, Eg,7.072158496157499e-06,湍,7.071726486174157e-06,问我,7.069568709994201e-06,0.9998581231338903
0,11, of,17.212887110167358,vox,7.237881618493702e-06,EMAIL,7.136115073080873e-06,更多信息,7.109161288099131e-06,Ẩ,7.100054972397629e-06,stdin,7.100054972397629e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999643167320755
0,12, Germany,17.212856233918185,afe,7.2053312578646e-06,谲,7.20093476047623e-06,一角,7.194345016614534e-06,青山,7.187323262769496e-06,ifact,7.1785539148550015e-06,fell,7.173299309215508e-06,殃,7.161924258980434e-06,EXP,7.1488225330540445e-06,放出,7.138358341762796e-06,同期,7.134438419598155e-06, Manufact,7.125734555302188e-06, fitted,7.124864623619942e-06, fists,7.100120456016157e-06,.Rendering,7.096220997482305e-06,原件,7.094055490597384e-06,传出,7.091891347954515e-06,Platforms,7.0910259637457784e-06,小腿,7.0905930442677345e-06,itore,7.088429356372217e-06,곱,7.085401193762664e-06,0.9998572883318957
0,13, is,17.212830785705354,otope,7.220555289677577e-06,oles,7.217030542960856e-06,逮,7.195478701760294e-06,茬,7.170051503635477e-06,而言,7.135126907087397e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999640617570549
0,14, called,17.21285518152248,Flo,7.201810603874037e-06,МИ,7.176360668381676e-06,协办,7.156677838793257e-06,TE,7.1540575845574494e-06, bund,7.149692009988939e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999641614012944
0,15, simply,17.212852107132843,CLICK,7.252922841871623e-06,称之,7.209228897409048e-06,oreal,7.197797458502464e-06, CLICK,7.173237463575788e-06,flix,7.167986041167751e-06,_PS,7.146144525904674e-06,嵯,7.141783953557024e-06, kron,7.141347850847524e-06,堰,7.1308945734926965e-06, trif,7.126544005586766e-06,ultan,7.121760518202791e-06, Overnight,7.116546839824878e-06, Flake,7.114374966477044e-06,Exited,7.112638741091359e-06,臣,7.106563316483516e-06,zik,7.103527877916349e-06,�,7.102660219970858e-06,什么原因,7.102227300492814e-06,aar,7.101793926267419e-06,.flip,7.101793926267419e-06,0.9998572282247551
1,0,Give,17.19606516842638,leh,1.3187662261771038e-05,-vous,1.3021299309912138e-05,相结合,1.3014941941946745e-05,结合起来,1.2688645256275777e-05,ofile,1.2657704246521462e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999354297469836
1,1, the,17.210699882442146, Rig,8.752044777793344e-06,esus,8.591150617576204e-06,浓浓,8.439393241133075e-06, next,8.43733323563356e-06,ERAL,8.412650458922144e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999573674276689
1,2, city,17.192101906515873,scape,1.9033870557905175e-05,geme,1.507910383224953e-05,-city,1.4679535524919629e-05,堡,1.4672370525659062e-05,lord,1.4103393368714023e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999224317261906
1,3, name,17.197211284575506,plate,1.9713284928002395e-05,plates,1.678772969171405e-05,paced,1.631896520848386e-05,ake,1.4060959983908106e-05,cheap,1.3971987755212467e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999191470724327
1,4, only,17.189453174092034,这样才能,1.848760621214751e-05,ied,1.6070156561909243e-05,在一旁,1.5170408914855216e-05,限,1.4913350241840817e-05,tron,1.4258239389164373e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999211002386801
