layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass,copy_collapse,entropy_collapse,is_answer
0,16,⟨NEXT⟩,15.962135660187664, Denote,2.195591696363408e-05,npred,2.1181920601520687e-05,erity,2.0924922864651307e-05,密切,2.0838257114519365e-05,insula,2.0565335944411345e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998945336465113,False,False,False
1,16,⟨NEXT⟩,15.965031099297018,PREFIX,1.8063094103126787e-05,EFORE,1.7948799722944386e-05,藏,1.786355278454721e-05,ifiable,1.7783053408493288e-05, PST,1.7731028492562473e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999106104714883,False,False,False
2,16,⟨NEXT⟩,15.96406476599966,ifiable,1.943952520377934e-05,知己,1.9283537767478265e-05, Naval,1.8996164726559073e-05,widetext,1.8933656974695623e-05,一定,1.8922104572993703e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999044250107545,False,False,False
3,16,⟨NEXT⟩,15.960797845409797,.,2.7234320441493765e-05, ,2.4240454877144657e-05,",",2.4087070414680056e-05,ODM,2.2539492420037277e-05, 判,2.2200887542567216e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998796977743041,False,False,False
4,16,⟨NEXT⟩,15.961435993024862, Marketing,2.1024641682743095e-05,承担责任,2.095290255965665e-05,公证,2.0917124857078306e-05,拐,2.0876310372841544e-05,Ta,2.0876310372841544e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998953527101548,False,False,False
5,16,⟨NEXT⟩,15.959397531679713,拐,2.371820664848201e-05, AST,2.2882086341269314e-05,port,2.269847391289659e-05,inel,2.245594805572182e-05,LOB,2.2297519535641186e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999885947765506,False,False,False
6,16,⟨NEXT⟩,15.957312067641016,ostream,2.3904220142867416e-05,rill,2.3781978597980924e-05,ractions,2.3700829842709936e-05,西,2.3527874873252586e-05,雀,2.3487700673285872e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998815973958699,False,False,False
7,16,⟨NEXT⟩,15.953742086310967,tons,2.9035069019300863e-05,port,2.7196128939976916e-05,认定,2.5312474463135004e-05, mod,2.5275425286963582e-05,诱导,2.5232264306396246e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998679486379842,False,False,False
8,16,⟨NEXT⟩,15.948232215798857,tons,3.065198689000681e-05,port,2.902071901189629e-05,享,2.832078462233767e-05,诉讼代理人,2.7610753022599965e-05,ilk,2.7583804694586433e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998568119517586,False,False,False
9,16,⟨NEXT⟩,15.947541101765633,诉讼代理人,3.2354582799598575e-05,认定,3.1267398298950866e-05,tons,3.006956285389606e-05, mod,2.998159652634058e-05,port,2.879081694118213e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99984753604258,False,False,False
10,16,⟨NEXT⟩,15.9446175785808,诉讼代理人,3.6025314329890534e-05, marketing,3.210422073607333e-05, Marketing,3.199467755621299e-05,寂寞,2.9924425689387135e-05,在内,2.9074642952764407e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998408767187357,False,False,False
11,16,⟨NEXT⟩,15.947591331030234,诉讼代理人,3.401319918339141e-05,ordial,3.0192939448170364e-05,囊,3.0119314033072442e-05,issors,2.9235434340080246e-05,站着,2.860006134142168e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998478390516539,False,False,False
12,16,⟨NEXT⟩,15.942210604440172, Marketing,3.447203562245704e-05,诉讼代理人,3.442157685640268e-05,ALE,3.432087760302238e-05,召,3.163331712130457e-05, marketing,3.1602441595168784e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998335497512016,False,False,False
13,16,⟨NEXT⟩,15.937557578211546,避,3.462368840700947e-05, bin,3.408689735806547e-05,追,3.276504503446631e-05,缘故,3.273306356277317e-05,跟上,3.2241325243376195e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998335499803943,False,False,False
14,16,⟨NEXT⟩,15.932564781087374,避,3.758534148801118e-05,站着,3.537719021551311e-05,的人民,3.442295201239176e-05, jo,3.4372562367934734e-05,T,3.405514871701598e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998241868051991,False,False,False
15,16,⟨NEXT⟩,15.934046219441814,的人民,3.64747793355491e-05,诉讼代理人,3.587423998396844e-05,MOD,3.497484067338519e-05, jo,3.4181335649918765e-05,ativ,3.416464460315183e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999824330159754,False,False,False
16,16,⟨NEXT⟩,15.930287134603065,诉讼代理人,4.435468144947663e-05, jo,4.2282219510525465e-05,astrous,3.920024755643681e-05,的人民,3.891418600687757e-05,奶,3.84608210879378e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997967878443887,False,False,False
17,16,⟨NEXT⟩,15.930419169694556, jo,4.075817923876457e-05,utm,4.0087114030029625e-05,fing,3.983346323366277e-05,的人民,3.956209184252657e-05,奶,3.8120873796287924e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998016382778587,False,False,False
18,16,⟨NEXT⟩,15.926591788572612,ERE,4.4412001443561167e-05,MDM,4.237822940922342e-05,的人民,4.2048439354402944e-05,ibo,4.1558560042176396e-05,uation,4.047710172017105e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997891256680305,False,False,False
19,16,⟨NEXT⟩,15.929075923465819,ibo,4.3423977331258357e-05,的人民,4.091273876838386e-05,ncase,4.055472891195677e-05,MDM,4.039661871502176e-05,fing,3.959593959734775e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999795115996676,False,False,False
20,16,⟨NEXT⟩,15.925955899917053,MDM,4.6009427023818716e-05,实施例,4.542901660897769e-05,ncase,4.4290063669905066e-05,fing,4.3306357838446274e-05,EMENT,4.09216336265672e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997800435012323,False,False,False
21,16,⟨NEXT⟩,15.911851750745061,MDM,6.380229751812294e-05,fing,4.6225133701227605e-05,tons,4.511025326792151e-05,ibo,4.3872052629012614e-05,astrous,4.3234078475506976e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997577561844082,False,False,False
22,16,⟨NEXT⟩,15.909712238398866,MDM,6.129768007667735e-05,tons,4.978601646143943e-05,astrous,4.887077011517249e-05,RESS,4.8348600103054196e-05,fing,4.727474879473448e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997444221844489,False,False,False
23,16,⟨NEXT⟩,15.883054570304461,.,0.00010528888378757983,",",7.710625504842028e-05, ,7.400767208309844e-05,MDM,6.111532275099307e-05,T,6.028544157743454e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996221964247525,False,False,False
24,16,⟨NEXT⟩,15.894912322018998,fing,6.9989197072573e-05,tons,6.237137858988717e-05,ncase,5.1859402447007596e-05,astrous,5.100555790704675e-05,gence,5.05592324770987e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997142152315064,False,False,False
25,16,⟨NEXT⟩,15.89973473317069,fing,6.311899778665975e-05,tons,5.5647946282988414e-05,踊,5.232748662820086e-05,astrous,5.202177635510452e-05,ckets,5.027373481425457e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997266100581328,False,False,False
26,16,⟨NEXT⟩,15.891567598013443,fing,8.089701441349462e-05,ckets,6.85893974150531e-05,tons,6.374531949404627e-05,nacc,6.005887917126529e-05,毫,5.664091440849006e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996700684750977,False,False,False
27,16,⟨NEXT⟩,15.894391694833114,fing,6.879150896565989e-05,MDM,5.9767098719021305e-05,CHA,5.787171903648414e-05,tons,5.653112384607084e-05,摆,5.576349576585926e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997012750536669,False,False,False
28,16,⟨NEXT⟩,15.887811750086831,MDM,8.535216329619288e-05,CHA,6.4490144723095e-05,ckets,6.195902824401855e-05,敬畏,6.099844176787883e-05,fing,6.0346690588630736e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996668535313802,False,False,False
29,16,⟨NEXT⟩,15.883262074933898,MDM,7.024054502835497e-05,ckets,6.794663931941614e-05,判决如下,6.781405681977049e-05,ANE,6.553535786224529e-05,TOD,6.235134060261771e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996661120603676,False,False,False
30,16,⟨NEXT⟩,15.880745469952856,ANE,7.251029455801472e-05,etimes,7.243951404234394e-05,MDM,6.845053576398641e-05,交,5.929687540628947e-05,雇,5.7584864407544956e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996697179158218,False,False,False
31,16,⟨NEXT⟩,15.872190983555337,MDM,9.715509077068418e-05,ANE,7.087225094437599e-05,etimes,6.61247395328246e-05,交,6.490912346635014e-05,Comments,6.446691986639053e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996364718754194,False,False,False
32,16,⟨NEXT⟩,15.863647319664546,MDM,0.00011494322825456038,交,8.761515346122906e-05,避,8.063606946961954e-05,ainer,7.356352580245584e-05,arters,6.850181671325117e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9995747402062989,False,False,False
33,16,⟨NEXT⟩,15.85052461379605,MDM,0.00010465764353284612,交,9.764696005731821e-05,ainer,8.214671834139153e-05,明了,7.785094931023195e-05,角,7.777495193295181e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9995599227768253,False,False,False
34,16,⟨NEXT⟩,15.83896760380362,aday,8.643629553262144e-05,geries,8.385878027183935e-05,itled,8.280089969048277e-05,自有,8.231715764850378e-05,@{},8.0331796198152e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9995842550706584,False,False,False
35,16,⟨NEXT⟩,15.834882543385246,日,0.00010013583960244432,geries,9.489933290751651e-05,踊,8.751078712521121e-05,ibo,8.751078712521121e-05,ibu,7.905940583441406e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9995508838474052,False,False,False
36,16,⟨NEXT⟩,15.822979042726635,geries,0.00011425750562921166,ce,0.00011226662172703072,@{},0.00010891885176533833,踊,9.820798004511744e-05,baidu,9.481534652877599e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9994715336943045,False,False,False
37,16,⟨NEXT⟩,15.80245608601299,踊,0.00014222742174752057,tons,0.0001349214871879667,MDM,0.00013205368304625154,geries,0.00013077039329800755," """,0.00012165357475169003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9993383734399686,False,False,False
38,16,⟨NEXT⟩,15.775708578804872,什么呢,0.00025021834881044924,____________,0.0002468206803314388," """,0.00024016312090680003, ‘,0.00017917260993272066,MDM,0.0001621854171389714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9989214398228796,False,False,False
39,16,⟨NEXT⟩,15.74164450167257, simply,0.0003913278051186353, capital,0.0002977064868900925, Germany,0.000280216132523492, German,0.00027641112683340907," """,0.0002642689796630293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9984900694689713,False,False,False
40,16,⟨NEXT⟩,15.738426308759914, capital,0.0003250185982324183," """,0.0003095297433901578,什么呢,0.0002896426885854453, Germany,0.00027583970222622156, German,0.00025312474463135004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9985468445229344,False,False,False
41,16,⟨NEXT⟩,15.705385841177392," """,0.000650112924631685,什么呢,0.0004803003976121545, capital,0.00041892542503774166, ',0.0003777290985453874,city,0.0003682590613607317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9977046730928123,False,False,False
42,16,⟨NEXT⟩,15.659668481366964," """,0.0022268861066550016, ',0.0011689115781337023, ‘,0.0008737660828046501, “,0.0007986868731677532, capital,0.0006355262012220919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9942962231580168,False,False,False
43,16,⟨NEXT⟩,15.591940244300066," """,0.004955227952450514, ',0.001830061199143529, “,0.0017259119777008891, ‘,0.0012977075530216098, enough,0.0010674652876332402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9891236260300502,False,False,False
44,16,⟨NEXT⟩,15.336884165610433, Berlin,0.011877250857651234,柏林,0.004438204690814018, capital,0.0032344006467610598, Frankfurt,0.0032092302571982145," """,0.003184255911037326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9740566576365381,False,False,True
45,16,⟨NEXT⟩,15.233150001885061, Berlin,0.012297146022319794, capital,0.007725476287305355," """,0.005630044266581535,柏林,0.00520693976432085, ',0.0026698533911257982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9664705402683467,False,False,True
46,16,⟨NEXT⟩,14.679958085039837, Berlin,0.0499197393655777,柏林,0.023034175857901573, capital,0.008213087916374207, Frankfurt,0.0035740442108362913, Germany,0.0029284667689353228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9123304858803749,False,False,True
47,16,⟨NEXT⟩,14.618737917250689, Berlin,0.05794708803296089,柏林,0.026016974821686745, capital,0.006301453802734613, Frankfurt,0.003974277060478926, Germany,0.002220675814896822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.903539530467242,False,False,True
48,16,⟨NEXT⟩,14.956384905329427, Berlin,0.04050610959529877,柏林,0.014901367016136646, capital,0.006334330420941114, Frankfurt,0.0027457287069410086, Capital,0.002155147260054946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9333573170006275,False,False,True
49,16,⟨NEXT⟩,14.571663417784105, Berlin,0.06368468701839447,柏林,0.024361563846468925, capital,0.005372471176087856, Frankfurt,0.003621023381128907, Capital,0.0015573827549815178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9014028718229383,False,False,True
50,16,⟨NEXT⟩,14.537973663437823, Berlin,0.06891109049320221,柏林,0.022635871544480324, capital,0.004337040241807699, Frankfurt,0.0035397890023887157, Capital,0.0014527265448123217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8991234821733087,False,False,True
51,16,⟨NEXT⟩,14.600868682299083, Berlin,0.06699949502944946,柏林,0.020038466900587082, capital,0.003414812497794628, Frankfurt,0.002701339079067111,Ber,0.0017170755891129375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9051288109039888,False,False,True
52,16,⟨NEXT⟩,14.860209208094902, Berlin,0.048039671033620834,柏林,0.018739262595772743, capital,0.0031194358598440886, Frankfurt,0.0022380854934453964,Ber,0.0016310347709804773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9262325102463365,False,False,True
53,16,⟨NEXT⟩,14.878234394123783, Berlin,0.044263504445552826,柏林,0.01760680601000786," """,0.0028296709060668945, capital,0.0026170178316533566, ',0.0022037499584257603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9304792508482933,False,False,True
54,16,⟨NEXT⟩,14.906312925893568, Berlin,0.0423339307308197,柏林,0.017855431884527206,Ber,0.0028696286026388407," """,0.002435422269627452, capital,0.00236049247905612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9321450940333307,False,False,True
55,16,⟨NEXT⟩,14.93364083124422, Berlin,0.0407482385635376,柏林,0.016986392438411713,Ber,0.0028276441153138876," """,0.0026253785472363234, Frankfurt,0.0018909892532974482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.934921357082203,False,False,True
56,16,⟨NEXT⟩,15.046671017124018, Berlin,0.026548437774181366,柏林,0.01164354756474495,Ber,0.004631482996046543," """,0.0038848945405334234, capital,0.0038097542710602283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9494818828534335,False,False,True
57,16,⟨NEXT⟩,14.690266090416682, Berlin,0.043866150081157684,柏林,0.018574096262454987,Ber,0.009673829190433025," """,0.003818037686869502, capital,0.0032913542818278074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.920776532497257,False,False,True
58,16,⟨NEXT⟩,14.84701039177931, Berlin,0.031455378979444504,柏林,0.011939114890992641,Ber,0.007269781548529863," """,0.004340984858572483,:,0.0028580299112945795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9421367098111659,False,False,True
59,16,⟨NEXT⟩,14.082734304039102, ,0.029081813991069794,.,0.026582930237054825, Berlin,0.01363037247210741,:,0.012854665517807007," """,0.011613222770392895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9062369950115681,False,False,False
60,16,⟨NEXT⟩,2.957142237929686, Berlin,0.5607003569602966," """,0.1321416050195694,:,0.05909737944602966, ,0.042566247284412384, ',0.03188064694404602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1736137643456459,False,False,True
