layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass,copy_collapse,entropy_collapse,is_answer
0,16,⟨NEXT⟩,1.7999095326734443e-05, simply,0.9999991655349731,simply,8.315280410897685e-07,Simply,3.0988165592577e-12, Simply,3.0988165592577e-12, simplemente,2.3195211108104844e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.930787834642956e-09,True,True,False
1,16,⟨NEXT⟩,4.49318965681816e-06, simply,0.9999997615814209,simply,1.855391076333035e-07, Simply,5.1090876321269185e-12,Simply,1.139991529994222e-12, simplemente,9.357620879340764e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2873128764119315e-08,True,True,False
2,16,⟨NEXT⟩,0.00011531351700919037, simply,0.9999938011169434,simply,6.144174221844878e-06,Simply,8.423412141411735e-12, Simply,1.1399848079407526e-12, simplemente,1.2664087850220926e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.469925878909265e-08,True,True,False
3,16,⟨NEXT⟩,0.0002891276430413909, simply,0.9999833106994629,simply,1.6701422282494605e-05,Simply,6.22404003336463e-11, Simply,6.22404003336463e-11, simplemente,1.2663954866048207e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,True,True,False
4,16,⟨NEXT⟩,0.0004569073569874864, simply,0.9999724626541138,simply,2.7535692424862646e-05,Simply,1.2501184531998888e-09, Simply,7.582351413404353e-10, simplemente,5.675529016484389e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,True,True,False
5,16,⟨NEXT⟩,0.0011495520669806436, simply,0.9999244213104248,simply,7.48461825423874e-05,Simply,5.043095256951347e-07, Simply,1.8552512415226374e-07, simplemente,1.3886895106063335e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.265849606888139e-08,True,True,False
6,16,⟨NEXT⟩,0.04885978244061218, simply,0.9946635961532593,simply,0.005219515413045883,Simply,9.559876343701035e-05, Simply,2.133096677425783e-05, simplemente,1.1797824939208112e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,True,True,False
7,16,⟨NEXT⟩,0.045804524659146424, simply,0.9953451752662659,simply,0.004067748319357634,Simply,0.0004287375195417553, Simply,0.00015772371261846274, simplemente,3.9095800730137853e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2422420897783013e-07,True,True,False
8,16,⟨NEXT⟩,0.05190835322425677, simply,0.995055079460144,Simply,0.0024664951488375664,simply,0.001920908223837614, Simply,0.0005503494176082313, simplemente,5.395435891841771e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.772313680703519e-06,True,True,False
9,16,⟨NEXT⟩,0.11989470841813092, simply,0.9869287014007568,simply,0.006649873685091734,Simply,0.005178926512598991, Simply,0.000899962498806417, simple,0.00017721312178764492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00016532278095837682,True,True,False
