layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass
0,0,<bos>,1.284121577920397e-31,<bos>,1.0, 剪影,4.654773039908981e-34, 收納,2.823262612952882e-34, стоковая,6.29955056431282e-35, Савезне,2.9756967944000553e-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
0,1,Give,0.0006911037462434748,Give,0.9999651908874512, Give,1.6701118511264212e-05,<unused43>,1.3709113773074932e-06,<unused8>,8.314997899105947e-07,<pad>,8.314997899105947e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.507408308043523e-05
0,2, the,6.04995383150611e-20, the,1.0, a,8.644056586276354e-22, The,1.75879225876483e-25, an,1.8537533315681931e-26, ,3.2213402768962287e-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
0,3, city,7.334947645059951e-11, city,1.0, City,1.879528650772233e-12,city,2.825757392698391e-15,City,9.47935953891122e-19, cities,7.781132925921478e-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
0,4, name,1.7379373219417495e-11, name,1.0, Name,4.1937956471276017e-13, names,1.71390848833098e-15,name,1.0395379134185484e-15,Name,1.2828918603495367e-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
0,5, only,3.6016681986724176e-13, only,1.0,only,7.68120477976069e-15, Only,2.1151310700892382e-19,Only,6.387142550591043e-21, ONLY,1.4251641388208515e-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
0,6,",",7.254126622313594e-15,",",1.0,.,8.533048291820244e-17, (,4.030726386134531e-17,-,5.454994750713651e-18, and,2.006780491108507e-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
0,7, plain,1.591166434835276e-07, plain,1.0, Plain,5.602796449011294e-09,plain,1.6918980105806725e-10,Plain,1.1399918552548738e-12, plains,2.6102790464535398e-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
0,8, text,8.09702850069256e-10, text,1.0, Text,2.2897348947448215e-11, texts,7.68120477976069e-15,text,2.3195229636950566e-16,Text,4.24835413113866e-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
0,9,.,7.55546392827689e-15,.,1.0,",",1.406861771338595e-16,-,9.47935953891122e-19, ,9.47935953891122e-19, (,2.7158818467014143e-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
