layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass
0,0,<s>,13.23137104765001,ocker,0.004960471764206886,ennen,0.0045134760439395905,äger,0.0038221152499318123,érc,0.003341857111081481,alue,0.003237829776480794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9801242500543594
0,1,Give,13.56308017774454,oka,0.005649913568049669,oko,0.005397713743150234,Pom,0.0035321172326803207,sque,0.0030736669432371855,кор,0.0026566283777356148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.979689960135147
0,2,the,12.515114213671067,klass,0.03571748360991478,same,0.01066567376255989,inner,0.007991497404873371,end,0.005557478871196508,gro,0.0053023663349449635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9347655000165105
0,3,city,13.45822304344409,Names,0.007173755671828985,umi,0.004704223945736885,unde,0.004354726988822222,ugno,0.003456078702583909,erna,0.0033313531894236803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9769798615016043
0,4,name,13.615804555054249,aho,0.00365963252261281,称,0.0035649635829031467,equilibrium,0.0032759355381131172,Bere,0.0024916192051023245,Zwe,0.0022893270943313837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9847185220569372
0,5,only,13.532357196994408,olas,0.005476313643157482,Stefan,0.004326940979808569,Steph,0.00397825799882412,sten,0.0031583812087774277,xs,0.0024532556999474764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9806068504694849
0,6,",",13.768625586888527,Buen,0.00199182634241879,Autow,0.001917369430884719,ethod,0.0017794559244066477,ữ,0.0017688878579065204,puis,0.0017364462837576866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9908060141606256
0,7,plain,13.370616456955782,achi,0.005999155808240175,aude,0.0036778172943741083,če,0.0031134060118347406,Cord,0.0030431728810071945,tober,0.002960142446681857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9812063055578619
0,8,text,13.573866929606655,ual,0.006312727462500334,cotton,0.004023116547614336,Cot,0.002275436883792281,lim,0.002143965335562825,asci,0.0018506634514778852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9833940903190523
0,9,.,13.628404691987063,uerte,0.0030897960532456636,ná,0.0030876044183969498,сс,0.0026599369011819363,avy,0.002501643029972911,enne,0.0022805845364928246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9863804350607097
0,10,The,12.981810462636005,oret,0.044441260397434235,ft,0.007169860415160656,od,0.0059656971134245396,o,0.005846815649420023,orem,0.0052131162956357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9313632501289248
0,11,capital,13.572242037521303,Budapest,0.0036973704118281603,jan,0.0029299375601112843,lo,0.002268431941047311,ptic,0.0020581006538122892,ization,0.002013613935559988,Hend,0.001932773389853537,inet,0.001657688058912754,izen,0.0016165035776793957,UV,0.0015476127155125141,Pul,0.0014637921703979373,eni,0.0013850389514118433,onom,0.0013455975567921996,ized,0.0012836211826652288,hm,0.0012739223893731833,oen,0.0012712038587778807,jax,0.0012380494736135006,lon,0.0012375572696328163,letters,0.0011782350484281778,amd,0.0011643565958365798,epper,0.0011296502780169249,0.9663069429807365
0,12,of,13.018704180899094,sorts,0.02831037901341915,course,0.02725815773010254,course,0.025660939514636993,话,0.015363785438239574,ﬁ,0.009431113488972187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8939756248146296
0,13,Germany,13.508195698339993,mist,0.00683141965419054,lyn,0.006032382138073444,cca,0.0038998681120574474,Reyn,0.0028079734183847904,erk,0.002688843756914139,jam,0.002277886029332876,Leip,0.002192273736000061,ycl,0.001971394056454301,quir,0.001963122980669141,oman,0.0019360127625986934,industrial,0.001714094658382237,app,0.0016792258247733116,admit,0.0016419112216681242,xFC,0.001594245433807373,urb,0.0014080642722547054,Printf,0.001369871897622943,irl,0.001320142182521522,dar,0.0012766977306455374,lig,0.0012080306187272072,moderate,0.0011636472772806883,0.9530228922376409
0,14,is,13.039560860934529,nt,0.04456472396850586,rael,0.009143877774477005,believed,0.009088467806577682,part,0.007254649884998798,thm,0.003950473386794329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9259978071786463
0,15,called,13.449164373257844,nitt,0.009704984724521637,antry,0.004993206821382046,repeatedly,0.0034630699083209038,called,0.002963886596262455,nez,0.002652861177921295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9762219907715917
0,16,simply,13.457364506050983,/******/,0.00991634652018547,simply,0.008747915737330914,celebrated,0.003280426375567913,mux,0.0025814513210207224,bob,0.0023897176142781973,++],0.00233934517018497,ovie,0.002218555426225066,ʋ,0.001990979304537177,istr,0.0018919110298156738,oard,0.0017171329818665981,anco,0.0016738639678806067,stra,0.0016033395659178495,Assembly,0.0015752858016639948,ueto,0.0015703958924859762,ASK,0.0014571344945579767,inkle,0.001426268951036036,Pars,0.0014146508183330297,ulu,0.0013692938955500722,stating,0.0013497024774551392,inch,0.001349536469206214,0.9481367461849004
1,0,<s>,13.293072919334758,yll,0.005019715055823326,ieux,0.0045651160180568695,efore,0.003316588932648301,woh,0.0033008025493472815,ota,0.0030309977009892464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.980766779743135
1,1,Give,13.7647332755342,rise,0.004673860501497984,pract,0.004177735652774572,予,0.003665836062282324,zens,0.0021249449346214533,ko,0.001795126125216484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9835624967236072
1,2,the,12.591642365721397,ses,0.11063819378614426,atr,0.01781637966632843,aters,0.008212328888475895,same,0.006658498197793961,ta,0.0035033051390200853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8531712943222374
1,3,city,13.81064438814733,wide,0.004705148283392191,ugno,0.0018148217350244522,streets,0.0015969502273947,pad,0.0015478356508538127,gom,0.001264897407963872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.989070346695371
1,4,name,13.811424501451642,name,0.0029406980611383915,称,0.002445962280035019,aho,0.0021988041698932648,akes,0.002164006931707263,lessly,0.002014902886003256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9882356256712228
1,5,only,13.811200236074917,chi,0.002970053581520915,htt,0.0022416608408093452,Enumer,0.001888776896521449,exclus,0.0018785956781357527,nost,0.00187790603376925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9891430069692433
1,6,",",13.93575144769097,dare,0.0027676671743392944,EventHandler,0.002146709943190217,janu,0.0016209271270781755,сту,0.0013933669542893767,rog,0.0013505092356353998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9907208195654675
1,7,plain,13.715342609928815,igg,0.004330999217927456,če,0.003986035473644733,aces,0.0035777543671429157,Prototype,0.0026219519786536694,paren,0.0020606813486665487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9834225776139647
1,8,text,13.700143471176164,ual,0.010617529042065144,READ,0.009280665777623653,narr,0.0050101857632398605,text,0.0021036816760897636,lim,0.0017829195130616426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9712050182279199
1,9,.,14.096237402308901,nitt,0.002470017410814762,acknow,0.0016959789209067822,勝,0.0014952673809602857,utschen,0.0014243286568671465,toget,0.0011148913763463497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9917995162541047
1,10,The,13.005619740821453,oret,0.08492913842201233,ft,0.010115734301507473,mes,0.007773860357701778,ories,0.003707726951688528,biggest,0.0034535680897533894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8900199718773365
1,11,capital,13.741979282894448,ization,0.0054412055760622025,ized,0.004409785382449627,gepubliceerd,0.001935425796546042,most,0.0018682386726140976,revol,0.0018219464691355824,Fact,0.0017175800167024136,isation,0.0015762941911816597,ist,0.0014804445672780275,izing,0.0014269199455156922,kennis,0.0013917109463363886,Моск,0.001380527624860406,izar,0.0013250303454697132,li,0.0013110835570842028,mk,0.0013083337107673287,inet,0.0012906629126518965,izations,0.0012824619188904762,rights,0.001224140403792262,jan,0.001145165297202766,biologie,0.001065041171386838,city,0.0010403477353975177,0.9645576537586749
1,12,of,13.891155658391641,course,0.002525079995393753,ﬁ,0.002176105510443449,sorts,0.0014151926152408123,Cup,0.0014151871437206864,t,0.0013791538076475263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9910892809275538
1,13,Germany,13.84520051821989,biologie,0.005580541677772999,kennis,0.003229705151170492,ľ,0.0020874966867268085,lyn,0.0017522131092846394,bourg,0.0015260768122971058,släktet,0.0014186498010531068,vale,0.0013345589395612478,₄,0.0013291201321408153,aser,0.0011709125246852636,◄,0.0011300490004941821,pro,0.001063163741491735,admitted,0.0010609491728246212,adj,0.001054436550475657,industrial,0.0010285887401551008,Wild,0.0010141815291717649,▸,0.0010084675159305334,Naz,0.0010051812278106809,ubern,0.0009964561322703958,🇸,0.0009802780114114285,народ,0.0009707877179607749,0.9692581858253106
1,14,is,13.75070637052983,acknow,0.013443924486637115,nt,0.0068313125520944595,rael,0.006308240815997124,sugg,0.0029976717196404934,rele,0.002231703605502844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.968187146820128
1,15,called,13.732092344261646,nitt,0.008005590178072453,ingår,0.00386104267090559,cas,0.00206097518093884,�,0.0019040365004912019,︎,0.0017815708415582776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9823867846280336
1,16,simply,13.773313146020444,❶,0.0038143082056194544,,0.003143845358863473,simply,0.002890177071094513,ask,0.0021080889273434877,fasc,0.001929376507177949,top,0.001902164425700903,Occ,0.0018160379258915782,multip,0.001686210511252284,stra,0.0014822168741375208,cél,0.0013891523703932762,log,0.0012603241484612226,izard,0.001249692402780056,äst,0.0012226983672007918,straight,0.0011885608546435833,rob,0.0011817291378974915,må,0.0011759124463424087,stating,0.0011238583829253912,faç,0.0010703568113967776,celebrated,0.0010374580742791295,Ì,0.0009906861232593656,0.9663371450733393
2,0,<s>,14.765893817210058,kennis,0.0007534435717388988,biologie,0.0006168201798573136,dévelop,0.00041395751759409904,artikel,0.00037363701267167926,besk,0.0003665739786811173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9974755677394569
2,1,Give,13.788608595057578,away,0.002308114431798458,予,0.001925359363667667,rise,0.0018962444737553596,ings,0.0018156059086322784,access,0.001794422627426684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9902602531947196
2,2,the,13.65100046058802,ses,0.010551190935075283,ore,0.00482556689530611,atr,0.0024949004873633385,ța,0.0023549480829387903,burden,0.002068333327770233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9777050602715462
2,3,city,13.795050377228296,wide,0.008927862159907818,eller,0.003004748374223709,sage,0.002136591821908951,CN,0.0017370044952258468,streets,0.0014400911750271916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9827537019737065
2,4,name,13.739806798048749,aho,0.0071287816390395164,lessly,0.0030982024036347866,oa,0.0030785088893026114,orrow,0.002912734169512987,aaaaaaaa,0.002223601099103689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9815581717994064
