layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass,copy_collapse,entropy_collapse,is_answer
0,16,⟨NEXT⟩,6.114458800523963e-16, simply,1.0,simply,1.0849876631951848e-17,Simply,2.7405512910890037e-31, Simply,1.9655894780918887e-31, simplemente,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,True,True,False
1,16,⟨NEXT⟩,9.97372451570277e-13, simply,1.0,simply,2.1982781805811313e-14,Simply,2.851850501509741e-26, Simply,2.5419985335207637e-27, simplemente,2.6408359860997104e-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,True,True,False
2,16,⟨NEXT⟩,1.4017859174144722e-07, simply,1.0,simply,5.088110821560576e-09,Simply,2.6005925148510704e-20, Simply,1.0861615525225216e-21, simplemente,1.0040121784313871e-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,True,True,False
3,16,⟨NEXT⟩,2.9480659494937884e-07, simply,1.0,simply,1.115967585008093e-08,Simply,1.438621139346997e-16, Simply,2.5224025746857325e-17, simplemente,1.3939403173728327e-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,True,True,False
4,16,⟨NEXT⟩,3.2242624344752304e-05, simply,0.9999984502792358,simply,1.5552049035250093e-06,Simply,1.3237075823478717e-13, Simply,9.848824772222542e-14, simplemente,4.8431925309250365e-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,True,True,False
5,16,⟨NEXT⟩,1.7985238707577842e-05, simply,0.9999991655349731,simply,8.305768233185518e-07,Simply,1.2197445831141351e-10, Simply,5.503251500338369e-12, simplemente,2.4288449732474123e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7607258418503875e-09,True,True,False
6,16,⟨NEXT⟩,0.0050539530539172525, simply,0.9996035695075989,simply,0.00039618636947125196,Simply,1.9601024803250766e-07, Simply,8.432189169127469e-09, simplemente,2.899188118851877e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.968046369262623e-08,True,True,False
7,16,⟨NEXT⟩,0.001338889891545286, simply,0.9999105930328369,simply,8.844717376632616e-05,Simply,7.290683470273507e-07, Simply,1.8466673168404668e-07, simplemente,2.288147698658455e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.605808923141552e-08,True,True,False
8,16,⟨NEXT⟩,0.0010696714577641683, simply,0.999932050704956,Simply,6.262991519179195e-05,simply,4.605811227520462e-06, Simply,7.632639835719601e-07, simplemente,5.306333497601123e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,True,True,False
9,16,⟨NEXT⟩,0.0035331840352291134, simply,0.999743640422821,Simply,0.0002361956430831924,simply,1.9388562577660196e-05, Simply,6.947702786419541e-07, simple,8.96167862141084e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.970507165389051e-08,True,True,False
10,16,⟨NEXT⟩,0.009238134754228428, simply,0.9992849230766296,simply,0.0003857213305309415,Simply,0.0003267311258241534, Simply,2.5977110453823116e-06, simplemente,4.167452516412595e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,True,True,False
11,16,⟨NEXT⟩,0.012605733087038154, simply,0.998915433883667,simply,0.0010321926092728972,Simply,3.1755313102621585e-05, Simply,1.9593830074882135e-05, simplemente,8.38141602343967e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8622228026288212e-07,True,True,False
12,16,⟨NEXT⟩,0.0008156346077409768, simply,0.9999511241912842,Simply,3.748144081328064e-05,simply,1.0634780664986465e-05, Simply,7.441423690579541e-07, simplemente,6.397011276249032e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,True,True,False
13,16,⟨NEXT⟩,0.0005365033643665369, simply,0.9999692440032959,Simply,2.0031990061397664e-05,simply,1.0057128747575916e-05, Simply,3.7114003248461813e-07, simple,1.0055391896912624e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9518394367423753e-07,True,True,False
14,16,⟨NEXT⟩,0.0005676324341124645, simply,0.9999676942825317,Simply,2.1371295588323846e-05,simply,9.514109478914179e-06, Simply,3.8465981333501986e-07, simple,3.7545117947956896e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.602014082091046e-07,True,True,False
15,16,⟨NEXT⟩,0.004125272267932824, simply,0.9997350573539734,Simply,0.00011702292977133766,simply,7.167986768763512e-05, simple,3.841726356768049e-05, Simply,9.139618668996263e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.868296633096179e-05,True,True,False
16,16,⟨NEXT⟩,0.018269801648867132, simply,0.9984477758407593,Simply,0.001321127638220787,"

",9.749335004016757e-05,"
",4.010593329439871e-05,simply,3.22875494020991e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.120968828327022e-05,True,True,False
17,16,⟨NEXT⟩,0.02012319418372155, simply,0.9983367919921875,Simply,0.001254552393220365,simply,0.00017192400991916656,"

",0.00013260827108751982,"
",2.310728632437531e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.101604726107325e-05,True,True,False
18,16,⟨NEXT⟩,0.21374195179928943, simply,0.9704176187515259,Simply,0.025484595447778702,simply,0.0033761716913431883,SIMPLE,0.0003537642187438905, simple,0.00013884325744584203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00022900663316249847,True,True,False
19,16,⟨NEXT⟩,0.19356640905259706, simply,0.9767537117004395,Simply,0.01636301912367344,SIMPLE,0.002595982514321804, simple,0.0022116024047136307,simply,0.0014725648798048496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006031193770468235,True,True,False
20,16,⟨NEXT⟩,0.8069220459215201, simply,0.8120507597923279,Simply,0.16617505252361298,simply,0.02005622908473015,SIMPLE,0.001049454091116786, Einfach,0.00014366692630574107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005248375819064677,False,True,False
21,16,⟨NEXT⟩,0.28044230575088286, simply,0.9546641111373901,Simply,0.04300741106271744,simply,0.002202715491876006, Simply,8.265588257927448e-05, plain,1.3615563148050569e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9490862289094366e-05,True,True,False
22,16,⟨NEXT⟩,0.0950864559396331, simply,0.9890445470809937,Simply,0.009242421016097069,simply,0.0015747660072520375, Просто,2.566828698036261e-05, Einfach,2.294417572556995e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.965343295130879e-05,True,True,False
23,16,⟨NEXT⟩,0.02884078918294496, simply,0.9974107146263123,Simply,0.002151125343516469, simple,0.00015936075942590833,simply,0.00014259744784794748, plain,6.687334825983271e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.932847463758662e-05,True,True,False
24,16,⟨NEXT⟩,0.011474329094963648, simply,0.9990816116333008,Simply,0.0006739437812939286,simply,0.0002291934215463698, Simply,1.0212164852418937e-05, simple,1.1045030987588689e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.93449590774253e-06,True,True,False
