layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass,copy_collapse,entropy_collapse,is_answer
0,16,⟨NEXT⟩,13.039981874463841,泛,0.015292164869606495,ivec,0.00857812725007534, pro,0.008058404549956322, faced,0.0074528055265545845,ty,0.007394807878881693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9532236899249256,False,False,False
1,16,⟨NEXT⟩,12.816565404103399,mente,0.05241012945771217,tons,0.015252220444381237,pulse,0.007974809035658836, unr,0.007204639259725809, Sext,0.00645819678902626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9107000050134957,False,False,False
2,16,⟨NEXT⟩,12.465074141576025,tics,0.06655608117580414,tones,0.023546623066067696,mente,0.01544225588440895,tons,0.014620434492826462,pulse,0.009588315151631832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8702462902292609,False,False,False
3,16,⟨NEXT⟩,13.294092432489073,tones,0.016288798302412033,Simply,0.006581269670277834," ($(""#",0.006479236297309399,interp,0.0062798913568258286,936,0.006182530429214239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9581882739439607,False,False,False
4,16,⟨NEXT⟩,12.993087021087778,tones,0.016858093440532684,interp,0.01646757684648037,Samples,0.014532585628330708,aires,0.014532585628330708,�,0.009756715968251228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9278524424880743,False,False,False
5,16,⟨NEXT⟩,8.937630172429818,�,0.3766694664955139,tones,0.027073504403233528,tons,0.014491405338048935, Aviv,0.006898943334817886,ovně,0.006040916312485933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5688257641158998,False,False,False
6,16,⟨NEXT⟩,13.350714624597936,rops,0.014272746630012989,�,0.009360294789075851,aires,0.006955980788916349,tones,0.0063334922306239605,toDate,0.005811939015984535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9572655465453863,False,False,False
7,16,⟨NEXT⟩,12.914548735814165, bul,0.027702314779162407, simply,0.025223243981599808,AllowAnonymous,0.00980069674551487,Exited,0.007936845533549786, Gur,0.007283258717507124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.922053640242666,False,False,False
8,16,⟨NEXT⟩,12.957925512084179,urement,0.0267072394490242, bul,0.020159682258963585,�单,0.01984713412821293,apı,0.011397249065339565,biased,0.010458702221512794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9114299928769469,False,False,False
9,16,⟨NEXT⟩,12.993316789909331,�单,0.02176545560359955,RITE,0.01832835003733635, Bulg,0.007521940395236015,tics,0.007347694132477045, bul,0.007177485153079033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.937859074678272,False,False,False
10,16,⟨NEXT⟩,13.278673155943316,biased,0.00860939733684063,ully,0.00730670103803277, adul,0.007193421013653278, h,0.007137441076338291, bul,0.005963555537164211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9637894839979708,False,False,False
11,16,⟨NEXT⟩,13.111200578116735, Gott,0.009785384871065617,inar,0.008909693919122219, h,0.008635571226477623, Freed,0.007271880283951759,283,0.006219968665391207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9591775010339916,False,False,False
12,16,⟨NEXT⟩,13.398396470584348,LEGAL,0.008527974598109722, Freed,0.007237598765641451,龄,0.006960330065339804,inar,0.0064372532069683075,283,0.005815573967993259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9650212693959475,False,False,False
13,16,⟨NEXT⟩,13.346935133862576, Freed,0.01530282199382782,macros,0.010354407131671906,][_,0.006633282173424959,onia,0.005763095337897539,ValuePair,0.005585783626884222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9563606097362936,False,False,False
14,16,⟨NEXT⟩,12.90236686068825, simply,0.030600260943174362, tie,0.016125204041600227,endar,0.011705642566084862, ๆ,0.01074170134961605,ValuePair,0.00940574798732996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9214214431121945,False,False,False
15,16,⟨NEXT⟩,11.502307694809383, simply,0.16926410794258118,龄,0.010991096496582031, IReadOnly,0.009929628111422062,ycz,0.009852355346083641, reg,0.008361585438251495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7916012266650796,False,False,False
16,16,⟨NEXT⟩,9.500742647190862, simply,0.32746392488479614,Simply,0.024283945560455322,tics,0.01484447717666626,ンピ,0.013410868123173714, Simply,0.009003630839288235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6109931534156203,False,False,False
17,16,⟨NEXT⟩,11.928345181318544, simply,0.13143715262413025, plain,0.027984581887722015,umno,0.012515483424067497,tons,0.008534817956387997,ンピ,0.006392282899469137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8131356812082231,False,False,False
18,16,⟨NEXT⟩,7.967498052692026, simply,0.47247031331062317,Simply,0.006845555733889341,각,0.006041181739419699, plain,0.004152039531618357,ystate,0.00390047999098897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5065904296934605,False,False,False
19,16,⟨NEXT⟩,11.79070402618002, simply,0.12366287410259247, ',0.06465863436460495, Rif,0.009461648762226105,Sortable,0.006761935073882341,.enterprise,0.006502889562398195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7889520181342959,False,False,False
20,16,⟨NEXT⟩,12.479191853420051, ',0.08892565965652466, simply,0.03097291849553585,)application,0.01037463080137968,tons,0.008600871078670025, Erotische,0.007019826211035252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8541060937568545,False,False,False
21,16,⟨NEXT⟩,12.379528595175657, ',0.10590624064207077,tons,0.02290382981300354, simply,0.015619056299328804,)application,0.015497506596148014,imas,0.006164482329040766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8339088843204081,False,False,False
22,16,⟨NEXT⟩,13.042335972988852, simply,0.057700302451848984, ',0.017874721437692642,tons,0.010508006438612938, MainAxisAlignment,0.009346013888716698,abouts,0.005848586093634367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8987223696894944,False,False,False
23,16,⟨NEXT⟩,13.089445460713192, simply,0.048003681004047394, ',0.02888912335038185, capital,0.00998381432145834,tons,0.009452485479414463, ‘,0.00600836519151926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8976625306531787,False,False,False
24,16,⟨NEXT⟩,12.331034991077171, capital,0.09867405146360397, simply,0.027400797232985497, ',0.024181116372346878,capital,0.015014397911727428, Berlin,0.011511937715113163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8232176993042231,False,False,False
25,16,⟨NEXT⟩,7.874478828215763, Berlin,0.4097588360309601, capital,0.05128732696175575, Germany,0.019619150087237358, simply,0.017724424600601196,Berlin,0.015641750767827034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4859685115516186,False,False,True
26,16,⟨NEXT⟩,2.029205927282542, Berlin,0.8381670117378235,Berlin,0.05977528542280197, capital,0.005023011937737465, Germany,0.0040046945214271545, Deutschland,0.0024865714367479086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09054342494346201,False,False,True
27,16,⟨NEXT⟩,3.4480082784003896, Berlin,0.7476539015769958,Berlin,0.05902007594704628,柏,0.008436478674411774, Stuttgart,0.004515721462666988, Deutschland,0.003985109739005566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17638871259987354,False,False,True
28,16,⟨NEXT⟩,4.978259686843609, Berlin,0.6371239423751831,Berlin,0.0645797923207283, Deutschland,0.013431315310299397,柏,0.012916769832372665, Germany,0.004394709598273039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2675534705631435,False,False,True
29,16,⟨NEXT⟩,7.89842362873009, Berlin,0.4478359818458557,Berlin,0.037927523255348206, Deutschland,0.022471314296126366,tons,0.009222205728292465, Bon,0.005861990619450808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47668098425492644,False,False,True
30,16,⟨NEXT⟩,4.760327399253879, Berlin,0.6667471528053284,Berlin,0.025253716856241226, Bon,0.010946675203740597, BER,0.01052731554955244, Ber,0.009363187476992607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27716195210814476,False,False,True
31,16,⟨NEXT⟩,3.7856697280412814, Berlin,0.3849027454853058," """,0.2951151728630066,:,0.07638628780841827, Bon,0.03062267415225506, ',0.022229677066206932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19074344262480736,False,False,True
32,16,⟨NEXT⟩,2.9735896644464095, Berlin,0.5175212025642395," """,0.18743376433849335, “,0.05897865071892738, ',0.041822124272584915,:,0.03059772215783596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1636465359479189,False,False,True
