layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass
0,0,Give,17.212862014770508, TreeMap,7.183366051322082e-06,当之,7.182051376730669e-06,ANTE,7.142270987969823e-06, Thief,7.1366062002198305e-06,neys,7.131816346372943e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999642238890374
0,1, the,17.212993621826172,_MARKER,7.122648185031721e-06,anon,6.981687420193339e-06,邈,6.98019539413508e-06,Marker,6.978278634051094e-06,isnan,6.974872576392954e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999649623177902
0,2, city,17.212865829467773,舵,7.173394351411844e-06,__.__,7.1576500886294525e-06,鸾,7.155029379646294e-06,灯光,7.123655450413935e-06,口水,7.1140962063509505e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999642761745235
0,3, name,17.212871551513672,看书,7.232456482597627e-06,lix,7.170043318183161e-06,ressing,7.160422683227807e-06,ассив,7.1599852162762545e-06,athon,7.108603313099593e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999641684889866
0,4, only,17.212875366210938,这样才能,7.152829766710056e-06,不舍,7.15064652467845e-06,直辖,7.141923560993746e-06,趋于,7.126247510313988e-06,ég,7.124943749658996e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999643034088876
0,5,",",17.213035583496094,เอง,6.893777936056722e-06,ocl,6.8931472014810424e-06,还可以,6.88389673086931e-06,nown,6.879486591060413e-06,etheless,6.874030532344477e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999655756610082
0,6, plain,17.212862014770508,OrCreate,7.234021268232027e-06,拈,7.215941423055483e-06,计较,7.181669388955925e-06, rele,7.124911007849732e-06,본,7.111008926585782e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999641324479853
0,7, text,17.212862014770508,双向,7.16337899575592e-06,OfDay,7.1406798269890714e-06,ipro,7.138065029721474e-06,冰,7.124137027858524e-06,隍,7.123702744138427e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999643100363755
0,8,.,17.213016510009766,ksi,6.971386028453708e-06,指纹,6.921146450622473e-06,丛林,6.913124707352836e-06,切成,6.912702247063862e-06,jango,6.909750027261907e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999653718905392
0,9, The,17.212915420532227,治理,7.103769803507021e-06,nge,7.087744961609133e-06,orum,7.0864475674170535e-06,irl,7.0855826379556675e-06,硒,7.075642770359991e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999645608122592
0,10, capital,17.212862014770508,ibus,7.2679486038396135e-06,坏,7.2030306910164654e-06,rum,7.1618237598158885e-06,ayne,7.146540610847296e-06,眉,7.129984624043573e-06,旖,7.113466381269973e-06,蛾,7.113033007044578e-06,ushed,7.102620656951331e-06,unsubscribe,7.101320534275146e-06,Born,7.09612095306511e-06,_PB,7.092223768268013e-06,ascar,7.089627160894452e-06,趄,7.087896847224329e-06,Cod,7.084869139362127e-06,rosse,7.0840042099007405e-06,兵团,7.0831392804393545e-06,帏,7.082707270456012e-06,recall,7.078385806380538e-06,fir,7.073203050822485e-06,ILI,7.070181254675845e-06,0.9998577378723894
0,11, of,17.212970733642578,枢,7.0860628511582036e-06,yssey,7.013346021267353e-06,十字,7.0103506004670635e-06,巴士,7.0060727921372745e-06,萃,7.00564487488009e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999648785228601
0,12, Germany,17.212871551513672,病房,7.149854809540557e-06,伪装,7.135904070310062e-06,timezone,7.112423190847039e-06,力气,7.109384569048416e-06,PU,7.109384569048416e-06,痕迹,7.105047188815661e-06,爱国,7.096812169038458e-06,phia,7.0937812779447995e-06,ansa,7.084262051648693e-06,opher,7.081668172759237e-06,入侵,7.079507668095175e-06,iversary,7.077779173414456e-06, metam,7.070007541187806e-06,驿站,7.068282229738543e-06,.direction,7.067850219755201e-06,Cancellation,7.060951247694902e-06,舞台上,7.060951247694902e-06,打扮,7.059658855723683e-06,专区,7.058796654746402e-06, bored,7.057074526528595e-06,0.9998582606185664
