layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass,copy_collapse,entropy_collapse,is_answer
0,16,⟨NEXT⟩,15.962127685546875, Denote,2.1955696865916252e-05,npred,2.1181707779760472e-05,erity,2.09247136808699e-05,密切,2.0838047930737957e-05,insula,2.0565130398608744e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998945347033441,False,False,False
1,16,⟨NEXT⟩,15.965035438537598,PREFIX,1.8063057723338716e-05,EFORE,1.7948761524166912e-05,藏,1.786351640475914e-05,ifiable,1.7783017028705217e-05, PST,1.7730992112774402e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999106106552063,False,False,False
2,16,⟨NEXT⟩,15.964067459106445,ifiable,1.943953066074755e-05,知己,1.9283543224446476e-05, Naval,1.8996170183527283e-05,widetext,1.8933664250653237e-05,一定,1.8924420146504417e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999044226715341,False,False,False
3,16,⟨NEXT⟩,15.960793495178223,.,2.7248564947512932e-05, ,2.4253135052276775e-05,",",2.4093784304568544e-05,ODM,2.2540272766491398e-05, 判,2.2201655156095512e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999879662587773,False,False,False
4,16,⟨NEXT⟩,15.961440086364746, Marketing,2.1024678062531166e-05,承担责任,2.094782394124195e-05,公证,2.0912057152600028e-05,Ta,2.0876346752629615e-05,拐,2.0871251763310283e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998953678423277,False,False,False
5,16,⟨NEXT⟩,15.959394454956055,拐,2.3718428565189242e-05, AST,2.2882300982018933e-05,port,2.2698686734656803e-05,inel,2.2456157239503227e-05,LOB,2.2297728719422594e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998859466977592,False,False,False
6,16,⟨NEXT⟩,15.957320213317871,ostream,2.3904300178401172e-05,rill,2.378205863351468e-05,ractions,2.3700909878243692e-05,西,2.3527953089796938e-05,雀,2.3487778889830224e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998815969993302,False,False,False
7,16,⟨NEXT⟩,15.953744888305664,tons,2.903484164562542e-05,port,2.71959161182167e-05,认定,2.5312276193290018e-05, mod,2.5275227017118596e-05,诱导,2.5238230591639876e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998679435084341,False,False,False
8,16,⟨NEXT⟩,15.948237419128418,tons,3.0652267014374956e-05,port,2.9006814656895585e-05,享,2.8307214961387217e-05,诉讼代理人,2.7597527150646783e-05,ilk,2.7584057534113526e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998568521186826,False,False,False
9,16,⟨NEXT⟩,15.947551727294922,诉讼代理人,3.235448821214959e-05,认定,3.126730734948069e-05,tons,3.006947554240469e-05, mod,2.996687362610828e-05,port,2.8790733267669566e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998475511220022,False,False,False
