layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass
0,0,<|startoftext|>,15.963675498962402,oples,1.9999471987830475e-05,emb,1.9848679585265927e-05,dens,1.9679797333083116e-05, arrest,1.964619332284201e-05,checkmark,1.9607859940151684e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999012179978308
0,1,Give,15.962336540222168,]:\\,2.1124480554135516e-05,王小,2.0954972569597885e-05,材,2.0908979422529228e-05,ifug,2.090387533826288e-05, bird,2.0827463231398724e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998952802288841
0,2, the,15.958894729614258, princ,2.418896292510908e-05,侦,2.412409048702102e-05,中期,2.3750080799800344e-05,抽,2.355950346100144e-05, Clare,2.345619759580586e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998809211647313
0,3, city,15.962648391723633,森,2.0857241906924173e-05,�,2.0847061023232527e-05, Farmer,2.0538893295452e-05,emetery,2.051884621323552e-05,加深,2.0513838535407558e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998967241190257
0,4, name,15.955303192138672,大利,2.6248882932122797e-05,大笑,2.6210460418951698e-05,iop,2.5509705665172078e-05, DV,2.515103005862329e-05,WF,2.5065210138563998e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998718147107866
0,5, only,15.961549758911133,ncase,2.2961277863942087e-05, Draw,2.1355290300562046e-05,<table>,2.1308418581611477e-05,收到,2.112711445079185e-05, degener,2.108074477291666e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998921671540302
0,6,",",15.95494270324707,anch,2.9472697860910557e-05, heav,2.7191323169972748e-05,ificially,2.7111778763355687e-05,uru,2.6600373530527577e-05,Enum,2.5870238459901884e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998637535882153
0,7, plain,15.962515830993652, materials,2.07165940082632e-05,nthey,2.069637230306398e-05, motiv,2.0525285435724072e-05,准确,2.030598079727497e-05,达尔,2.0187348127365112e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998975684193283
0,8, text,15.962159156799316,ople,2.146649239875842e-05,}{-,2.1113055481691845e-05,下令,2.106157444359269e-05,供,2.1046153051429428e-05,nblock,2.0979463442927226e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998943332611816
0,9,.,15.950218200683594, Abd,3.0987386708147824e-05, Dra,2.9626176910824142e-05, Hayes,2.8742731956299394e-05,沿线,2.8283304345677607e-05,近平,2.8118065529270098e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998542423345498
0,10, The,15.959071159362793,"{""__",2.6026638806797564e-05,iki,2.3825146854505874e-05,ymptotic,2.334722194063943e-05,十五日内,2.3165534003055654e-05,趋于,2.3092125047696754e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998805433333473
0,11, capital,15.962240219116211,迷,2.204412521678023e-05,氧,2.1008991097914986e-05,Links,2.06883287319215e-05,挽,2.051730734820012e-05,---,2.0512299670372158e-05,戳,2.0432329620234668e-05,Qual,2.0397439584485255e-05, bailout,2.030304131039884e-05,$~,2.027332448051311e-05,太子,2.0174575183773413e-05,平常,2.0064057025592774e-05, bur,2.002001929213293e-05,opath,1.9988272470072843e-05,ode,1.994927333726082e-05,ayers,1.993710066017229e-05,肽,1.9932233044528402e-05,同胞,1.9927367247873917e-05, imag,1.9852101104333997e-05,揭,1.9842409528791904e-05,氧气,1.9832723410218023e-05,0.9995943026806344
0,12, of,15.958145141601562,�,2.4477587430737913e-05,vep,2.4417900931439362e-05,和所述,2.3869735741754994e-05,ault,2.3828977646189742e-05, Tam,2.3788290491211228e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998796175077587
0,13, Germany,15.963149070739746,stra,2.1233423467492685e-05,<tbody>,2.0792253053514287e-05,nun,2.0187009795336053e-05,stones,2.0073974155820906e-05,shan,1.9932351278839633e-05, proc,1.986676397791598e-05,柠,1.98594898392912e-05,ellers,1.9827999494737014e-05,rell,1.9818318833131343e-05, Initi,1.9813482140307315e-05,麻,1.9794142644968815e-05,erer,1.9688111933646724e-05, multivariate,1.9683306163642555e-05,盲,1.9671295376610942e-05,拿出,1.964969669643324e-05, secular,1.9623328626039438e-05,的马,1.9532513761078008e-05,gencies,1.950392106664367e-05, Initiative,1.9484885342535563e-05,arta,1.948250428540632e-05,0.9996024812280666
0,14, is,15.959327697753906,ours,2.3501126634073444e-05,eating,2.3215990950120613e-05, Loc,2.2939915652386844e-05,十五日内,2.2728077965439297e-05,VD,2.253469756396953e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999885080191234
0,15, called,15.96312141418457, attention,2.1743146135122515e-05,attention,2.0480723833316006e-05,Tube,2.0475723431445658e-05,移,2.029159622907173e-05,uchi,2.0256946299923584e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998967518640711
0,16, simply,15.962127685546875, Denote,2.1955696865916252e-05,npred,2.1181707779760472e-05,erity,2.09247136808699e-05,密切,2.0838047930737957e-05,insula,2.0565130398608744e-05,面,2.0489957023528405e-05,涌,2.0484954802668653e-05,uct,2.0469957235036418e-05, CIA,2.0410074284882285e-05,这一点,2.033050259342417e-05,ontal,2.0290834072511643e-05, Tree,2.0290834072511643e-05,odox,2.0266079445718788e-05,ninter,2.012801451201085e-05, Opera,2.012309960264247e-05, Hire,2.0069132006028667e-05, solution,2.0056886569363996e-05,:///,2.0054440028616227e-05,酯,2.00250833586324e-05,asive,2.000309541472234e-05,0.9995910417583218
1,0,<|startoftext|>,15.954052925109863, Myth,2.764746568573173e-05,双,2.6666317353374325e-05,记,2.626571586006321e-05,剑,2.622727151901927e-05, pam,2.5997769625973888e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998671954599558
1,1,Give,15.961576461791992,away,2.3288353986572474e-05,晕,2.211366154369898e-05,vertible,2.2011321561876684e-05, 背景技术,2.194157241319772e-05,shtml,2.1861365894437768e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998887837246002
1,2, the,15.964240074157715,挤,1.944249561347533e-05,馒,1.9213639461668208e-05,抑,1.9185514247510582e-05,ads,1.9159768271492794e-05,蛋,1.9155091649736278e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999038434907561
1,3, city,15.964651107788086,第二百零,1.898603659356013e-05,wide,1.8840586562873796e-05,RANT,1.8582484699436463e-05, Hyde,1.842437450250145e-05,商业化,1.830555993365124e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999906860957708
1,4, name,15.964777946472168,ks,1.8529011867940426e-05,百分点,1.8436508980812505e-05,cuador,1.834446629800368e-05,plate,1.834446629800368e-05,bbf,1.833998794609215e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999080055586091
1,5, only,15.964753150939941,及利息,1.8703503883443773e-05,淋漓尽,1.8630587874213234e-05,burner,1.8364147763350047e-05, eternity,1.829701977840159e-05,BUFFER,1.828362474043388e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999077211159602
1,6,",",15.964780807495117,usercontent,1.8466183973941952e-05,hdad,1.832247835409362e-05,逆,1.8215434465673752e-05, Bread,1.8177674064645544e-05,ads,1.814441930036992e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999086738098413
1,7, plain,15.964447975158691,ly,1.9896777303074487e-05,尴,1.898795562738087e-05,一刀,1.8684448150452226e-05,不可思,1.8600248949951492e-05,ermi,1.8573022316559218e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999052575476526
1,8, text,15.964926719665527,itored,1.85532117029652e-05,iles,1.8514750991016626e-05,ivan,1.8447071852278896e-05,ured,1.8350496247876436e-05,nblock,1.8276721675647423e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999078577475302
1,9,.,15.965136528015137,CTYPE,1.8067001292365603e-05,上诉状,1.789797897799872e-05,点缀,1.7791240679798648e-05,\\\\%,1.7708904124447145e-05,ECT,1.7698099327390082e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999910836775598
1,10, The,15.965201377868652,××××,1.8080423615174368e-05,aters,1.8023130905930884e-05,*{-,1.786978100426495e-05,其特征,1.780880666046869e-05,med,1.7754540749592707e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999104633170646
1,11, capital,15.964945793151855,nforcement,1.819317913032137e-05, deck,1.808468186936807e-05,记,1.8047190678771585e-05,枝,1.790019086911343e-05,ски,1.782822801033035e-05,pun,1.7821701476350427e-05,ODI,1.7799959096009843e-05,将要,1.7773903891793452e-05, punishment,1.7769565602065995e-05,EXT,1.7689488231553696e-05, media,1.7687329091131687e-05,oud,1.767006324371323e-05,von,1.7667907741270028e-05,vidia,1.765820343280211e-05,essential,1.764527587511111e-05,徒刑,1.7644200852373615e-05, Pers,1.7642045349930413e-05,交,1.7640970327192917e-05,旁,1.7640970327192917e-05,dash,1.763773980201222e-05,0.9996445572051016
1,12, of,15.96493148803711,nipeg,1.9006434740731493e-05,prim,1.8858525436371565e-05,tent,1.8466698747943155e-05,拒,1.8370021280134097e-05,usercontent,1.8336415450903587e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999069619043439
