layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass
0,0,<bos>,1.019128799232121e-31,<bos>,1.0, 剪影,3.625141007634431e-34, 收納,2.1987591985594636e-34, стоковая,4.906094994852858e-35, Савезне,2.9756967944000553e-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
0,1,Give,0.0005967026809230447,Give,0.9999698400497437, Give,1.6701196727808565e-05,<unused43>,8.315036552630772e-07,<unused41>,8.315036552630772e-07,<pad>,8.315036552630772e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.096424256274986e-05
0,2, the,6.049954410007949e-20, the,1.0, a,8.644056586276354e-22, The,1.75879225876483e-25, an,1.8537533315681931e-26, ,3.2213402768962287e-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
0,3, city,7.334947926818103e-11, city,1.0, City,1.879528650772233e-12,city,2.825757392698391e-15,City,9.47935953891122e-19, CITY,1.2828918603495367e-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
0,4, name,1.7379373981607493e-11, name,1.0, Name,4.1937956471276017e-13, names,1.71390848833098e-15,name,1.0395379134185484e-15,Name,1.2828918603495367e-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
0,5, only,2.2181808798614477e-13, only,1.0,only,4.658885768355414e-15, Only,2.1151310700892382e-19,Only,3.873997809109103e-21, ONLY,1.4251641388208515e-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
0,6,",",7.25400794797772e-15,",",1.0,.,8.533048291820244e-17, (,4.030726386134531e-17,-,5.454994750713651e-18, and,2.006780491108507e-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
0,7, plain,2.5208345277860644e-07, plain,1.0, Plain,9.23744991609965e-09,plain,1.6918980105806725e-10,Plain,1.1399918552548738e-12, plains,2.6102790464535398e-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
0,8, text,8.097028048048571e-10, text,1.0, Text,2.2897348947448215e-11, texts,7.68120477976069e-15,text,2.3195229636950566e-16,Text,4.24835413113866e-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
0,9,.,7.555871008621366e-15,.,1.0,",",1.406861771338595e-16,-,9.47935953891122e-19, ,9.47935953891122e-19, (,2.7158818467014143e-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
0,10, The,2.499668440986147e-12, The,1.0,The,5.6756852093598625e-14, the,4.030726386134531e-17, A,7.382532683308073e-19, ,3.6755463557238345e-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
0,11, capital,6.199998292544251e-10, capital,1.0,capital,8.423464183116014e-12, Capital,8.423464183116014e-12,Capital,4.658885768355414e-15, CAPITAL,1.903980345736795e-17, capitals,3.873997809109103e-21, capitol,3.179970757931434e-22,CAPITAL,9.602679948093257e-24, capitalized,1.75879225876483e-25, capitalize,3.924395957158335e-26, capitalization,1.185064946717304e-27, Capitol,4.594995004143977e-29, Capitals,1.0252820466629127e-29, capitale,6.218649491443252e-30, capita,8.41602703635062e-31, capi,4.190093106797024e-32, capitalist,2.541420255845724e-32,kapital,9.349361910190236e-33, kapital,7.2812904542176e-33,capitalize,5.670674379810965e-33,0.0
0,12, of,3.205805564840549e-16, of,1.0, in,3.3086215341773792e-18, and,1.2171738340976647e-18, for,2.7158818467014143e-19, to,2.1151310700892382e-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
0,13, Germany,4.567452924675308e-05, Germany,0.9999977350234985,Germany,2.2603242086915998e-06, germany,4.5990450336930166e-10, GERMANY,3.09881222244901e-12,germany,3.4424692913967436e-14, Germans,7.681186992068798e-15, German,7.681186992068798e-15, Italy,2.8257510399512867e-15, France,3.8242380839163066e-16, Sweden,5.175543361291186e-17, Switzerland,3.1391256092203634e-17, Austria,1.9039760443976098e-17, Deutschland,1.9039760443976098e-17, Belgium,1.154819739432014e-17, Spain,1.154819739432014e-17, Denmark,1.154819739432014e-17,GERMANY,4.248344618561615e-18, Alemania,4.248344618561615e-18, Japan,4.248344618561615e-18, Poland,4.248344618561615e-18,4.189236513241212e-09
0,14, is,1.1567127215843263e-18, is,1.0, has,1.7362054152806356e-20, was,1.9287498933537385e-22, are,1.5832143333807154e-23,is,1.2330085275221668e-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
0,15, called,2.4205251136777406e-09, called,1.0,called,6.224144116773189e-11, Called,8.423464183116014e-12,Called,7.68120477976069e-15, CALLED,1.71390848833098e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
0,16, simply,1.7999092960963026e-05, simply,0.9999991655349731,simply,8.315280410897685e-07, Simply,3.0988165592577e-12,Simply,3.0988165592577e-12, simplemente,2.3195211108104844e-16, simplesmente,1.90397869137557e-17, semplicemente,5.749517370896832e-19, simplement,1.282890826373771e-19, просто,2.349696195042806e-21, einfach,1.1698448766032273e-22, Simplemente,9.602672059484205e-24, merely,3.532625629801896e-24, Просто,3.2213375805943065e-27,Просто,1.1850639837523317e-27, פשוט,1.603809494503721e-28, jednod,3.578582767654629e-29, gewoon,8.416020453582255e-31,Einfach,6.554402745523988e-31, Einfach,5.104574344293237e-31, simpel,6.90828978671757e-32,2.930787834642956e-09
1,0,<bos>,1.531309055823829e-26,<bos>,1.0,The,1.2490491061464602e-28,ⓧ,9.048082073307534e-30,<h1>,7.04665266583478e-30, the,4.8430893875347414e-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1,1,Give,0.27540311217308044,Give,0.9525721073150635, Give,0.0474257692694664,give,2.153126843040809e-06, give,5.337067676691731e-09,GIVE,2.9518486179686e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1,2, the,2.848900976459845e-06, the,0.9999998807907104, The,1.1253516163378663e-07,the,1.6052277285183436e-09, ,3.1608812789407637e-10, their,2.789467823394176e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4738652782427835e-09
1,3, city,2.183849989734199e-09, city,1.0,city,6.224144116773189e-11, City,1.879528650772233e-12, CITY,4.658885768355414e-15,City,4.658885768355414e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1,4, name,2.827255374260318e-10, name,1.0, Name,3.978962558742749e-12,name,3.098819161342914e-12, names,3.266131668507727e-13,Name,3.824246818943575e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1,5, only,8.854882160846955e-09, only,1.0,only,2.789468100949932e-10, Only,2.0879678940140776e-14,Only,7.68120477976069e-15, ONLY,1.5628821837904738e-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1,6,",",1.3313229407785343e-09,",",1.0," ,",2.2897348947448215e-11,"

",3.978962558742749e-12, (,3.511422055901825e-12,<eos>,2.1297852804275097e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1,7, plain,4.040660783743988e-08, plain,1.0, Plain,1.2501528701136522e-09,plain,1.0261879540562902e-10,Plain,6.914400150527522e-13, plains,8.75651089272076e-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1,8, text,3.7070762459734397e-08, text,1.0, Text,1.2501528701136522e-09,text,2.4133626954497833e-12, texts,5.6756852093598625e-14,Text,3.4424770840998584e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1,9,.,7.097980301296047e-07,.,1.0,<eos>,9.23744991609965e-09, .,3.6174372386454934e-09,",",2.998960857425459e-09,"

",2.646573848963385e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1,10, The,1.0153626135434024e-06, The,1.0,The,4.139937814784389e-08, This,1.3615260449021532e-13, A,1.842625309061638e-14, the,1.842625309061638e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1,11, capital,1.810534833168731e-09, capital,1.0,capital,3.775134718719819e-11, Capital,1.3887944613766301e-11,Capital,5.6756852093598625e-14, CAPITAL,1.406861771338595e-16,CAPITAL,8.644056586276354e-22, capitals,9.11076979565241e-23, capitale,7.095473783060257e-23, capitol,1.066761441209852e-25, capitalize,9.229294145851766e-28, capitales,5.597849716975122e-28,资本,4.594995004143977e-29, capitalized,2.1705219940814765e-29, kapital,3.771801388398725e-30, Kapital,8.41602703635062e-31, Capitals,1.8778695052055614e-31,資本,1.8778695052055614e-31,kapital,1.4624862419498405e-31, Hauptstadt,1.1389853770767086e-31, capitalization,5.380186509709349e-32,0.0
1,12, of,2.8846025568185496e-09, of,1.0,of,2.940077695190446e-11, của,1.573710259328287e-11, OF,6.983296753360069e-12,Архівовано,6.1627378547535194e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1,13, Germany,7.138276032492286e-06, Germany,0.9999996423721313,Germany,3.0590220490012143e-07, germany,4.8473669522763885e-11, Alemania,2.2897340273830835e-11, German,2.681002934847715e-14, GERMANY,5.982126144270239e-15, Allemagne,1.334792634765953e-15,germany,3.824245495454595e-16, Tyskland,2.3195221696016685e-16, Deutschland,2.3195221696016685e-16, Germans,1.406861241943003e-16, Alemanha,8.993762746721659e-18, Duitsland,4.248352476777435e-18, France,3.3086202934064604e-18,德国,7.382530098368659e-19, Italy,5.749519955836246e-19,German,4.477730798011731e-19,GERMANY,4.477730798011731e-19, Германия,2.7158808127256487e-19, Германии,2.115130294607414e-19,5.1654257759992106e-08
1,14, is,2.415100149759982e-15, is,1.0, has,2.7702750207350052e-17, was,1.0191272119514677e-17,is,3.7491597304496456e-18, are,9.47935953891122e-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1,15, called,1.1111346793768462e-06, called,1.0,called,4.139937814784389e-08, Called,3.3982678893096363e-09,Called,3.978962558742749e-12, CALLED,6.914400150527522e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1,16, simply,2.7698863505065674e-06, simply,0.9999998807907104,simply,1.1253516163378663e-07, Simply,5.1090884994886565e-12,Simply,1.1399917468346565e-12, simplemente,9.357621556967122e-14, simplesmente,3.139132226665264e-17, simplement,4.2483537175483534e-18, просто,3.487260855131615e-19, semplicemente,2.1151308115952968e-19, einfach,6.731997601281899e-22, Simplemente,1.5832141756085344e-23, merely,1.2330083697499857e-23, Просто,5.311091555689993e-27, jednod,1.6904040594429212e-29,Просто,1.3164879204689544e-29, פשוט,7.984904044796711e-30, Einfach,5.104578105875159e-31,Einfach,1.8778692701066912e-31, gewoon,1.4624861244004054e-31, just,3.263247549521123e-32,6.6677852128549375e-09
2,0,<bos>,7.127056813747728e-18,<bos>,1.0,The,2.862518609581133e-20,',1.9673783242409118e-20,"

",8.201252627599619e-21,<strong>,6.387142550591043e-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2,1,Give,0.016247546300292015,Give,0.9984986782073975, Give,0.001501181977801025,give,1.1236622299293231e-07, give,2.2862971932324783e-11,GIVE,1.1382803337053882e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7424577275780848e-08
2,2, the,9.483778953552246, itſelf,0.17609088122844696, whoſe,0.0504508838057518, ſte,0.03929118812084198, myſelf,0.03257353603839874, reaſon,0.03060000389814377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6709935069084167
2,3, city,3.414156513059652e-09, city,1.0,city,1.0261879540562902e-10,City,9.357622912219837e-14, City,9.357622912219837e-14, CITY,2.0879678940140776e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2,4, name,1.4587080876538039e-08, name,1.0, Name,4.5990555808117506e-10, names,8.423464183116014e-12, NAME,2.5436656904062604e-13,name,2.6810039512872516e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2,5, only,2.465766897330468e-07, only,1.0,only,9.23744991609965e-09,Only,6.914400150527522e-13, Only,5.6756852093598625e-14, только,2.3195229636950566e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2,6,",",2.3173582553863525, ſta,0.44946393370628357,ſelf,0.3089117407798767, itſelf,0.06892753392457962, ſte,0.047373149544000626, pleaſure,0.02873326651751995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09659037552773952
2,7, plain,4.729467040220925e-09, plain,1.0, Plain,1.0261879540562902e-10,plain,3.775134718719819e-11,Plain,4.1937956471276017e-13, plains,9.727604926320145e-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2,8, text,3.407358839524477e-09, text,1.0, Text,1.0261879540562902e-10, texts,3.4424770840998584e-14,text,1.266416662428502e-14,Text,2.825757392698391e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2,9,.,2.6986279487609863,ſelf,0.44587382674217224, ſta,0.18586786091327667, itſelf,0.1640278398990631, ſte,0.03659955412149429, pleaſure,0.02219875156879425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14543216675519943
2,10, The,0.00032914572511799634, The,0.9999810457229614,The,1.8925147742265835e-05, ſte,3.224125677547818e-08, queſta,2.2159071022542776e-08, ſtand,1.95553102599888e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2,11, capital,3.1061050953518077e-10, capital,1.0,capital,8.423464183116014e-12,Capital,7.68120477976069e-15, Capital,7.68120477976069e-15, CAPITAL,3.139132557537509e-17, capitale,5.242885696424093e-22,CAPITAL,3.179970757931434e-22, capitals,5.82432020201049e-24, capitol,3.2213402768962287e-27, capitales,1.6038108185805577e-28, capitalize,4.8430893875347414e-30,资本,1.08063919775613e-30, capitalized,2.411232316926477e-31, kapital,3.2632478433947105e-32,資本,7.2812904542176e-33, Hauptstadt,1.6246755378554462e-33, capitalization,1.3336148713971936e-34, Kapital,1.3336148713971936e-34, Capitals,3.820870344979068e-35,kapital,1.8048514720778033e-35,0.0
2,12, of,0.014685317873954773, of,0.9990443587303162, ſte,0.00026100888499058783, itſelf,0.00013970800500828773, kaarangay,0.00012329187302384526, ſta,6.599337939405814e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00036563912726705894
2,13, Germany,0.0007205757428891957, Germany,0.9999545812606812,Germany,4.539786823443137e-05, germany,3.3981135683092134e-09, Alemania,1.0261413246892559e-10, GERMANY,8.423081676589561e-12,germany,1.2014879108984688e-13, Allemagne,2.6808821479494364e-14, German,2.0878730263239852e-14, Germans,3.6281792322031756e-15, Alemanha,2.825629067206882e-15, Tyskland,1.713830667178951e-15,GERMANY,4.910207114190224e-16, Duitsland,4.910207114190224e-16, Германии,5.175320022525797e-17, Германия,4.030543413783034e-17,German,4.030543413783034e-17,德国,2.4446480934141154e-17, Deutschland,1.1547699431591383e-17,Allemagne,3.3084711941010477e-18, german,7.382197158172106e-19,1.7361756921019378e-08
2,14, is,0.15201391279697418, is,0.9803020358085632, queſta,0.017954858019948006, ſind,0.0008939197286963463, itſelf,0.0004222577845212072,ſelf,0.0001760232262313366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002509054320398718
2,15, called,2.262638417960261e-06, called,0.9999998807907104, Called,4.139937459513021e-08,called,4.139937459513021e-08,Called,1.2501527590913497e-09, CALLED,7.582559025109958e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.440213169891848e-08
2,16, simply,0.00018268534040544182, simply,0.9999898672103882,simply,1.012999018712435e-05,Simply,8.423379181665691e-12, Simply,1.1399802542916282e-12, simplemente,1.2664038722309985e-14, simplesmente,1.40684747765761e-16, semplicemente,3.139100793801987e-17, simplement,2.5767310942146947e-18, просто,2.1151096150921001e-19, Simplemente,7.0954018389457e-23, einfach,2.6102525407271244e-23, Просто,3.9243562059642827e-26, merely,1.4436898744875027e-26,Просто,1.1850529096551515e-27, פשוט,1.0252716646968062e-29, jednod,8.870337382780996e-32, gewoon,1.5414335298833398e-32,Einfach,4.416280848161486e-33, Einfach,3.439402798299932e-33, simpel,2.1987369284516453e-34,2.7898485743804713e-09
3,0,<bos>,1.8485363814236112e-16,<bos>,1.0,The,1.7709775614540875e-18,',3.077497551657866e-19,"

",1.6472656956609696e-19,<h1>,1.2828918603495367e-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
3,1,Give,0.02497606910765171,Give,0.9975274205207825, Give,0.0024726232513785362,give,4.129701380861661e-08, give,1.385360576255934e-11,GIVE,1.2632853510290924e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
3,2, the,6.101776599884033, the,0.34172916412353516, The,0.3210248351097107,ethe,0.011693328619003296, complement,0.006662657950073481,ected,0.0035662639420479536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3153237502556294
3,3, city,8.271308082896667e-10, city,1.0,city,2.2897348947448215e-11, City,2.5436656904062604e-13,City,1.5428111533547645e-13, CITY,1.266416662428502e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
3,4, name,2.8390371653586044e-07, name,1.0, Name,9.23744991609965e-09, names,1.2501528701136522e-09, NAME,8.423464183116014e-12,name,1.879528650772233e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
3,5, only,2.465675379426102e-07, only,1.0,only,9.23744991609965e-09,Only,4.1937956471276017e-13, Only,9.357622912219837e-14, ONLY,3.824246818943575e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
3,6,",",15.682266235351562,",",0.005445549264550209,躇,0.004657825455069542,"%,",0.0037426678463816643, directiva,0.0024164479691535234," {,",0.002342101652175188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9813954078126699
