layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass
0,0,<|begin_of_text|>,16.963339351852532,ouv,1.2716422133962624e-05,ünüz,1.2083837646059692e-05, Mand,1.1760767847590614e-05,bestos,1.1567133697099052e-05,гл,1.1315744814055506e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999405560938612
0,1,Give,16.9557905324239,"
",1.4110748452367261e-05,ILLISECONDS,1.4042017028259579e-05,́,1.3716733519686386e-05,fully,1.3563550055550877e-05,bare,1.3320705875230487e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999312462450689
0,2, the,16.950699502713995,.AutoComplete,1.568312472954858e-05,.opensource,1.55231336975703e-05, Feinstein,1.5245203940139618e-05,ioso,1.5082313439052086e-05, kontakte,1.5016179531812668e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999234500446619
0,3, city,16.957900882298524,istle,1.3627414773509372e-05,us,1.3614112504001241e-05,emics,1.310215793637326e-05, Richt,1.3003370440856088e-05,://,1.2990676623303443e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999933662267722
0,4, name,16.95512380476573,emics,1.5090278793650214e-05,obbies,1.4791181456530467e-05,offer,1.472632538934704e-05,anz,1.4280213690653909e-05, Dyn,1.414834514434915e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999269636555255
0,5, only,16.953494411467606,ots,1.509035882918397e-05,igator,1.461180090700509e-05,ーリ,1.4547730643243995e-05,undo,1.4491014553641435e-05, Abs,1.434318346582586e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999269159116011
0,6,",",16.944934080819095,ExecutionContext,1.9395842173253186e-05,athers,1.8435488527757116e-05,".)



",1.7582677173777483e-05,ñana,1.7318538084509782e-05, Awakening,1.724259891489055e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999100248551258
0,7, plain,16.95624180713577,.googleapis,1.551556124468334e-05,antage,1.5334800991695374e-05,OUSE,1.4384625501406845e-05,ioned,1.4037690561963245e-05,(Source,1.360579608444823e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999271215256158
0,8, text,16.957271744535273,abb,1.4542288226948585e-05,とも,1.4012523934070487e-05,kov,1.3215068975114264e-05,ForRow,1.3125039004080463e-05,ovice,1.3105826838000212e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999319992530218
0,9,.,16.943802941508665," ******************************************************************************
",2.1433803340187296e-05,ayd,1.950617297552526e-05,ayet,1.8749746232060716e-05,iedo,1.8288597857463174e-05,aliz,1.7847505660029128e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999041741739347
0,10, The,16.95732060381332,ONSE,1.503692601545481e-05,uteč,1.3995439985592384e-05,uars,1.3765011317445897e-05,ffa,1.3604645573650487e-05,zure,1.3446146112983115e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999301518309949
0,11, capital,16.956222154669575, Burnett,1.4491331057797652e-05, inch,1.408668867952656e-05, Kelley,1.4011231542099267e-05,minster,1.368331959383795e-05, Sche,1.3639960343425628e-05, Dalton,1.3600058991869446e-05,773,1.3547035450756084e-05,olver,1.3487633623299189e-05, Crowley,1.3441612281894777e-05,ongo,1.3376139577303547e-05, trends,1.3123828466632403e-05, compact,1.3053527254669461e-05, ste,1.302805685554631e-05, crow,1.2939302905579098e-05,筆,1.2879419955424964e-05,"…


",1.2863707524957135e-05,thesis,1.2791677363566123e-05, bachelor,1.2772952686646022e-05, invisible,1.276048624276882e-05,istic,1.2757370313920546e-05,0.9997336646592885
0,12, of,16.949856902974012,rench,1.830447763495613e-05, Zub,1.680533569015097e-05,NotAllowed,1.6593336113146506e-05,kers,1.573328518134076e-05,opis,1.5466690456378274e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999917096874924
0,13, Germany,16.957171054522785,chy,1.4099380678089801e-05,pard,1.4099380678089801e-05,eny,1.3725772987527307e-05,weit,1.353939478576649e-05,iner,1.3368592590268236e-05,iani,1.3335995390661992e-05,.scalablytyped,1.3290491551742889e-05, Settlement,1.3187063814257272e-05,archives,1.3135651897755452e-05,企,1.3122830750944559e-05,ovah,1.3097225746605545e-05,шев,1.3033430150244385e-05,PK,1.300164785789093e-05,вич,1.2900469300802797e-05,aux,1.282510220335098e-05,ationToken,1.2812583918275777e-05,lon,1.2787582818418741e-05,ZN,1.2781340046785772e-05,anske,1.2737728866341058e-05,aq,1.2731510651065037e-05,0.9997363868233151
0,14, is,16.95483486851007,alborg,1.5723890101071447e-05,��,1.5693211025791243e-05,ffa,1.55786892719334e-05, Estates,1.5262457964126952e-05,.opensource,1.402615089318715e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999237156007439
0,15, called,16.95537511309698,izi,1.5382256606244482e-05,owi,1.4713730706716888e-05,ugu,1.4372887562785763e-05,ots,1.4177720004227012e-05,ษ,1.3883146493753884e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999274702586263
0,16, simply,16.955051100304967,itzer,1.529218934592791e-05,ikers,1.397136838932056e-05,itchens,1.392369631503243e-05,�,1.3761480659013614e-05, Hem,1.3594514712167438e-05,iculty,1.3508494703273755e-05,ude,1.3312059309100732e-05,leyen,1.3253687029646244e-05,762,1.3234285688668024e-05,ots,1.3227826457296032e-05, ped,1.3208463315095287e-05,abler,1.3163394214643631e-05,youtu,1.3137709174770862e-05, Bernstein,1.3112075066601392e-05,anza,1.309607887378661e-05,zung,1.3013212083023973e-05, Lola,1.297197650274029e-05,زاده,1.2937186511408072e-05,ь,1.2927714124089107e-05,jer,1.2871027138317004e-05,0.9997324815603861
1,0,<|begin_of_text|>,16.960470418565052,"。。

",1.2981930012756493e-05,rons,1.2712202078546397e-05,NG,1.2554901331895962e-05, gratuitement,1.2539585441118106e-05,ungs,1.2342162335698958e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999368692188
1,1,Give,16.958225821263067,aways,1.4317264685814735e-05,IH,1.3215468243288342e-05,********************************************************************************,1.3138261238054838e-05,予,1.3125436453265138e-05,řeba,1.3023294741287827e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999331802746383
1,2, the,16.960815899935554,ses,1.4149271919450257e-05,TL,1.3957141163700726e-05,'gc,1.2807792700186837e-05,OVE,1.2471454283513594e-05,tas,1.2441044418665115e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999341732955145
1,3, city,16.95865741816052,-wide,1.4814632777415682e-05,wide,1.3502057299774606e-05,scape,1.3482292160915677e-05, Kendrick,1.3383905752561986e-05,ENCE,1.3150697668606881e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999316664143407
1,4, name,16.95851639848542,plate,1.4883701624057721e-05,plates,1.4767875654797535e-05,OAD,1.4320507943921257e-05, actionTypes,1.3947850675322115e-05,nv,1.3224917893239763e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999288551462087
1,5, only,16.958020439332156,범,1.3194612620281987e-05,mind,1.3130343177181203e-05, Stern,1.3098325325699989e-05,앙,1.2971034266229253e-05,owler,1.2895255167677533e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999347104294429
1,6,",",16.962526149404777,iyel,1.2163893188699149e-05,otes,1.2036863154207822e-05,िह,1.1847356290672906e-05,"...""

",1.1735088264686055e-05,enton,1.1635239388851915e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999405815597129
1,7, plain,16.957320611269576,ings,1.510274250904331e-05,ائه,1.4688197552459314e-05,m,1.4215451301424764e-05,�,1.3637529264087789e-05,InputChange,1.3617568583867978e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999287385107891
1,8, text,16.95747702347238, quota,1.3652260349772405e-05,aml,1.3579129699792247e-05,xico,1.3506390132533852e-05,.ศ,1.3245151421870105e-05,-ng,1.2688078641076572e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999933328989755
1,9,.,16.96245671778319,cba,1.2336162399151362e-05,StateException,1.2231199434609152e-05,endor,1.2198396689200308e-05,ři,1.2032757695124019e-05,bette,1.1878062650794163e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999393234211311
1,10, The,16.961157765496086,istrovství,1.2646826689888258e-05,lük,1.2180163139419165e-05,итуа,1.2138602869526949e-05, Dün,1.2085377420589793e-05,CHANT,1.1900916433660313e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999390481134469
1,11, capital,16.95748221577989,cak,1.4770635971217416e-05, residence,1.3620641766465269e-05,pend,1.2987392437935341e-05, gain,1.2761092875734903e-05, Gerard,1.275797785638133e-05, unlike,1.2748637345794123e-05, Residence,1.2674156096181832e-05,ech,1.2661785149248317e-05, London,1.2462440281524323e-05,letcher,1.2456355761969462e-05,ARRIER,1.2456355761969462e-05,裕,1.2407792382873595e-05,AAF,1.2353386409813538e-05,.tc,1.2326272553764284e-05,ensis,1.2326272553764284e-05,lice,1.23022218758706e-05, cities,1.2272223102627322e-05, Tanner,1.2254259672772605e-05,FN,1.224229890794959e-05, Him,1.224229890794959e-05,0.9997469155023282
1,12, of,16.958005623757963, ​​,1.5048028217279352e-05,statt,1.4033154911885504e-05,$core,1.3815591046295594e-05, Tul,1.3528540875995532e-05,�,1.3488965123542584e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999930085719825
1,13, Germany,16.959199438534814,osate,1.531489397166297e-05,aned,1.2808575775125064e-05,.ibatis,1.2808575775125064e-05,иля,1.2690295989159495e-05,*num,1.2536326721601654e-05, SetLastError,1.2524090379884001e-05, дот,1.2466130101529416e-05,RowCount,1.2390274605422746e-05,.touches,1.2384225556161255e-05,ANNEL,1.236006119142985e-05,_aligned,1.2329921446507797e-05,بت,1.2314881132624578e-05,ês,1.2245923244336154e-05, RedirectTo,1.22041383292526e-05,ดาว,1.2186274034320377e-05,rote,1.2162496204837225e-05,atown,1.214469284605002e-05,erti,1.2141728802816942e-05,AccessType,1.2109165254514664e-05, hyp,1.2097345461370423e-05,0.9997497799831763
1,14, is,16.9611894736388,/is,1.4993105651228689e-05,/w,1.4320500667963643e-05,otope,1.373160193907097e-05,abelle,1.3096390830469318e-05,ifu,1.2868191333836876e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999309902095774
1,15, called,16.958339680919813,apsed,1.4680048479931429e-05, Loose,1.4389082934940234e-05,illon,1.362996317766374e-05,lier,1.3550334188039415e-05,izi,1.3288246918818913e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999304623243006
1,16, simply,16.95773543646383,mente,1.6155319826793857e-05,tons,1.4152979019854683e-05,tones,1.359750149276806e-05, unr,1.3373625733947847e-05, Reaper,1.3276033314468805e-05,pulse,1.3237194252724294e-05,omain,1.3230733202362899e-05,tics,1.3159859918232542e-05,.SwingConstants,1.305107434745878e-05,�,1.3038335055171046e-05, Escort,1.300654184888117e-05,감,1.29684931380325e-05,MU,1.2949510164617095e-05, dint,1.2924243492307141e-05,udev,1.2917934327560943e-05,éré,1.2855010936618783e-05,منت,1.2836194400733802e-05, Sext,1.2817406059184577e-05,ament,1.2773671187460423e-05,ๆ,1.2711451745417435e-05,0.9997349668865354
2,0,<|begin_of_text|>,16.951778527765583,edback,2.089527879434172e-05,aeda,1.807453008950688e-05,stants,1.726368827803526e-05,"・・・

",1.7012644093483686e-05,_Tick,1.693804733804427e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999098158114066
2,1,Give,16.95604815137041,aways,1.6834568668855354e-05, vay,1.4712079064338468e-05, Bender,1.4273368833528366e-05, Reef,1.4113968063611537e-05,予,1.392231661156984e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999261436987581
2,2, the,16.955117979364815,лю,1.4474518138740677e-05,ison,1.4015489796292968e-05,ISCO,1.3933607988292351e-05,elles,1.3730990758631378e-05,-www,1.3677457900485024e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999301679354176
2,3, city,16.956434535431065,izia,1.479133152315626e-05,esi,1.4141580322757363e-05, aş,1.4038382687431294e-05,-wide,1.380724734190153e-05,esk,1.3706489880860317e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999295149682439
2,4, name,16.954908199025986,plate,1.6464035070384853e-05,609,1.5100872587936465e-05,plates,1.4968731193221174e-05,anners,1.4787119653192349e-05,uye,1.4607709090341814e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999240715324049
2,5, only,16.95539698936736,アー,1.4562154319719411e-05,((__,1.4491223737422843e-05,picker,1.4287471458374057e-05, Kraj,1.3760269212070853e-05,민,1.3679878065886442e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999292190032065
2,6,",",16.958728829807534,멘,1.3260099876788445e-05,SSERT,1.3044963452557568e-05,atham,1.3032229617238045e-05,orton,1.2808277460862882e-05,atin,1.2749001143674832e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999351054284489
2,7, plain,16.954989999570586,�,1.5688672647229396e-05,ings,1.5430367056978866e-05, microtime,1.4530920452671126e-05," ;
",1.4453083167609293e-05,clo,1.4389707757800352e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999255072489177
2,8, text,16.95428617042308,-Y,1.4564842786057852e-05,ODY,1.4318045941763557e-05,산,1.4027405086380895e-05,UGH,1.3986370504426304e-05,kiem,1.3843687156622764e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999292596485247
2,9,.,16.96021741441191,ovel,1.3133536413079128e-05,��,1.2866939869127236e-05,bett,1.2726352906611282e-05,ustil,1.2477155905799009e-05,gni,1.240123401657911e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999363947808888
2,10, The,16.960870639894786,/tos,1.3375813068705611e-05,'gc,1.2651603356061969e-05,şk,1.2528654224297497e-05,GINE,1.2431155482772738e-05,orial,1.2292329301999416e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999367204445662
2,11, capital,16.955848169738474,cak,1.484208223700989e-05,.tc,1.3480917004926596e-05,ugas,1.3408704035100527e-05, unlike,1.336947752861306e-05,cro,1.3304355888976716e-05,.ov,1.3258960279927123e-05,PGA,1.3246019079815596e-05,alem,1.3200820831116289e-05,ignum,1.3187936019676272e-05,CLUD,1.3175063031667378e-05,city,1.3098091585561633e-05,�t,1.3069343367533293e-05,uch,1.304702709603589e-05,ῆς,1.3031110029260162e-05,anse,1.2857301953772549e-05,ech,1.285416328755673e-05,ěle,1.2847887774114497e-05,cores,1.2832214451918844e-05, elapsedTime,1.2816559319617227e-05,ital,1.2800923286704347e-05,0.9997362710419111
2,12, of,16.954301518748974, ​​,1.565289312566165e-05,nd,1.444831104890909e-05,kus,1.42173676067614e-05,readcr,1.371952112094732e-05, gaz,1.3632710761157796e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999283291963366
2,13, Germany,16.95937187901861,erken,1.387373140460113e-05,rote,1.3671983651875053e-05,osate,1.3141800081939436e-05,圭,1.3096958355163224e-05,agram,1.2957021681359038e-05,hes,1.2700206752924714e-05,ANNEL,1.2579855138028506e-05,zhou,1.2558375601656735e-05,fried,1.2402979336911812e-05,ftar,1.2396923921187408e-05,#ga,1.2327507647569291e-05,apter,1.2282444913580548e-05,تیب,1.2270455954421777e-05, RedirectTo,1.2249504834471736e-05,umps,1.2219634299981408e-05,ฐ,1.2213669833727181e-05,"/**
",1.2148245332355145e-05,.Popup,1.2142315426899586e-05,olan,1.2089071788068395e-05,iyan,1.2062538189638872e-05,0.9997486147758536
2,14, is,16.95898710529657,Alternate,1.352145045530051e-05,OSC,1.3435892469715327e-05,ุ้,1.2959081686858553e-05,.protobuf,1.2933795915159862e-05, INTERRUPTION,1.288337261939887e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999342664068536
