layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass,copy_collapse,entropy_collapse,is_answer
0,16,⟨NEXT⟩,14.955105626527713,dabei,5.435426646727137e-05,/******/,5.232305920799263e-05,座,5.201737440074794e-05,ogy,5.0812388508347794e-05,ppe,5.026947474107146e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997402234366746,False,False,False
1,16,⟨NEXT⟩,14.95844187785416,❶,4.8875543143367395e-05,ask,4.6762783313170075e-05,,4.670573616749607e-05,äst,4.641020132112317e-05,omet,4.5557015255326405e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997656887207995,False,False,False
2,16,⟨NEXT⟩,14.952079245819052,simply,5.9478254115674645e-05,❶,5.844187398906797e-05,tb,5.728353062295355e-05,/******/,5.582011363003403e-05,azu,5.543982842937112e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997135363992129,False,False,False
3,16,⟨NEXT⟩,14.944870002426827,simply,7.574992923764512e-05,eston,7.341934542637318e-05,/******/,7.143898255890235e-05,azu,6.167453102534637e-05,❶,5.9864632930839434e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996578525788209,False,False,False
4,16,⟨NEXT⟩,14.93438648215889,simply,9.185163071379066e-05,eston,7.712055958108976e-05,äl,7.104678661562502e-05,azu,7.042509241728112e-05,inx,7.018478936515749e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996193711413071,False,False,False
5,16,⟨NEXT⟩,14.929229039313618,simply,0.00011629153596004471,ifi,9.003881859825924e-05,[…],8.599957800470293e-05,Simply,7.988690776983276e-05,azu,7.934266614029184e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9995484404935269,False,False,False
6,16,⟨NEXT⟩,14.918198275396483,simply,0.0001281234435737133,[…],9.919969306793064e-05,uler,9.076444257516414e-05,apt,8.823003008728847e-05,amon,8.8143911852967e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9995055384788429,False,False,False
7,16,⟨NEXT⟩,14.91004490889636,plain,0.0001017946342471987,eval,0.00010149685112992302,ifi,0.00010011863923864439,[…],9.534745913697407e-05,iron,9.488303476246074e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9995063593814848,False,False,False
8,16,⟨NEXT⟩,14.899748021862463,olas,0.00011466664727777243,raw,0.00011377430200809613,[…],0.00011333074508002028,cles,0.0001082466114894487,edy,0.00010258596012135968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9994473957340233,False,False,False
9,16,⟨NEXT⟩,14.893968417547546,anel,0.00013302330626174808,cles,0.00012159314792370424,rite,0.00010793616820592433,raw,0.00010730557551141828,simply,0.00010430927795823663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999425832524139,False,False,False
10,16,⟨NEXT⟩,14.888450316528631,anel,0.00011709698446793482,rad,0.00011054087372031063,alike,0.00010672218922991306,ält,0.00010558190115261823,«,0.00010133899195352569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9994587190594757,False,False,False
11,16,⟨NEXT⟩,14.88392921232672,inho,0.00011807615373982117,[…],0.00011567933688638732,unf,0.00011255907884333283,plic,0.00010532724263612181,«,0.00010512171138543636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9994432364765089,False,False,False
12,16,⟨NEXT⟩,14.880324196835701,ifi,0.00013855425640940666,[…],0.0001369400561088696,iron,0.00012603195500560105,',0.00012359427637420595,"""",0.00011576641554711387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9993591130405548,False,False,False
13,16,⟨NEXT⟩,14.869918880462741,[…],0.00013766394113190472,mate,0.00013699338887818158,Roose,0.00012894497194793075,Fuck,0.00012719407095573843,official,0.0001232807117048651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9993459229153814,False,False,False
14,16,⟨NEXT⟩,14.857803074579296,mate,0.00020408976706676185,ív,0.00017818418564274907,[…],0.0001459988852730021,official,0.00013863452477380633,Dez,0.00013463188952300698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9991984607477207,False,False,False
15,16,⟨NEXT⟩,14.847045694098007,[…],0.0002597390557639301,simply,0.00021075432596262544,ixer,0.00019040066399611533,«,0.0001831065455917269,Simply,0.00016064688679762185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.998995352521888,False,False,False
16,16,⟨NEXT⟩,14.819339172487664,simply,0.0004091612936463207,plain,0.00023267818323802203,Fuck,0.000197664339793846,plain,0.0001972786703845486,Simply,0.00017089725588448346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9987923202570528,False,False,False
17,16,⟨NEXT⟩,14.782715081432535,simply,0.0005568537744693458,Fuck,0.00035395778832025826,plain,0.0002564444439485669,叫,0.0002307750255567953,plain,0.00021468625345733017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9983872827142477,False,False,False
18,16,⟨NEXT⟩,14.754033144302612,simply,0.0010816794820129871,"""",0.00041377925663255155,Fuck,0.00033378228545188904,“,0.00027997707366012037,without,0.0002635283162817359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9976272535859607,False,False,False
19,16,⟨NEXT⟩,14.70116376730778,simply,0.004847621079534292,plain,0.0006151032284833491,Simply,0.000550299184396863,"""",0.000512935221195221,“,0.0004606910515576601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9930133502348326,False,False,False
20,16,⟨NEXT⟩,14.639777272199474,simply,0.007094766013324261,Germany,0.001244984450750053,capital,0.0009055286645889282,city,0.0006835288368165493,city,0.0006742472760379314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9893969447584823,False,False,False
21,16,⟨NEXT⟩,14.533162983646813,simply,0.007536780554801226,capital,0.005261520855128765,Germany,0.0025944870430976152,“,0.0014216616982594132,"""",0.001372549682855606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9818130001658574,False,False,False
22,16,⟨NEXT⟩,14.50315175118682,simply,0.004811442457139492,capital,0.004131552297621965,Germany,0.003896425012499094,Berlin,0.0024383203126490116,“,0.001534828799776733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9831874311203137,False,False,False
23,16,⟨NEXT⟩,14.379565363466016,simply,0.01709502562880516,capital,0.004637150093913078,Germany,0.0035833120346069336,Berlin,0.0028792722150683403,“,0.0015532509423792362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9702519890852273,False,False,False
24,16,⟨NEXT⟩,14.211331727523985,simply,0.01747349090874195,Berlin,0.009763525798916817,Germany,0.007143148686736822,Frankfurt,0.004400766454637051,capital,0.003975760657340288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9572433074936271,False,False,False
25,16,⟨NEXT⟩,11.63620398706353,Berlin,0.13025954365730286,Germany,0.09093581885099411,Frankfurt,0.022025156766176224,German,0.01274718064814806,Deutschland,0.010818392969667912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7332139071077108,False,False,True
26,16,⟨NEXT⟩,9.875591854673424,Berlin,0.2536095976829529,Germany,0.09185130894184113,Frankfurt,0.03186720237135887,German,0.011318301782011986,Hamburg,0.009949425235390663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6014041639864445,False,False,True
27,16,⟨NEXT⟩,8.811578420157858,Berlin,0.3570854663848877,Germany,0.07484918087720871,Frankfurt,0.02161284163594246,simply,0.009856502525508404,Hamburg,0.00947890616953373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.527117102406919,False,False,True
28,16,⟨NEXT⟩,8.436845907528939,Berlin,0.38960325717926025,Germany,0.045099854469299316,Frankfurt,0.01359443087130785,"""",0.013176174834370613,simply,0.012870948761701584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5256553338840604,False,False,True
29,16,⟨NEXT⟩,7.895202958888321,Berlin,0.33064576983451843,"""",0.0693071186542511,“,0.035676248371601105,',0.030996059998869896,Germany,0.030515512451529503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.50285929068923,False,False,True
30,16,⟨NEXT⟩,7.239488621237992,Berlin,0.3465871810913086,"""",0.07583828270435333,“,0.056800246238708496,Germany,0.04321134462952614,‘,0.026106826961040497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45145611837506294,False,False,True
31,16,⟨NEXT⟩,7.843349633160891,Berlin,0.2429260015487671,"""",0.0918448343873024,“,0.054416265338659286,Germany,0.0513194277882576,',0.03352488949894905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5259685814380646,False,False,True
32,16,⟨NEXT⟩,3.6110030865982115,Berlin,0.38144031167030334,"""",0.174636110663414,“,0.10509786009788513,',0.05758887529373169,Germany,0.05162233114242554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2296145111322403,False,False,True
