layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass,copy_collapse,entropy_collapse,is_answer
0,15,⟨NEXT⟩,17.212852107132843,CLICK,7.252922841871623e-06,称之,7.209228897409048e-06,oreal,7.197797458502464e-06, CLICK,7.173237463575788e-06,flix,7.167986041167751e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999639988272975,False,False,False
1,15,⟨NEXT⟩,17.188828218432896, обязан,1.5598900063196197e-05,岔,1.4539773474098183e-05,俗称,1.4230727174435742e-05, Astroph,1.4175247088132892e-05," ""-"",",1.414068083249731e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999273146713676,False,False,False
2,15,⟨NEXT⟩,15.86556160178589,hook,0.0008530351333320141,对学生,0.0007211390184238553,øy,0.000698951946105808,auc,0.0006748063606210053,单职业,0.0006540447357110679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9963980228058062,False,False,False
3,15,⟨NEXT⟩,13.646953492382288,对学生,0.010681552812457085,*,0.00920807383954525,原因之一,0.006684345193207264, lun,0.005672929808497429,挨,0.004166648257523775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9635864500887692,False,False,False
4,15,⟨NEXT⟩,15.693335547092603,原因之一,0.001977253472432494,对学生,0.0018867084290832281,单职业,0.001380345318466425,名列,0.0008637980208732188,callee,0.0007957680500112474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9930961267091334,False,False,False
5,15,⟨NEXT⟩,16.767687432684344,(PR,0.00017820106586441398,town,0.0001539192599011585,tics,0.0001451596908736974,.TYPE,0.00014179704885464162,zia,0.00013716625107917935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9992437566834269,False,False,False
6,15,⟨NEXT⟩,17.013541061376735,呼和,6.253470201045275e-05, ön,5.8745914429891855e-05,而又,5.8402703871252015e-05,tion,5.6827393564162776e-05,gebung,5.594636604655534e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997075429200777,False,False,False
7,15,⟨NEXT⟩,16.77100789295481,的方式来,0.0003793666837736964,了一下,0.00016638169472571462,han,0.000151196654769592,"()));
",0.00014231380191631615,而又,0.0001384751230943948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9990222660417203,False,False,False
8,15,⟨NEXT⟩,16.914314994727313,的方式来,0.00013684178702533245,ingly,0.0001315994595643133,鄙,0.00010050744458567351,istically,9.856345423031598e-05,的方式,8.496701047988608e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9994475208441145,False,False,False
9,15,⟨NEXT⟩,17.06457129130029,俗,5.9235168009763584e-05,简单,5.911958942306228e-05,ifiable,4.815785359824076e-05,畸形,4.488805279834196e-05, titled,4.484423698158935e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999743755099189,False,False,False
