layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass,copy_collapse,entropy_collapse,is_answer
0,16,⟨NEXT⟩,16.956815719604492,itzer,1.4627717064286117e-05,ikers,1.344251631962834e-05,itchens,1.3402045624388848e-05,�,1.3254774785309564e-05, Hem,1.3105850484862458e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999321670957215,False,False,False
1,16,⟨NEXT⟩,16.94176483154297,mente,2.1048193957540207e-05,gın,2.0192141164443456e-05,tdown,1.9901259292964824e-05,GetComponent,1.926072218338959e-05,tons,1.9259028704254888e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999003386546974,False,False,False
2,16,⟨NEXT⟩,16.876401901245117,mente,5.426699135568924e-05,tics,4.7482153604505584e-05,tons,4.648944741347805e-05,tones,4.237136818119325e-05,éré,3.727855801116675e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999772111481434,False,False,False
3,16,⟨NEXT⟩,16.893571853637695,tones,3.6705765523947775e-05," ($(""#",3.36874982167501e-05,interp,3.162787834298797e-05,936,3.0281076760729775e-05,aires,3.0258932383731008e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998374388487719,False,False,False
4,16,⟨NEXT⟩,16.899085998535156,interp,3.7058471207274124e-05,tones,3.53921132045798e-05," ($(""#",3.502872641547583e-05,aires,3.320050018373877e-05,tons,3.193385055055842e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998273863384384,False,False,False
5,16,⟨NEXT⟩,16.873065948486328,�,6.732951442245394e-05,tons,5.081459312350489e-05,tones,4.71244020445738e-05,macros,4.5559529098682106e-05,interp,4.328750947024673e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997458844518405,False,False,False
6,16,⟨NEXT⟩,16.87972640991211,tons,4.1365132346982136e-05,tones,3.564272265066393e-05,ๆ,3.459793151705526e-05,alık,3.426905823289417e-05,macros,3.418942651478574e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998199357287376,False,False,False
7,16,⟨NEXT⟩,16.88058090209961,Exited,3.970113175455481e-05, bul,3.895506597473286e-05,AllowAnonymous,3.7912785046501085e-05,��,3.432476660236716e-05,BaseContext,3.3607295335968956e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998154989552859,False,False,False
8,16,⟨NEXT⟩,16.86244010925293,надлеж,5.799696737085469e-05,apı,5.090643753646873e-05,biased,4.9103258788818493e-05,�单,4.471925785765052e-05,Deserializer,4.462964352569543e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997526444349205,False,False,False
9,16,⟨NEXT⟩,16.86661720275879,biased,4.5084914745530114e-05,�单,4.505292963585816e-05,"♪

",3.884025863953866e-05,tons,3.8729624066036195e-05,RITE,3.828781336778775e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997940044595452,False,False,False
10,16,⟨NEXT⟩,16.850622177124023,tons,6.175688758958131e-05,biased,5.008099105907604e-05,abcdefghijklmnop,4.9595484597375616e-05,paced,4.802934199688025e-05,wel,4.608096060110256e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999744456334156,False,False,False
11,16,⟨NEXT⟩,16.854129791259766,tons,4.994481787434779e-05, Gott,4.540574082056992e-05,283,3.894672045134939e-05,paced,3.8249250792432576e-05, Hanson,3.763247514143586e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997898209949199,False,False,False
12,16,⟨NEXT⟩,16.876976013183594,LEGAL,3.6158999137114733e-05,283,3.489412119961344e-05,龄,3.4803946618922055e-05,macros,3.476326310192235e-05,tons,3.4583641536301e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998247960284061,False,False,False
13,16,⟨NEXT⟩,16.84304428100586,macros,5.123610026203096e-05, ifndef,4.819437526748516e-05,][_,4.545204865280539e-05,ToPoint,4.495179746299982e-05,CLUD,4.4552205508807674e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997656134728459,False,False,False
14,16,⟨NEXT⟩,16.835132598876953,tons,6.698714423691854e-05,太郎,5.064699143986218e-05, tie,4.819887544726953e-05, simply,4.803936826647259e-05,.tie,4.7232773795258254e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997388948468142,False,False,False
15,16,⟨NEXT⟩,16.846677780151367, simply,7.020390330580994e-05,tons,6.439792196033522e-05,enance,4.884822919848375e-05, IReadOnly,4.70258564746473e-05, reg,4.5788117859046906e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997237359712017,False,False,False
16,16,⟨NEXT⟩,16.847110748291016, simply,7.320788427023217e-05,enance,5.784818495158106e-05,tons,5.768649498349987e-05,íme,4.8446210712427273e-05,tics,4.629281465895474e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997165184104233,False,False,False
17,16,⟨NEXT⟩,16.8476619720459, simply,7.002830534474924e-05,tons,6.239228969207034e-05, plain,5.4823864047648385e-05,enance,4.7446952521568164e-05, repos,4.4611559133045375e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997206970292609,False,False,False
18,16,⟨NEXT⟩,16.839229583740234, simply,0.00010315180406905711,¤¤,4.8330286517739296e-05,STANCE,4.742785313283093e-05,serter,4.597804581862874e-05,ABCDEFGHIJKLMNOP,4.4412066927179694e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997106999435346,False,False,False
19,16,⟨NEXT⟩,16.839866638183594, ',8.05020026746206e-05, simply,7.79338224674575e-05,abouts,4.838160384679213e-05, Rif,4.650345726986416e-05,paced,4.5186785428086296e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997014923283132,False,False,False
20,16,⟨NEXT⟩,16.830415725708008, ',8.868071745382622e-05,tons,8.237014844780788e-05, simply,5.772470103693195e-05, Unt,5.1162402087356895e-05,jší,4.8808495193952695e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996712535357801,False,False,False
21,16,⟨NEXT⟩,16.833803176879883, ',8.925724978325889e-05,tons,8.39341155369766e-05, ‘,5.149970456841402e-05, simply,4.9643909733276814e-05,imas,4.750472726300359e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996781602931151,False,False,False
22,16,⟨NEXT⟩,16.82646369934082,tons,8.058527600951493e-05, ',6.348337774397805e-05, simply,6.115059659350663e-05,abouts,5.1489914767444134e-05, MainAxisAlignment,5.071167470305227e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996925791601825,False,False,False
23,16,⟨NEXT⟩,16.82795524597168,tons,7.86720120231621e-05, ',7.383414776995778e-05, simply,6.522980402223766e-05, ‘,6.062025931896642e-05,ehler,5.232959665590897e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996693141802098,False,False,False
24,16,⟨NEXT⟩,16.829906463623047, capital,8.008148142835125e-05,tons,6.980956823099405e-05, ',6.950880197109655e-05, ‘,6.524846685351804e-05,capital,5.785315443063155e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996574985270854,False,False,False
25,16,⟨NEXT⟩,16.814245223999023, Berlin,0.00013230618787929416, capital,8.802481897873804e-05,tons,8.649366645840928e-05, Germany,7.363397162407637e-05, simply,6.596661842195317e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9995535747366375,False,False,True
26,16,⟨NEXT⟩,16.828458786010742, Berlin,0.00017179483256768435,Berlin,8.673621050547808e-05,tons,7.942607771838084e-05, capital,6.755267531843856e-05, Germany,6.650611612712964e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9995279840877629,False,False,True
27,16,⟨NEXT⟩,16.819440841674805, Berlin,0.0001844052312662825,Berlin,9.681857045507059e-05,tons,8.194435940822586e-05, Stuttgart,7.211526826722547e-05, Germany,6.564016075571999e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9994990764098475,False,False,True
28,16,⟨NEXT⟩,16.819429397583008, Berlin,0.00015829174662940204,tons,9.269473230233416e-05,Berlin,8.218021685024723e-05, Deutschland,6.351216870825738e-05,serter,6.249034049687907e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9995408307950129,False,False,True
29,16,⟨NEXT⟩,16.798992156982422, Berlin,0.0001591120526427403,tons,9.242929081665352e-05, ‘,8.29215205158107e-05, “,7.763083704048768e-05," """,7.722010923316702e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9995106861897511,False,False,True
30,16,⟨NEXT⟩,16.794553756713867, Berlin,0.00017104884318541735, “,0.00010708912304835394, ‘,9.849434718489647e-05," """,9.838573168963194e-05,:,9.50443500187248e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999429937604873,False,False,True
31,16,⟨NEXT⟩,16.837846755981445,:,0.00013926524843554944," """,0.00013187783770263195, Berlin,0.000120153883472085, ',9.6342628239654e-05, “,8.550981874577701e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9994268505834043,False,False,False
32,16,⟨NEXT⟩,2.9610023498535156, Berlin,0.5201817154884338," """,0.18647965788841248, “,0.05880223214626312, ',0.04182837903499603,:,0.03018997609615326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16251803934574127,False,False,True
