layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass
0,0,<s>,16.998205184936523, Fisher,1.0009579455072526e-05, emb,9.80105596681824e-06,uch,9.590456102159806e-06,ramento,9.510299605608452e-06,aks,9.474791113461833e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999516138177569
0,1,Give,16.999094009399414, Chuck,9.111342478718143e-06,amo,9.076015885511879e-06,illeurs,9.035174116434064e-06,nab,8.964381777332164e-06, Institution,8.960235390986782e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999954852850351
0,2, the,16.9986572265625, franchise,9.378072718391195e-06,fy,9.338978088635486e-06,픽,9.325584869657177e-06, correl,9.257561032427475e-06, election,9.235945071850438e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999953463858219
0,3, city,16.998701095581055,rien,9.490104275755584e-06, patronage,9.352147571917158e-06,efa,9.28795361687662e-06,ziehungsweise,9.240731742465869e-06,istro,9.22763592825504e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999534014268647
0,4, name,16.998563766479492,chter,9.519897503196262e-06, Phil,9.45568535826169e-06,術,9.336313269159291e-06,etes,9.311410394730046e-06, conj,9.294351002608892e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999953082342472
0,5, only,16.998756408691406,egy,9.388140824739821e-06,unte,9.354783287562896e-06,phal,9.304701052315067e-06, patron,9.216008038492873e-06, Cl,9.183027032122482e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999535533397648
0,6,",",16.99862289428711, election,9.76660885498859e-06, hyper,9.316795512859244e-06,fold,9.246331501344685e-06,abilities,9.228809176420327e-06,pron,9.22685103432741e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999532146039201
0,7, plain,16.998493194580078,",",9.52759637584677e-06, ,9.526415851723868e-06, surge,9.458828571951017e-06, c,9.444203897146508e-06, “,9.443364433536772e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999525995908698
0,8, text,16.99849510192871, spraw,9.567429515300319e-06, AT,9.382602911500726e-06, procedure,9.379315997648519e-06, special,9.330643479188439e-06, unused,9.299908015236724e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999530401000811
0,9,.,16.99846649169922, election,9.958956979971845e-06,oper,9.485204827797133e-06, terms,9.460175533604342e-06,乃,9.436103027837817e-06,vist,9.422722541785333e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999952236837089
0,10, The,16.998876571655273,chter,9.386330930283293e-06, cas,9.257226338377222e-06, ,9.207775292452425e-06, knock,9.140477231994737e-06, Ann,9.12878749659285e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999538794027103
0,11, capital,16.998306274414062, greg,9.524547749606427e-06, bro,9.514500561635941e-06, nat,9.513005352346227e-06,ien,9.505345587967895e-06, mong,9.455256076762453e-06,holm,9.42888709687395e-06, A,9.419337402505334e-06, eas,9.413372936251108e-06, minus,9.384902114106808e-06, step,9.371454325446393e-06, Jul,9.35726347961463e-06, Liv,9.347154446004424e-06, AT,9.307586879003793e-06,jai,9.298424629378133e-06, Jun,9.283350664190948e-06,ected,9.28012468648376e-06, ace,9.261068953492213e-06, Brook,9.248516107618343e-06, Nat,9.22778417589143e-06,P,9.225211215380114e-06,0.9998126329055594
0,12, of,16.997312545776367, Vere,1.094153049052693e-05,術,1.0392144758952782e-05, sectional,1.0250814739265479e-05, Gree,1.0055534403363708e-05,abeth,1.0050572200270835e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999483094034076
0,13, Germany,16.998558044433594,herren,9.44112707657041e-06, dig,9.372650310979225e-06, invis,9.336720722785685e-06, spring,9.301287718699314e-06, v,9.298558325099293e-06,ebb,9.261191735276952e-06,spring,9.251841220248025e-06, disc,9.241615771315992e-06, sir,9.237614904122893e-06, anf,9.235435754817445e-06,VEL,9.221946129400749e-06,пер,9.218834748025984e-06, ac,9.213401426677592e-06, unused,9.192335710395128e-06, earliest,9.190916898660362e-06,Després,9.172907994070556e-06, major,9.166731615550816e-06,ovac,9.16142926143948e-06, squad,9.159591172647197e-06, sob,9.156093256024178e-06,0.9998151677682472
0,14, is,16.998458862304688, Commiss,9.592025890015066e-06,术,9.525474524707533e-06,aly,9.52061964198947e-06,術,9.461706213187426e-06,rim,9.41208145377459e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999524880922763
0,15, called,16.998641967773438,terbury,9.6537560239085e-06, study,9.344201316707768e-06, Dor,9.340844371763524e-06,âtre,9.312137990491465e-06, series,9.30631813389482e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999530427421632
0,16, simply,16.99850845336914, Forbes,9.551221410220023e-06, institutes,9.321828656538855e-06, shades,9.25367021409329e-06,ulle,9.246104127669241e-06,ej,9.245974069926888e-06,cco,9.207985385728534e-06,way,9.204127309203614e-06,aking,9.19829290069174e-06,acent,9.178153959510382e-06,"

",9.138818313658703e-06, patronage,9.138311725109816e-06, anatom,9.133716048381757e-06,entes,9.129801583185326e-06, regime,9.110690371016972e-06,eks,9.107860023505054e-06,aries,9.096886060433462e-06, patron,9.091348147194367e-06, facility,9.081226380658336e-06, hyperbol,9.080948075279593e-06,ext,9.078638868231792e-06,0.9998164043963698
1,0,<s>,16.842329025268555, damal,9.917794523062184e-05, nuov,9.57108786678873e-05, difficol,8.013971819309518e-05,Egy,7.62201743782498e-05,podob,7.516855839639902e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9995735827251337
1,1,Give,16.95852279663086,随着时间的,3.7656311178579926e-05,说实,3.192806616425514e-05,随着时间的推移,2.6906900529866107e-05,事实证明,2.5372710297233425e-05,此之前,2.5196384740411304e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998529396270897
1,2, the,16.886747360229492,随着时间的,8.438649820163846e-05, Identité,6.8907298555132e-05,说实,6.316475628409535e-05,podob,6.261374073801562e-05,从那以后,6.08676127740182e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996600600934471
1,3, city,16.96831512451172,随着时间的,4.498719863477163e-05,随着时间的推移,3.542737249517813e-05,новь,3.2367242965847254e-05,说实,3.1507661333307624e-05,šlo,2.6931806132779457e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998287787184381
1,4, name,16.963748931884766,随着时间的,4.887946124654263e-05,不管怎样,3.4714757930487394e-05,说实,3.335334258736111e-05,随着时间的推移,3.3142925531137735e-05,据我所知,3.040494084416423e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998195045718603
1,5, only,16.962888717651367,随着时间的,3.6131441447651014e-05,随着时间的推移,3.038792056031525e-05,说实,2.9158321922295727e-05,不管怎样,2.730293999775313e-05,новь,2.6440935471327975e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998505784406007
1,6,",",16.869728088378906,随着时间的,7.448270480381325e-05,podob,7.331816595979035e-05,说实,6.4421197748743e-05, damal,6.112620030762628e-05, ursprüng,5.648728983942419e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996701644413406
1,7, plain,16.974468231201172,随着时间的,3.5478307836456224e-05,随着时间的推移,3.0982067983131856e-05,说实,2.9080567401251756e-05,*Zie,2.7249421691522002e-05,此之前,2.249645331175998e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998547131817759
1,8, text,16.96751594543457,随着时间的,4.8481360863661394e-05,новь,3.703169568325393e-05,随着时间的推移,3.610890416894108e-05,说实,2.8686006771749817e-05,事实证明,2.4874061637092382e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998248179708753
1,9,.,16.872764587402344,随着时间的,8.412908209720626e-05,podob,7.439171167789027e-05,说实,6.3207364291884e-05,šlo,5.911085827392526e-05,på,5.892558328923769e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996602354003699
1,10, The,16.89329719543457,随着时间的,9.097601287066936e-05, Identité,7.594622002216056e-05, něm,6.469037907663733e-05,说实,6.174352165544406e-05,随着时间的推移,5.247928493190557e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996541645814432
1,11, capital,16.971965789794922,随着时间的,3.6076311516808346e-05,随着时间的推移,2.8609047149075195e-05,不管怎样,2.509313890186604e-05,事实证明,2.360603684792295e-05,*Zie,2.345742359466385e-05,ərə,2.2793385141994804e-05,说实,2.1753960027126595e-05, regroupant,2.1750405721832067e-05,遗憾的是,2.0832994778174907e-05,！……,1.9827168216579594e-05,即便如此,1.952783713932149e-05,šlo,1.9229679310228676e-05,在他看来,1.9001712644239888e-05,不幸的是,1.8967930373037234e-05,不管怎么说,1.8519029254093766e-05,渐渐地,1.8419632397126406e-05,vět,1.8115582861355506e-05,ovič,1.7890932213049382e-05,Após,1.7860913430922665e-05, Identité,1.7753794963937253e-05,0.9995709130835166
1,12, of,16.946266174316406,随着时间的,7.192851626314223e-05,随着时间的推移,4.579669621307403e-05,说实,4.283295129425824e-05,不管怎样,4.040015846840106e-05,从此以后,3.704608388943598e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997619955938717
