layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass
0,0,Give,17.214290618896484,AttributeName,6.926508831384126e-06,/Dk,6.915928679518402e-06,食べた,6.900693733769003e-06, ATTRIBUTE,6.885391030664323e-06,__;,6.884690719743958e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999654867870049
0,1, the,17.214120864868164,hế,7.446122253895737e-06,pecia,7.295154773601098e-06,ecome,7.275828920683125e-06,YRO,7.199178980954457e-06,urette,7.196194019343238e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999635875210515
0,2, city,17.214223861694336,":"".$",7.001392987149302e-06,ideon,6.981304977671243e-06,摇了,6.966487489989959e-06,توج,6.955061508051585e-06,iéndo,6.950685019546654e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999651450680176
0,3, name,17.214200973510742,essler,6.926232799742138e-06, fieldValue,6.897683306306135e-06, setAddress,6.890453278174391e-06,akeup,6.888747066113865e-06,.vstack,6.8794083745160606e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999655174751751
0,4, only,17.21417236328125,YRO,6.930253675818676e-06,先导,6.928333277755883e-06,eslint,6.90649403622956e-06,i,6.9017264650028665e-06,inery,6.901353117427789e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999654318394278
0,5,",",17.214006423950195,hế,7.992235623532906e-06,YRO,7.533501957368571e-06,aukee,7.48334105082904e-06,STDOUT,7.405522410408594e-06,urette,7.4044255597982556e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999621809733981
0,6, plain,17.214200973510742,ultz,6.97615814715391e-06,ylie,6.963367013668176e-06,很多玩家,6.9627235461666714e-06,IRTUAL,6.927625690877903e-06, #=>,6.923399723746115e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999652467258784
0,7, text,17.21427345275879,.maven,6.917020982655231e-06,IGHL,6.905125246703392e-06,rippling,6.894221314723836e-06, FindObjectOfType,6.888517418701667e-06, WaitForSeconds,6.88808768245508e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999655070273548
0,8,.,17.21401023864746,hế,7.848158020351548e-06,aukee,7.444642506015953e-06,YRO,7.437354724970646e-06,ALTH,7.425705462082988e-06,urette,7.422436738124816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999624217025485
0,9, The,17.21417999267578,STDOUT,7.195833859441336e-06, in,7.13668805474299e-06,.paging,7.017149982857518e-06,_,7.016556992311962e-06, GPLv,7.009408818703378e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999646243622919
