layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass,copy_collapse,entropy_collapse,is_answer
0,16,⟨NEXT⟩,1.672130383667536e-05, simply,0.9999992847442627,simply,7.727312549832277e-07, Simply,3.093549288263331e-12,Simply,3.085040686454099e-12, simplemente,1.8352142736989752e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,True,True,False
1,16,⟨NEXT⟩,6.94161528258519e-08, simply,1.0,simply,2.4255215613777636e-09,Simply,1.3801348378280676e-16, Simply,2.0945620971245226e-17, simplemente,7.031299355197127e-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,True,True,False
2,16,⟨NEXT⟩,3.137543535558507e-05, simply,0.9999984502792358,simply,1.5066898413351737e-06,Simply,5.4036341509211896e-14, Simply,4.934365870274456e-15, simplemente,1.2947876222868442e-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3030863872139946e-08,True,True,False
3,16,⟨NEXT⟩,0.00042995833791792393, simply,0.999974250793457,simply,2.576304723334033e-05,Simply,1.369097724079893e-09, Simply,9.931155897646704e-10, simplemente,2.39958352260582e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,True,True,False
4,16,⟨NEXT⟩,0.0021155732683837414, simply,0.9998505115509033,simply,0.00014938444655854255, Simply,3.106196544422346e-08,Simply,2.6585535550793793e-08, simplemente,1.788286099063674e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.635324890589487e-08,True,True,False
5,16,⟨NEXT⟩,0.002333007985725999, simply,0.9998338222503662,simply,0.00016526246326975524,Simply,4.4745229388354346e-07, Simply,3.578031169126916e-07, simplemente,6.833617872958886e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1003088484784485e-07,True,True,False
6,16,⟨NEXT⟩,0.12790167331695557, simply,0.9832905530929565,simply,0.015884622931480408,Simply,0.0006487155333161354, Simply,0.00017617098637856543, simplemente,1.1740821648231758e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,True,True,False
7,16,⟨NEXT⟩,0.03356916084885597, simply,0.9967670440673828,simply,0.0028168538119643927,Simply,0.0002844007103703916, Simply,0.0001317972782999277, просто,9.872265227528487e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,True,True,False
8,16,⟨NEXT⟩,0.09841673076152802, simply,0.9896490573883057,simply,0.0047278148122131824,Simply,0.00391019182279706, Simply,0.0017110930057242513, simplemente,1.0066888762594317e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.362820835827733e-07,True,True,False
9,16,⟨NEXT⟩,0.10208651423454285, simply,0.9887562394142151,simply,0.007158070337027311,Simply,0.003498840145766735, Simply,0.000574213161598891, simple,1.0734007446444593e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9029339455300942e-06,True,True,False
10,16,⟨NEXT⟩,0.281390517950058, simply,0.9624081254005432,simply,0.01991092599928379,Simply,0.014868571422994137, Simply,0.002608797512948513, simple,7.297174306586385e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00013060792116448283,True,True,False
11,16,⟨NEXT⟩,0.3330455720424652, simply,0.9525399804115295,simply,0.034326598048210144,Simply,0.006783575285226107, Simply,0.005846056621521711, simplemente,0.00014730759721715003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003564820362953469,True,True,False
12,16,⟨NEXT⟩,0.10932997614145279, simply,0.9880897402763367,simply,0.006146637722849846,Simply,0.004892737604677677, Simply,0.0007795339333824813, simple,2.2614220142713748e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.873624261061195e-05,True,True,False
13,16,⟨NEXT⟩,0.1374000757932663, simply,0.984093427658081,simply,0.010578230023384094,Simply,0.004141182638704777, Simply,0.001066922559402883, simple,3.729508534888737e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.294203507830389e-05,True,True,False
14,16,⟨NEXT⟩,0.16577200591564178, simply,0.9843016266822815,simply,0.0045202989131212234,"

",0.0027312820311635733,Simply,0.002408197382465005,simple,0.002109512686729431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003929082304239273,True,True,False
15,16,⟨NEXT⟩,0.734873354434967, simply,0.912857174873352,SIMPLE,0.019211605191230774,simply,0.014930512756109238,simple,0.01276455819606781,Simply,0.009381561540067196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03085458744317293,True,True,False
16,16,⟨NEXT⟩,3.5682737827301025, simply,0.3643357753753662,"

",0.1587938517332077,a,0.14831112325191498,"
",0.08310792595148087,by,0.02436964400112629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22108167968690395,False,False,False
17,16,⟨NEXT⟩,3.099445104598999, simply,0.6676433086395264,simply,0.03599994629621506,Simply,0.024104813113808632,a,0.022289568558335304,app,0.021082516759634018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22887984663248062,False,False,False
18,16,⟨NEXT⟩,3.3367161750793457, simply,0.6019929647445679,Simply,0.046933695673942566,simple,0.03581228852272034,simply,0.03020290471613407,a,0.02876347117125988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2562946751713753,False,False,False
19,16,⟨NEXT⟩,1.3823356628417969, simply,0.8061268329620361,Simply,0.05922716110944748, simple,0.039834439754486084,SIMPLE,0.03896544873714447,simple,0.01363905519247055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04220706224441528,False,False,False
20,16,⟨NEXT⟩,3.163440227508545, simply,0.5757956504821777,Simply,0.0921124517917633,a,0.07946847379207611,SIMPLE,0.03879038617014885,simply,0.02929823100566864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18453480675816536,False,False,False
21,16,⟨NEXT⟩,1.86649489402771, simply,0.7931571006774902,Simply,0.041887324303388596,a,0.03454558923840523,i,0.019308220595121384, ,0.011693662963807583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09940810222178698,False,False,False
22,16,⟨NEXT⟩,2.1901021003723145, simply,0.7171284556388855,a,0.060599736869335175, a,0.03523704782128334, the,0.03184106573462486, ,0.027054209262132645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12813948467373848,False,False,False
23,16,⟨NEXT⟩,3.1811110973358154, simply,0.44955798983573914, ,0.11213672161102295, the,0.10371604561805725, “,0.10204771906137466, a,0.03522305190563202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19731847196817398,False,False,False
24,16,⟨NEXT⟩,1.1070388555526733, simply,0.8253099322319031, the,0.06945416331291199, ,0.059967294335365295, a,0.014928862452507019, “,0.005492932628840208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024846815038472414,False,False,False
25,16,⟨NEXT⟩,2.1188793182373047, the,0.6022877097129822, simply,0.18199042975902557, ,0.06773895025253296," """,0.03337904438376427, a,0.025970548391342163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08863331750035286,False,False,False
26,16,⟨NEXT⟩,2.3713271617889404, the,0.4617633521556854, ,0.17236678302288055," """,0.13723838329315186, a,0.11984856426715851, “,0.048267725855112076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06051519140601158,False,False,False
27,16,⟨NEXT⟩,1.8424599170684814, the,0.6642924547195435," """,0.10656295716762543,",",0.06757062673568726, ,0.046647947281599045,-,0.03667030483484268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07825570926070213,False,False,False
28,16,⟨NEXT⟩,1.226663589477539," """,0.7381777763366699, “,0.18498267233371735, simply,0.035990990698337555, ',0.015193804167211056, the,0.011114625260233879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014540131203830242,False,False,False
