prompt_id,prompt_variant,layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass
pos,orig,0,0,<bos>,8.076832263949095e-32,<bos>,1.0, 剪影,3.0471832665249886e-34, 收納,1.570783024878831e-34, стоковая,4.09169666698009e-35, Савезне,2.275253402892707e-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
pos,orig,0,1,Give,0.0006519429734908044,Give,0.9999669790267944, Give,1.750585943227634e-05,<unused43>,1.1843378615594702e-06,<unused41>,8.239422299993748e-07,<pad>,7.409871045638283e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2765846577167395e-05
pos,orig,0,2, the,5.653619220556262e-20, the,1.0, a,8.066373114294283e-22, The,1.5868284700357015e-25, an,1.5043509669830653e-26, ,2.7730945268146824e-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
pos,orig,0,3, city,6.153619280802047e-11, city,1.0, City,1.5659065840875619e-12,city,2.6287561638918804e-15,City,9.288001643954734e-19, CITY,1.0859886241146776e-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
pos,orig,0,4, name,1.3512096823375952e-11, name,1.0, Name,3.2230842344008193e-13, names,1.713934534594108e-15,name,1.071865772883456e-15,Name,1.3367777658724794e-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
pos,orig,0,5, only,3.1150768271294427e-13, only,1.0,only,6.6128785458055735e-15, Only,2.675980204915505e-19,Only,5.7783202521903255e-21, ONLY,1.94195855510721e-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
pos,orig,0,6,",",6.102166806522171e-15,",",1.0,.,6.800284903022943e-17, (,3.6400132486232736e-17,-,5.014958653073204e-18, and,1.897431970417519e-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
pos,orig,0,7, plain,1.977833221644687e-07, plain,1.0, Plain,7.09850267455181e-09,plain,1.719249603793216e-10,Plain,1.2962522765239126e-12, plains,3.0506778439609034e-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
pos,orig,0,8, text,7.267692003765092e-10, text,1.0, Text,2.0457201904688915e-11, texts,7.505216744309665e-15,text,1.9557839874358065e-16,Text,3.8852363178886e-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
pos,orig,0,9,.,8.373189193053038e-15,.,1.0,",",1.5603757727676983e-16, ,1.2297235081585896e-18,-,1.1464820483706939e-18, (,3.31574598909451e-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
pos,orig,0,10, The,2.1071599326516477e-12, The,1.0,The,4.756615836886552e-14, the,3.628977004890591e-17, A,6.148884306540496e-19, ,3.523954522480982e-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
pos,orig,0,11, capital,6.628884663406609e-10, capital,1.0, Capital,1.024103111341157e-11,capital,7.827726314357797e-12,Capital,4.605908516185867e-15, CAPITAL,1.7252416700512342e-17, capitals,4.7364285134397505e-21, capitol,2.976863182426287e-22,CAPITAL,1.299507687452216e-23, capitalized,1.9737403386623526e-25, capitalize,5.169591941931907e-26, capitalization,1.291558280027224e-27, Capitol,4.552076558112969e-29, Capitals,9.714880397455544e-30, capitale,6.439540866685931e-30, capita,8.024872357357438e-31, capi,4.829211148580628e-32, capitalist,2.4607493111582553e-32,kapital,1.1024395809705901e-32, kapital,8.479891350557207e-33,capitalize,6.83586111454448e-33,0.0
pos,orig,0,12, of,3.5708119141471283e-16, of,1.0, in,3.752178526095158e-18, and,1.366382327351205e-18, for,2.9444879431351046e-19, to,2.165934306113743e-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
pos,orig,0,13, Germany,4.0220311348093674e-05, Germany,0.9999979734420776,Germany,1.967013076864532e-06, germany,3.396742609407255e-10, GERMANY,2.255425663941213e-12,germany,2.775043751377087e-14, German,7.193657697518799e-15, Germans,5.379257220325569e-15, Italy,2.154101981898383e-15, France,3.0012444611006754e-16, Sweden,4.0531370250343075e-17, Switzerland,2.509230219739193e-17, Deutschland,2.1214964213582293e-17, Austria,1.3302346379802142e-17, Spain,1.1958584857264848e-17, Denmark,9.731981738755834e-18, Belgium,9.001230533291788e-18, Alemania,4.473099103569317e-18, Japan,3.470680691837237e-18, Poland,3.0042883451341664e-18,GERMANY,2.9016548766558838e-18,5.920287304839178e-08
pos,orig,0,14, is,1.0782631190849503e-18, is,1.0, has,1.6184386451839527e-20, was,1.5879388844509565e-22, are,1.473406157551399e-23,is,1.0227225859922163e-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
pos,orig,0,15, called,1.994665987936628e-09, called,1.0,called,5.083527002125443e-11, Called,6.902096949534808e-12,Called,7.84526235614964e-15, CALLED,1.2936372096829978e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
pos,orig,0,16, simply,1.6721300198696554e-05, simply,0.9999992847442627,simply,7.727312549832277e-07, Simply,3.093549288263331e-12,Simply,3.085040686454099e-12, simplemente,1.8352142736989752e-16, simplesmente,1.994469934283156e-17, semplicemente,4.926159883737447e-19, simplement,1.2184684493044926e-19, просто,2.3646953059938653e-21, einfach,1.2433190026622778e-22, Simplemente,9.17335738878392e-24, merely,3.380977375964924e-24, Просто,2.8542193183041394e-27,Просто,1.0616606003447029e-27, פשוט,1.3299600712638416e-28, jednod,3.3997869547815635e-29, gewoon,7.8941865378059e-31,Einfach,6.295954795970277e-31, Einfach,4.657636345782912e-31, simpel,6.372280819663519e-32,0.0
pos,orig,1,0,<bos>,9.000851605378557e-06,<bos>,0.9999998807907104,ⓧ,1.1042258080129486e-10, Савезне,6.084324016830678e-11, ویکی‌پدی,5.619025036929237e-11,The,3.608392057374843e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1894574958315474e-07
pos,orig,1,1,Give,0.003184074303135276,Give,0.9997640252113342, Give,0.00023601135762874037,give,3.9711570837264176e-11, give,3.1321520796098474e-15,GIVE,3.204270218361977e-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
pos,orig,1,2, the,4.459971515637529e-15, the,1.0, The,8.242639075387167e-17, a,6.622659757198485e-19,the,2.2391257024048785e-19,The,2.8731960249490295e-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
pos,orig,1,3, city,1.6930042445883358e-15, city,1.0,city,3.0553924319173356e-17, City,2.70098354838751e-19, CITY,8.863437163187635e-22,City,7.132466310805329e-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
pos,orig,1,4, name,1.2861521912863483e-15, name,1.0, Name,2.304484323850475e-17, names,1.552216310177062e-19,name,4.3527148561335296e-20, NAME,5.388858411592362e-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
pos,orig,1,5, only,2.5444469935968078e-14, only,1.0,only,5.006056833105929e-16, Only,7.8868531109439685e-22,Only,5.80431939106508e-22, ONLY,1.787899469719376e-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
pos,orig,1,6,",",9.004567975452868e-16,",",1.0, and,1.4193888261456696e-17,.,1.009915976804261e-18," ,",4.719587552376697e-19, (,1.9330175647128858e-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
pos,orig,1,7, plain,3.732327489604226e-13, plain,1.0, Plain,7.455109663281889e-15,plain,4.559110369366541e-16,Plain,2.1312577316127838e-18,PLAIN,6.347601783698556e-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
pos,orig,1,8, text,5.882837619819448e-13, text,1.0, Text,1.2744809243061313e-14, texts,2.883419783449729e-19,text,3.821409640107331e-20,Text,4.537290031625794e-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
pos,orig,1,9,.,5.251336518408145e-11,.,1.0,",",5.490143387652802e-13,"

",3.6868218981217504e-13, .,1.8163508891388958e-13,"
",1.2221017112786642e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
