prompt_id,prompt_variant,layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass
pos,orig,0,0,<|begin_of_text|>,16.82274627685547,orest,0.00010454998846398667,.ie,7.181813271017745e-05,혜,6.957806181162596e-05,tera,5.852672620676458e-05,wu,5.2854182285955176e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996426729085215
pos,orig,0,1,Give,16.86250877380371,orest,6.355154619086534e-05,ael,4.303880996303633e-05, Doyle,4.104478648514487e-05,ossa,3.955993088311516e-05,_fast,3.940917304134928e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997733957534365
pos,orig,0,2, the,16.84027671813965,ions,5.957037501502782e-05,_fast,5.9041412896476686e-05, Ups,5.3437841415870935e-05,qu,4.847278614761308e-05,byn,4.6598728658864275e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997328788558661
pos,orig,0,3, city,16.86118507385254,orest,7.025949889793992e-05,ael,5.367376797948964e-05, sens,4.168765735812485e-05,_fast,4.149639426032081e-05, Doyle,4.085768523509614e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999752024996269
pos,orig,0,4, name,16.86311149597168,orest,6.080256207496859e-05, Doyle,4.3958840251434594e-05,ael,4.341846943134442e-05,_fast,4.321819869801402e-05, Ups,4.230353079037741e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997662983987539
pos,orig,0,5, only,16.862051010131836,orest,5.879796663066372e-05, Ups,4.704704770119861e-05,ael,4.6071021643001586e-05,_fast,4.304815229261294e-05, Doyle,4.2255724110873416e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997627800876216
pos,orig,0,6,",",16.81136703491211, ISI,6.190202839206904e-05, bouquet,5.807230991194956e-05, Trey,5.769548442913219e-05,orest,5.768010669271462e-05, Ups,5.716898522223346e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997074810853519
pos,orig,0,7, plain,16.861896514892578,orest,6.667186971753836e-05,ael,4.8377845814684406e-05, Ups,4.653840733226389e-05, Doyle,4.51113264716696e-05,ossa,4.1215789678972214e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997520847609849
pos,orig,0,8, text,16.86147117614746,orest,6.885645416332409e-05,ael,4.9740578106138855e-05, Doyle,4.538522262009792e-05,_fast,4.159594027441926e-05,eck,3.985257717431523e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997545692276617
pos,orig,0,9,.,16.8248348236084, Ups,6.061158637749031e-05, bouquet,5.575275281444192e-05,qu,5.241441249381751e-05,arrera,5.222402614890598e-05,ions,5.1872102631023154e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997271251195343
pos,orig,0,10, The,16.841903686523438,ions,5.89269220654387e-05,_fast,5.85688030696474e-05, sens,4.901263673673384e-05,byn,4.894092126050964e-05, Ups,4.798106965608895e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997365696472116
pos,orig,0,11, capital,16.86170768737793,orest,6.125109212007374e-05,ael,5.082984716864303e-05,_fast,4.1838087781798095e-05, Doyle,4.101066224393435e-05,ossa,4.0085637010633945e-05,eck,3.814930096268654e-05, sens,3.744579225894995e-05, Ups,3.674593608593568e-05,博,3.4610220609465614e-05, Manson,3.449152427492663e-05,stro,3.4151664294768125e-05, delic,3.38685313181486e-05, Piet,3.3197589800693095e-05,ویه,3.291054235887714e-05,ophon,3.2640298741171136e-05,ansa,3.2391410059062764e-05, stk,3.234472751501016e-05, Trey,3.225922046112828e-05, CITY,3.2030675356509164e-05,혜,3.201521030860022e-05,0.999255732029269
pos,orig,0,12, of,16.8585147857666,orest,7.026019011391327e-05,_fast,4.982475365977734e-05, Ups,4.915522367809899e-05, Doyle,4.325397458160296e-05,etter,4.055747194797732e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997469483860186
pos,orig,0,13, Germany,16.861181259155273,orest,6.698180368402973e-05, Doyle,4.715432078228332e-05,ael,4.663966319640167e-05,_fast,3.8691960071446374e-05, sens,3.850364009849727e-05, delic,3.663512325147167e-05,ossa,3.6612109397538006e-05,stro,3.552907583070919e-05,eck,3.440434375079349e-05, Piet,3.389696576050483e-05,dlg,3.359205220476724e-05, Ups,3.351648774696514e-05,wu,3.315966750960797e-05,혜,3.3089185308199376e-05,etter,3.296845534350723e-05, Haley,3.294322596048005e-05, Fay,3.253220711485483e-05,ophon,3.201229628757574e-05,lek,3.1971107091521844e-05,uter,3.197067053406499e-05,0.9992571956390748
pos,orig,0,14, is,16.857460021972656,orest,6.857358675915748e-05,_fast,5.09178098582197e-05, Ups,4.8171561502385885e-05, Doyle,4.360803359304555e-05, sens,3.970914985984564e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997490198584273
pos,orig,0,15, called,16.861997604370117,orest,6.600176857318729e-05,ael,4.868826727033593e-05, Ups,4.590443859342486e-05,_fast,4.348475704318844e-05,eck,4.327508213464171e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997526456863852
pos,orig,0,16, simply,16.85923194885254,orest,6.210063293110579e-05, Ups,4.810904647456482e-05,ael,4.3835440010298043e-05, Doyle,3.920350718544796e-05,_fast,3.889323124894872e-05,eck,3.756006481125951e-05, Manson,3.618654591264203e-05, sens,3.617189940996468e-05,.sdk,3.56946220563259e-05, Fay,3.543683124007657e-05,arella,3.542096237652004e-05, delic,3.5121251130476594e-05,qu,3.464885230641812e-05,ویه,3.4498876630095765e-05,stro,3.4411263186484575e-05, ISI,3.395985550014302e-05,�,3.357612149557099e-05, Trey,3.354492218932137e-05,ossa,3.334614302730188e-05, CITY,3.236726115574129e-05,0.9992459126697213
pos,orig,1,0,<|begin_of_text|>,16.872196197509766,orest,6.562349881278351e-05, Doyle,4.609076859196648e-05,_fast,3.8801674236310646e-05,wu,3.743223351193592e-05, delic,3.617588663473725e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997758759382123
pos,orig,1,1,Give,16.69009780883789,oles,0.00013003728236071765,olec,0.00012665355461649597,stro,0.00012009253987343982,_HW,0.0001011854037642479, intern,0.00010099673818331212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9994210344812018
pos,orig,1,2, the,16.699382781982422,ゝ,0.00015971179527696222,upo,0.00014627834025304765,orest,0.00013234531797934324,omanip,0.00011302074562991038,QM,0.00010358147119404748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9993450623296667
pos,orig,1,3, city,16.677961349487305, intern,0.00016845541540533304,ores,0.00015115457063075155, sens,0.00010884615767281502,omanip,9.818212856771424e-05,.gc,9.503548062639311e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999378326247097
pos,orig,1,4, name,16.6689453125,/releases,0.00015314026677515358,lap,0.0001522040693089366, intern,0.00013769390352535993,intern,0.00013407280493993312,ores,0.00013105162361171097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9992918373318389
pos,orig,1,5, only,16.612911224365234, Ups,0.00016177704674191773, Hlav,0.00015131350664887577,altern,0.0001462872896809131,ores,0.00014376660692505538, intern,0.00012644972593989223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9992704058240633
pos,orig,1,6,",",16.714359283447266,orest,0.0001289250358240679,ores,0.0001246145402546972, Hob,9.806778689380735e-05, sens,9.774481441127136e-05, Rag,9.715310443425551e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9994534947181819
pos,orig,1,7, plain,16.69305992126465,ores,0.0001820157776819542, ware,0.00016013631829991937, intern,0.00013561513333115727,556,0.00011454709601821378,vie,9.50075700529851e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9993126781046158
pos,orig,1,8, text,16.661298751831055, intern,0.0003437089326325804,intern,0.0003239693178329617, Intern,0.00029447421547956765,ores,0.00020085237338207662,Intern,0.00017943301645573229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9986575621442171
pos,orig,1,9,.,16.72353744506836,ores,0.00011099474795628339,aley,9.81809789664112e-05,lou,8.753559086471796e-05,orest,8.550990605726838e-05, Sl,8.508151222486049e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9995326972639305
pos,orig,1,10, The,16.66090202331543,aters,0.00019173635519109666,onus,0.00015080753655638546,OLDER,0.00012071936362190172,.Std,0.00011565668683033437,.voice,0.0001130529708461836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9993080270869541
pos,orig,1,11, capital,16.69522476196289,ores,0.00018240111239720136, Aires,0.0001486269902670756,ASM,0.00011258796439506114, Trev,0.00010294577805325389,Enlarge,0.00010001230839407071,424,9.463373135076836e-05, Cros,9.197650797432289e-05,ServerError,9.08598376554437e-05,_google,8.522377902409062e-05,bane,8.478339441353455e-05,htub,8.148445340339094e-05,.criteria,8.01086935098283e-05,omanip,7.984269905136898e-05,803,7.956095942063257e-05, pou,7.838055171305314e-05,gles,7.770378579152748e-05,ANNEL,7.707036274950951e-05,QM,7.646183803444728e-05, Freem,7.623733108630404e-05,xab,7.526039553340524e-05,0.9981238375257817
pos,orig,1,12, of,16.629182815551758,upo,0.00016139457875397056, intern,0.00014261547767091542,mant,0.00013934235903434455, Rag,0.00013404927449300885,ores,0.00013327928900253028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9992893190210452
pos,orig,1,13, Germany,16.702104568481445,ores,0.00017405695689376444, VP,0.00013422292249742895, Garrett,0.0001214129661093466, Ter,9.990912076318637e-05, Mason,9.582695929566398e-05,xa,9.344321733806282e-05, repe,8.845030970405787e-05, Nash,8.303877984872088e-05,.gc,8.289783727377653e-05,altern,8.065377187449485e-05,ncia,7.764329347992316e-05, Maj,7.527547131758183e-05,.Wrap,7.511013245675713e-05, singular,7.470734271919355e-05, visuals,7.387675577774644e-05, Sax,7.379882299574092e-05, Fra,7.320672739297152e-05, Sto,7.218511746032164e-05,.criteria,7.081077637849376e-05, intern,6.9990630436223e-05,0.9982094820879865
pos,orig,1,14, is,16.644166946411133,逆,0.00016819318989291787, Rag,0.0001342694740742445,arrow,0.00012074688129359856,�,0.00011895356874447316,سانی,0.00011585417087189853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9993419827151229
pos,orig,1,15, called,16.66625213623047,ores,0.00018550435197539628,.gc,0.00013436436711344868,omanip,0.00012201676872791722, intern,0.00011028060544049367,stro,0.00010886261588893831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9993389712908538
pos,orig,1,16, simply,16.663393020629883,ores,0.00018579313473310322, Gast,0.00016508066619280726,{/,0.00011646926577668637, Intern,0.00011461317626526579, intern,0.00010804620251292363,556,0.00010167925211135298,isman,9.986582153942436e-05, wäh,9.568011591909453e-05, Aires,9.528762893751264e-05, prote,9.450651123188436e-05,ANNEL,9.296631469624117e-05, ware,9.263287211069837e-05,orest,9.244806278729811e-05, gast,9.242443775292486e-05,اج,9.12331961444579e-05, Rag,9.108549420488998e-05,tat,9.023462189361453e-05,ihan,8.766824612393975e-05,igan,8.686212095199153e-05,Intern,8.677046571392566e-05,0.9979186523924
pos,orig,2,0,<|begin_of_text|>,16.87230682373047,orest,6.597929314011708e-05, Doyle,4.65115335828159e-05,_fast,3.828179615084082e-05,wu,3.7620149669237435e-05, delic,3.664972973638214e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997749574977206
pos,orig,2,1,Give,16.74747657775879,olec,9.802418935578316e-05, Trey,9.109958773478866e-05,icle,9.089616651181132e-05, Ups,7.536096381954849e-05,awah,6.930135714355856e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9995753177354345
pos,orig,2,2, the,16.739397048950195,orest,0.0001216899327118881,icle,8.982825238490477e-05,upo,8.650401287013665e-05, Willi,8.076582162175328e-05,ei,7.881434430601075e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9995423976361053
pos,orig,2,3, city,16.746477127075195,orest,8.5848179878667e-05,spb,8.144885214278474e-05,�,7.932729931781068e-05, Trey,7.866441592341289e-05,blr,7.12561231921427e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996034551295452
