prompt_id,prompt_variant,layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass
pos,orig,0,0,Give,16.967931747436523,繁殖,7.586169522255659e-05,iants,7.542823732364923e-05,fur,7.436598389176652e-05,strup,7.070381252560765e-05, luk,6.961759208934382e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996340226789471
pos,orig,0,1, the,16.968008041381836,iants,7.558393554063514e-05,繁殖,7.432192069245502e-05,fur,7.347760401898995e-05,清洗,6.817565008532256e-05,strup,6.813376967329532e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996403071199893
pos,orig,0,2, city,16.967695236206055,iants,7.55711953388527e-05,繁殖,7.40211908123456e-05,fur,7.187300070654601e-05,清洗,6.929262599442154e-05,strup,6.89825537847355e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996402594333631
pos,orig,0,3, name,16.96778678894043,fur,7.571684545837343e-05,iants,7.424756768159568e-05,繁殖,7.317341805901378e-05,清洗,6.952977855689824e-05,strup,6.882543675601482e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996385069534881
pos,orig,0,4, only,16.967750549316406,繁殖,7.505747635150328e-05,iants,7.460175402229652e-05,fur,7.227154856082052e-05,清洗,6.861030851723626e-05,strup,6.836443935753778e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996410944731906
pos,orig,0,5,",",16.967975616455078,iants,7.569254375994205e-05,繁殖,7.47281956137158e-05,fur,7.27267688489519e-05,strup,6.905265763634816e-05, luk,6.855363608337939e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996392461980577
pos,orig,0,6, plain,16.96787452697754,繁殖,7.552725583082065e-05,iants,7.524028478655964e-05,fur,7.001699123065919e-05,strup,6.857757398393005e-05,清洗,6.8573237513192e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996420646566548
pos,orig,0,7, text,16.96772003173828,fur,7.363607437582687e-05,繁殖,7.344846380874515e-05,iants,7.34395143808797e-05,strup,6.928556103957817e-05,清洗,6.799706898164004e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996421933174133
pos,orig,0,8,.,16.96773910522461,iants,7.563173858216032e-05,繁殖,7.44374337955378e-05,fur,7.262357394210994e-05,strup,6.865696923341602e-05, round,6.832964572822675e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996403206387185
pos,orig,0,9, The,16.967742919921875,iants,7.561051461379975e-05,繁殖,7.418536551995203e-05,fur,7.328920037252828e-05,清洗,6.897664570715278e-05, luk,6.762821431038901e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996403100594762
pos,orig,0,10, capital,16.9676456451416,iants,7.6198426540941e-05,繁殖,7.557035860372707e-05,fur,7.314584945561364e-05,清洗,6.918529834365472e-05,strup,6.773023778805509e-05, round,6.663850945187733e-05, luk,6.603480142075568e-05,round,6.55276671750471e-05,孩子的,6.430997746065259e-05, knockout,6.138044409453869e-05,操作,5.946512828813866e-05,截,5.9412592236185446e-05,GetValue,5.759753912570886e-05, Midwest,5.644252451020293e-05, cod,5.62422901566606e-05,文化传播,5.5722710385452956e-05,热带,5.523531945073046e-05,濯,5.4609510698355734e-05,组合,5.2883930038660765e-05,手,5.243694249656983e-05,0.9987542299422785
pos,orig,0,11, of,16.967618942260742,iants,7.510386785725132e-05,繁殖,7.380377064691857e-05,fur,7.29533567209728e-05,strup,7.010866102064028e-05, round,6.911714444868267e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996389131993055
pos,orig,0,12, Germany,16.967477798461914,iants,7.612792978761718e-05,繁殖,7.480048952857032e-05,fur,7.446827657986432e-05,strup,7.099469075910747e-05,清洗,7.024492515483871e-05, luk,6.784050492569804e-05, round,6.690247391816229e-05,round,6.563565693795681e-05,孩子的,6.3145394960884e-05, knockout,6.161278724903241e-05,截,6.057473729015328e-05,GetValue,5.878730371478014e-05,操作,5.862281614099629e-05, cod,5.654468623106368e-05,热带,5.553740629693493e-05, Midwest,5.5147222155937925e-05,文化传播,5.436636638478376e-05,asy,5.374569445848465e-05,到,5.348281774786301e-05,组合,5.283310019876808e-05,0.9987485847195785
