prompt_id,prompt_variant,layer,p_top1_raw,top1_token_id_raw,top1_token_str_raw,p_answer_raw,answer_rank_raw,p_top1_norm,top1_token_id_norm,top1_token_str_norm,p_answer_norm,answer_rank_norm,kl_norm_vs_raw_bits,norm_only_semantics
pos,orig,0,8.097964382614009e-06,10969,apon,7.865100997150876e-06,15299,9.172249519906472e-06,54826, winding,7.510596788051771e-06,115765,0.0005976704049410775,False
pos,orig,1,8.175576112989802e-06,10969,apon,7.927695151010994e-06,4993,1.3177843356970698e-05,58871,cepts,9.192486686515622e-06,7516,0.007621318463587634,False
pos,orig,2,8.19900378701277e-06,16080,uni,7.952926353027578e-06,3604,1.195540426124353e-05,116391,улю,8.942381100496277e-06,6551,0.0045076370632105576,False
pos,orig,3,8.303175491164438e-06,5700,alls,8.000100933713838e-06,1915,1.2383183275233023e-05,39068,zier,9.261398190574255e-06,3648,0.004921453521668442,False
pos,orig,4,8.335050551977474e-06,5700,alls,8.04508545115823e-06,2005,1.4593974810850341e-05,5700,alls,8.979392987384927e-06,12970,0.008130843267250672,False
pos,orig,5,8.412611350649968e-06,80071, �,8.030816388782114e-06,3439,1.512286235083593e-05,5700,alls,9.79122251010267e-06,4048,0.009220280805285731,False
pos,orig,6,8.431077731074765e-06,28678, backs,8.069097020779736e-06,2672,1.4689461750094779e-05,5700,alls,9.950924322765786e-06,3675,0.009803707091470304,False
pos,orig,7,8.478085874230601e-06,124209, поба,8.037352017709054e-06,5933,1.5547908333246596e-05,80306,NodeId,9.764133210410364e-06,6852,0.012345023511703654,False
pos,orig,8,8.635375706944615e-06,8843,inds,7.883751095505431e-06,35751,1.3559681065089535e-05,8843,inds,8.31869419926079e-06,33123,0.0065148660638400645,False
pos,orig,9,8.782973054621834e-06,8843,inds,7.977548193593975e-06,19792,1.3464275980368257e-05,80306,NodeId,8.60668660607189e-06,21575,0.006005225037526249,False
pos,orig,10,8.830220394884236e-06,8843,inds,7.960831680975389e-06,25806,1.610312392585911e-05,8843,inds,8.436813004664145e-06,34376,0.011477083504606373,False
pos,orig,11,8.998090379463974e-06,8843,inds,7.952250598464161e-06,30316,1.4594209460483398e-05,8843,inds,8.381873158214148e-06,34013,0.007987568282937355,False
pos,orig,12,9.185752787743695e-06,7792,lik,8.008870281628333e-06,26048,1.4445015949604567e-05,24235,lia,8.561233698856086e-06,27354,0.007161185599276489,False
pos,orig,13,9.493448487774003e-06,90774,xes,7.898736839706544e-06,46584,1.4285424185800366e-05,6910,eds,8.17611362435855e-06,43145,0.006995843762881567,False
pos,orig,14,9.818978469411377e-06,60086,ouns,7.990120138856582e-06,36904,1.6737112673581578e-05,100229,idders,8.161266123352107e-06,45619,0.009593142551392451,False
pos,orig,15,1.0087876034958754e-05,38071,/plain,8.367808732145932e-06,10339,1.5133846318349242e-05,65815, Kok,9.184886039292905e-06,14437,0.007124473349582348,False
pos,orig,16,1.0530007784836926e-05,38071,/plain,8.62632441567257e-06,4924,1.5635583622497506e-05,38071,/plain,9.674986358731985e-06,8205,0.006936562149297832,False
pos,orig,17,1.0481625395186711e-05,60086,ouns,9.016615877044387e-06,1156,1.6829126252559945e-05,10184, nut,1.1240885214647278e-05,1608,0.009296070737930606,False
pos,orig,18,1.122829235100653e-05,10184, nut,8.739723853068426e-06,5826,1.9893999706255272e-05,10184, nut,1.0588081750029232e-05,4919,0.010472165362361934,False
pos,orig,19,1.1182983143953606e-05,16820,yt,9.062910066859331e-06,2920,1.701207111182157e-05,10184, nut,1.093692935683066e-05,2389,0.007326564385069058,False
pos,orig,20,1.1686609468597453e-05,10184, nut,8.673773663758766e-06,10392,1.865505510068033e-05,10184, nut,1.0137263416254427e-05,6991,0.007392519731674945,False
pos,orig,21,1.2162793609604705e-05,88069, burge,8.770774002186954e-06,8930,2.1775655113742687e-05,88069, burge,1.0511585060157813e-05,7500,0.011683216804195587,False
pos,orig,22,1.2165322914370336e-05,5042, simply,8.634425284981262e-06,14354,2.144409518223256e-05,5042, simply,1.0117674719367642e-05,10765,0.010580056931681918,False
pos,orig,23,1.2192422218504362e-05,5042, simply,8.153004273481201e-06,37492,2.2430009266827255e-05,7951, bur,8.80960033100564e-06,31268,0.011324795554496276,False
pos,orig,24,1.2764966413669754e-05,59399,�,8.607473318988923e-06,17505,1.7653146642260253e-05,7951, bur,9.363684512209147e-06,13999,0.004358781376238187,False
pos,orig,25,1.3816500540997367e-05,59399,�,9.100548595597502e-06,7801,2.4044928068178706e-05,59399,�,1.0591597856546286e-05,7267,0.008476957008497614,False
pos,orig,26,1.3456505257636309e-05,59399,�,9.741819667397067e-06,1726,2.342132938792929e-05,59399,�,1.2017943845421541e-05,1837,0.00821619570400641,False
pos,orig,27,1.319019247603137e-05,4458,za,9.815842531679664e-06,1732,2.0945615688106045e-05,4458,za,1.198865174956154e-05,1984,0.008996428590007039,False
pos,orig,28,1.3961794138594996e-05,38071,/plain,9.8611071734922e-06,2103,2.5289600671385415e-05,38071,/plain,1.2283783689781558e-05,2135,0.009798366223992336,False
pos,orig,29,1.566197352076415e-05,14733, plain,9.10652943275636e-06,9763,2.9327780794119462e-05,14733, plain,1.0713223673519678e-05,7754,0.009257542593293958,False
pos,orig,30,1.4272913176682778e-05,14733, plain,8.680576684128027e-06,19895,2.2532247385242954e-05,16284,zed,9.844790838542394e-06,13326,0.007186633657146346,False
pos,orig,31,1.522541424492374e-05,5042, simply,1.0015033694799058e-05,2069,2.679362296476029e-05,5042, simply,1.31791266539949e-05,1605,0.01347450210425717,False
pos,orig,32,1.4772057511436287e-05,5042, simply,9.697007953946013e-06,4028,2.0380402929731645e-05,5042, simply,1.1433722647780087e-05,2758,0.005473540672383876,False
pos,orig,33,1.4541051314154174e-05,14733, plain,9.424641575606074e-06,6844,2.589681389508769e-05,14733, plain,1.1457893378974404e-05,5342,0.011280395814670014,False
pos,orig,34,1.6474859876325354e-05,5042, simply,1.0777632269309834e-05,746,2.606377711344976e-05,5042, simply,1.3859407772542909e-05,623,0.008452344678821794,False
pos,orig,35,1.7369957276969217e-05,5042, simply,1.1010315574822016e-05,416,3.328318416606635e-05,5042, simply,1.4726138033438474e-05,440,0.009848548880453861,False
pos,orig,36,1.6472049537696876e-05,5042, simply,1.06261286418885e-05,1037,2.3489570594392717e-05,5042, simply,1.3009122994844802e-05,661,0.005090626002888442,False
pos,orig,37,1.7771879356587306e-05,5042, simply,1.0571954589977395e-05,1721,2.6667039492167532e-05,5042, simply,1.3028643479628954e-05,1002,0.005610412326085089,False
pos,orig,38,2.03387771762209e-05,5042, simply,1.7865113477455452e-05,3,2.897492959164083e-05,5042, simply,2.501689778000582e-05,3,0.004690521129993486,False
pos,orig,39,1.951657213794533e-05,5042, simply,1.8250673747388646e-05,2,2.6211884687654674e-05,5042, simply,2.4237846446339972e-05,2,0.003885650721545916,False
pos,orig,40,1.9851895558531396e-05,20437, Berlin,1.9851895558531396e-05,1,2.3916558347991668e-05,20437, Berlin,2.3916558347991668e-05,1,0.0021652125324349756,False
pos,orig,41,2.0270443201297894e-05,20437, Berlin,2.0270443201297894e-05,1,2.487628262315411e-05,330," """,2.333082738914527e-05,2,0.002732788198836511,False
pos,orig,42,2.3252978280652314e-05,20437, Berlin,2.3252978280652314e-05,1,2.3176675313152373e-05,330," """,2.1247366021270864e-05,2,0.002517058300919513,False
pos,orig,43,2.4089895305223763e-05,20437, Berlin,2.4089895305223763e-05,1,2.2633510525338352e-05,20437, Berlin,2.2633510525338352e-05,1,0.003073752201762403,False
pos,orig,44,2.5984403691836633e-05,20437, Berlin,2.5984403691836633e-05,1,3.121044937870465e-05,20437, Berlin,3.121044937870465e-05,1,0.0029806981669227147,False
pos,orig,45,2.967672116938047e-05,20437, Berlin,2.967672116938047e-05,1,2.8157401175121777e-05,330," """,2.3939468519529328e-05,3,0.004758999784555001,False
pos,orig,46,3.45262378687039e-05,330," """,3.371557977516204e-05,2,1.8923496099887416e-05,330," """,1.5634808733011596e-05,4,0.014112012231487486,False
pos,orig,47,3.7208577850833535e-05,20437, Berlin,3.7208577850833535e-05,1,2.814779509208165e-05,330," """,2.690348082978744e-05,2,0.004167036172092443,False
pos,orig,48,3.729799573193304e-05,330," """,3.689606819534674e-05,2,2.9239208743092604e-05,330," """,2.57877582043875e-05,2,0.004851904678189644,False
pos,orig,49,4.209910912322812e-05,20437, Berlin,4.209910912322812e-05,1,2.930930713773705e-05,330," """,2.7758944270317443e-05,2,0.005772074338378054,False
pos,orig,50,4.658626494347118e-05,20437, Berlin,4.658626494347118e-05,1,2.5263097995775752e-05,330," """,2.3047470676829107e-05,2,0.011570093871976115,False
pos,orig,51,5.33928869117517e-05,20437, Berlin,5.33928869117517e-05,1,2.7523425160325132e-05,330," """,2.7468695407151245e-05,2,0.009975835524502007,False
pos,orig,52,5.7735211157705635e-05,20437, Berlin,5.7735211157705635e-05,1,4.018203617306426e-05,20437, Berlin,4.018203617306426e-05,1,0.006918750524210622,False
pos,orig,53,6.774836219847202e-05,20437, Berlin,6.774836219847202e-05,1,3.354729415150359e-05,20437, Berlin,3.354729415150359e-05,1,0.011193753508032804,False
pos,orig,54,0.00010565157572273165,20437, Berlin,0.00010565157572273165,1,2.9905697374488227e-05,20437, Berlin,2.9905697374488227e-05,1,0.019713530165751877,False
pos,orig,55,0.00011915540380869061,20437, Berlin,0.00011915540380869061,1,3.2403218938270584e-05,20437, Berlin,3.2403218938270584e-05,1,0.017959833823819497,False
pos,orig,56,0.00016214518109336495,20437, Berlin,0.00016214518109336495,1,7.164040289353579e-05,20437, Berlin,7.164040289353579e-05,1,0.014846384868743977,False
pos,orig,57,0.0002524021838326007,20437, Berlin,0.0002524021838326007,1,5.6387889344478026e-05,20437, Berlin,5.6387889344478026e-05,1,0.023587460874268,False
pos,orig,58,0.000267062772763893,20437, Berlin,0.000267062772763893,1,4.371230897959322e-05,20437, Berlin,4.371230897959322e-05,1,0.030354572414152643,False
pos,orig,59,0.0003029298095498234,20437, Berlin,0.0003029298095498234,1,3.994104918092489e-05,20437, Berlin,3.994104918092489e-05,1,0.03411541646803971,False
