prompt_id,prompt_variant,layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass
pos,orig,1,0,<|begin_of_text|>,11.580307006835938, the,0.03260304778814316, and,0.02937176264822483,",",0.026483729481697083,.,0.02429085597395897, of,0.022774839773774147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8644757643342018
pos,orig,1,1,Give,11.43781852722168,",",0.040468402206897736, and,0.03512483835220337,.,0.03395337238907814, the,0.030682392418384552, to,0.022604474797844887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8371665198355913
pos,orig,1,2, the,11.514896392822266, the,0.03426695615053177, of,0.03355232998728752,.,0.02870977856218815, to,0.026986831799149513,",",0.023525496944785118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8529586065560579
pos,orig,1,3, city,10.910340309143066, and,0.05153234302997589, of,0.04160289838910103, the,0.03333679959177971,",",0.03000899776816368,.,0.028526250272989273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8149927109479904
pos,orig,1,4, name,11.670153617858887, and,0.0480714850127697, of,0.029231613501906395,.,0.029155690222978592, the,0.02561727538704872,",",0.023362373933196068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8445615619421005
pos,orig,1,5, only,11.223135948181152, the,0.04632696881890297,.,0.04150101915001869,",",0.03606506437063217, of,0.03358711302280426, to,0.018879765644669533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8236400689929724
pos,orig,1,6,",",11.158635139465332, the,0.046861980110406876,",",0.038098882883787155, of,0.03144700452685356, to,0.026554524898529053, and,0.025677315890789032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8313602916896343
pos,orig,1,7, plain,11.49101734161377,",",0.036362797021865845, and,0.03398875892162323,.,0.03107876144349575, the,0.023339755833148956, to,0.01957385614514351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8556560706347227
pos,orig,1,8, text,11.090173721313477, and,0.042484741657972336,.,0.04157362878322601, the,0.03735613822937012,",",0.03435463458299637, to,0.022648567333817482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8215822894126177
pos,orig,1,9,.,11.186318397521973, the,0.05783072113990784, and,0.03147421032190323, of,0.031207630410790443,",",0.03039364330470562,.,0.02131551317870617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8277782816439867
