prompt_id,prompt_variant,layer,p_top1_raw,top1_token_id_raw,top1_token_str_raw,p_answer_raw,answer_rank_raw,p_top1_norm,top1_token_id_norm,top1_token_str_norm,p_answer_norm,answer_rank_norm,kl_norm_vs_raw_bits,norm_only_semantics
pos,orig,0,8.334228368767072e-06,64023,CLICK,6.992195267230272e-06,13323,7.252558589243563e-06,64023,CLICK,6.74042894388549e-06,14864,0.0005307548358638571,False
pos,orig,1,3.634408494690433e-05,48777, Carp,5.927684469497763e-06,79867,8.218719813157804e-06,59817,apr,6.44022202322958e-06,103210,0.08617650237626301,False
pos,orig,2,4.542643728200346e-05,100440,湾,6.462440978793893e-06,64056,8.68099868966965e-06,102267,财经,6.665607998002088e-06,60382,0.1090340876908717,False
pos,orig,3,6.062249303795397e-05,100440,湾,6.769598257960752e-06,56109,9.395150300406385e-06,30248,-looking,6.722308626194717e-06,57101,0.13358034378201308,False
pos,orig,4,9.307107393397018e-05,100440,湾,7.94877178122988e-06,39455,1.0730628673627507e-05,116023,院子,6.8928225118725095e-06,44884,0.17108455746000306,False
pos,orig,5,0.0002363199309911579,33323,-minded,1.6334623069269583e-05,8117,1.2270187653484754e-05,76540, (?),7.769468538754154e-06,9896,0.28521132016581446,False
pos,orig,6,0.0010910035343840718,33323,-minded,2.9518963856389746e-05,3012,1.4352421203511767e-05,398,ly,8.600102773925755e-06,5242,0.46407445944386017,False
pos,orig,7,0.0029225521720945835,33323,-minded,3.481191015453078e-05,3208,4.8344285460188985e-05,76540, (?),1.286098631680943e-05,1810,0.6326454474658405,False
pos,orig,8,0.004718168172985315,33323,-minded,2.8474376449594274e-05,5240,5.0455055315978825e-05,76540, (?),1.3371961358643603e-05,1999,0.7816596863189329,False
pos,orig,9,0.0075277043506503105,22619,ifiable,7.366021691268543e-06,28532,5.613356188405305e-05,76540, (?),9.404357115272433e-06,17918,1.0847871916492238,False
pos,orig,10,0.03220701217651367,22619,ifiable,1.4831261978542898e-06,74175,0.00015839182015042752,76540, (?),7.854871000745334e-06,39855,1.3928315089850314,False
pos,orig,11,0.09714823961257935,22619,ifiable,2.548567408666713e-06,46536,5.587438863585703e-05,22619,ifiable,8.92675689101452e-06,20991,1.878722827604093,False
pos,orig,12,0.053744006901979446,22619,ifiable,2.654413037816994e-06,52607,4.94218802487012e-05,22619,ifiable,9.381861673318781e-06,18554,1.5601942758890377,False
pos,orig,13,0.058111075311899185,22619,ifiable,2.459737515891902e-06,53254,4.22528937633615e-05,22619,ifiable,9.344938007416204e-06,17829,1.6967854769440434,False
pos,orig,14,0.054164234548807144,22619,ifiable,1.6957958450802835e-06,58119,8.077592792687938e-05,1,"""",9.673807653598487e-06,21482,1.8521585593344745,False
pos,orig,15,0.06809941679239273,22619,ifiable,4.349061327957315e-06,28794,9.236573532689363e-05,1,"""",1.2983377928321715e-05,7894,2.0548150039092685,False
pos,orig,16,0.0778999924659729,22619,ifiable,4.955644271831261e-06,24155,0.00022165541304275393,12,-,1.6519725249963813e-05,5986,2.0269883829823168,False
pos,orig,17,0.10870883613824844,22619,ifiable,4.452135272003943e-06,18943,0.00010619501699693501,12,-,1.5951056411722675e-05,5302,2.76531901821685,False
pos,orig,18,0.06626808643341064,29991,名称,4.422972779138945e-06,19343,0.00016449016402475536,12,-,1.5593946955050342e-05,7274,2.7389903661789137,False
pos,orig,19,0.07240214198827744,33323,-minded,4.132357844355283e-06,17670,0.0004358853620942682,398,ly,1.9410268578212708e-05,7442,2.6848971789509872,False
pos,orig,20,0.31502002477645874,33323,-minded,1.6779119960119715e-06,13091,0.00028326353640295565,62,_,2.2981519578024745e-05,4260,5.032257079735005,False
pos,orig,21,0.408870667219162,118164,这个名字,7.046569976409955e-07,9245,0.0007536584162153304,62,_,2.9028589779045433e-05,3778,6.831850517694469,False
pos,orig,22,0.4554181694984436,32671, ______,3.440806395360596e-08,12437,0.00946597196161747,32671, ______,3.757948798011057e-05,3770,8.86125955648768,False
pos,orig,23,0.4655416011810303,33323,-minded,6.789313000687969e-10,10049,0.016041021794080734,2130,____,3.631236177170649e-05,3642,14.574184068362682,False
pos,orig,24,0.7902049422264099,118164,这个名字,8.281111798895402e-14,15954,0.10315056145191193,2130,____,1.6033813153626397e-05,6199,14.574979316140272,False
pos,orig,25,0.9998899698257446,4936, simply,5.203717095897051e-14,194,0.03401359170675278,2130,____,0.00034732508356682956,121,38.09606686146729,False
pos,orig,26,0.5485681891441345,65892, _____,1.0695424580708934e-12,188,0.29373395442962646,2130,____,0.00014561665011569858,101,7.780842529988206,False
pos,orig,27,0.642747163772583,65892, _____,1.7523161810473198e-09,40,0.2721426784992218,2130,____,0.0005468135932460427,35,4.722537995345095,False
pos,orig,28,0.9943038821220398,4936, simply,1.2455826663426706e-06,16,0.2983478307723999,2130,____,0.0035593491047620773,20,13.60491323774041,False
pos,orig,29,0.9934048056602478,9856, Germany,0.006542695686221123,2,0.7581772208213806,33323,-minded,0.026486337184906006,4,35.69892589446043,False
pos,orig,30,0.998980700969696,9856, Germany,0.0010131830349564552,2,0.4079546332359314,9856, Germany,0.2843639850616455,2,10.063862001257938,False
pos,orig,31,0.9999991655349731,19846, Berlin,0.9999991655349731,1,0.9359333515167236,19846, Berlin,0.9359333515167236,1,4.134492163792566,False
pos,orig,32,0.8212061524391174,19846, Berlin,0.8212061524391174,1,0.6797715425491333,5938, German,0.2962426543235779,2,3.1043446342443857,False
