prompt_id,prompt_variant,layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass
pos,orig,0,0,Give,17.212833404541016,spr,7.155105322453892e-06, *__,7.15330907041789e-06,ovy,7.129305686248699e-06,ooled,7.103553343767999e-06, Gibraltar,7.102747076714877e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999643559795004
pos,orig,0,1, the,17.21288299560547,зам,7.125896445359103e-06,本报,7.107068086043e-06,eya,7.105470558599336e-06,дра,7.105337772372877e-06, complexion,7.0969895205053035e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999644592376171
pos,orig,0,2, city,17.212873458862305,asia,7.2055695454764646e-06,ording,7.189859843492741e-06,Dat,7.172206096583977e-06, Dat,7.138301043596584e-06,ATA,7.133642611734103e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999641604208591
pos,orig,0,3, name,17.212907791137695,ýt,7.302504855033476e-06,eting,7.25474228602252e-06, translating,7.1927288445294835e-06,calcul,7.145635663619032e-06,一事,7.131497568479972e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999639728907823
pos,orig,0,4, only,17.21290397644043,挚,7.193791589088505e-06,focused,7.1808931352279615e-06,熊,7.167345756897703e-06,一个小,7.142612503230339e-06,uzzi,7.1373474384017754e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999641780095772
pos,orig,0,5,",",17.2128963470459,不够,7.106747489160625e-06,edor,7.1031818151823245e-06,��,7.081257081154035e-06,pad,7.074073437252082e-06,DR,7.061671112751355e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999645730690645
pos,orig,0,6, plain,17.212886810302734,锣,7.332659151870757e-06, TSA,7.246223049151013e-06,胞,7.244985681609251e-06,lights,7.194208592409268e-06,犯,7.180674856499536e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999638012486685
pos,orig,0,7, text,17.212865829467773,MOVED,7.223240572784562e-06, dig,7.180037300713593e-06,iaux,7.175102837209124e-06,一事,7.167600415414199e-06,ingham,7.147569249355001e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999641064496245
pos,orig,0,8,.,17.21291160583496,在现场,7.170158369262936e-06,特别是,7.119721431081416e-06,鉴定,7.083464879542589e-06,报告显示,7.07089702700614e-06, disliked,7.067756541800918e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999644880017513
pos,orig,0,9, The,17.21284294128418, parallels,7.204025223472854e-06, mere,7.189518328232225e-06,OLA,7.176093276939355e-06,փ,7.1745766945241485e-06,unsupported,7.1717527134751435e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999640840337634
pos,orig,0,10, capital,17.212862014770508, forth,7.1419931373384316e-06,Invariant,7.127347089408431e-06, TERMS,7.112796993169468e-06,果然,7.107402780093253e-06,صر,7.105844815669116e-06,眼前,7.1041513365344144e-06, dot,7.1016038418747485e-06,enso,7.099592039594427e-06,obili,7.09608502802439e-06,ORY,7.0956516537989955e-06,巩,7.092360192473279e-06, lie,7.092185569490539e-06,til,7.084651315381052e-06, Allan,7.0778960434836335e-06,何必,7.074629138514865e-06, forwards,7.073303549987031e-06, Eg,7.072006610542303e-06,ycin,7.071793334034737e-06,湍,7.071402251312975e-06,问我,7.069175808283035e-06,0.999858128127471
pos,orig,0,11, of,17.21288299560547,vox,7.2372235990769695e-06,EMAIL,7.135874966479605e-06,更多信息,7.108943918865407e-06,Ẩ,7.099801678123185e-06,stdin,7.0995210990076885e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999643186347384
pos,orig,0,12, Germany,17.21284294128418,afe,7.204667781479657e-06,谲,7.200272193585988e-06,一角,7.1940626185096335e-06,青山,7.186815309978556e-06,ifact,7.1780532380216755e-06,fell,7.172784989961656e-06,殃,7.161620487750042e-06,EXP,7.148341410356807e-06,放出,7.137915417843033e-06,同期,7.13384588379995e-06, Manufact,7.124998319341103e-06, fitted,7.124485364329303e-06, fists,7.099567028490128e-06,.Rendering,7.095793534972472e-06,原件,7.093462500051828e-06,传出,7.091299721651012e-06,Platforms,7.090650797181297e-06,小腿,7.089970495144371e-06,itore,7.087974154273979e-06,곱,7.085057404765394e-06,0.9998572983613485
pos,orig,0,13, is,17.21284294128418,otope,7.220219686132623e-06,oles,7.216411177068949e-06,逮,7.1949116318137385e-06,茬,7.169687251007417e-06,而言,7.1348440542351454e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999640639261997
pos,orig,0,14, called,17.2128849029541,Flo,7.201280823210254e-06,МИ,7.175955488492036e-06,协办,7.156373612815514e-06,TE,7.153584192565177e-06, bund,7.149311841203598e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999641634940417
pos,orig,0,15, simply,17.21284294128418,CLICK,7.252558589243563e-06,称之,7.20872230886016e-06,oreal,7.197297236416489e-06, CLICK,7.172615369199775e-06,flix,7.167594503698638e-06,_PS,7.145578820200171e-06,嵯,7.141272817534627e-06, kron,7.1407971518056e-06,堰,7.130576705094427e-06, trif,7.125892807380296e-06,ultan,7.121387625375064e-06, Overnight,7.1160911829792894e-06, Flake,7.113842457329156e-06,Exited,7.112158073141472e-06,臣,7.1059812398743816e-06,zik,7.103289590304485e-06,�,7.102211839082884e-06,什么原因,7.101918981788913e-06,aar,7.101552455424098e-06,.flip,7.101207756932126e-06,0.9998572374524883
pos,orig,1,0,Give,17.211624145507812,Setup,8.204503501474392e-06,leh,8.122344297589734e-06,\\Validation,8.098458238237072e-06,的前提,8.088439244602341e-06,iba,8.06793468655087e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999594183200315
pos,orig,1,1, the,17.21230697631836,een,7.58990972826723e-06,*,7.569824902020628e-06,指引,7.560292033303995e-06,大家,7.55073278924101e-06, stap,7.542776529589901e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999621864640176
pos,orig,1,2, city,17.211355209350586,-wide,8.293730388686527e-06,gaben,8.276946573460009e-06,naire,8.245299795817118e-06,给大家,8.201085620385129e-06,堡,8.147710104822181e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999588352275168
pos,orig,1,3, name,17.21143341064453,plate,8.304923539981246e-06,勐,8.205623089452274e-06,却,8.198243449442089e-06,less,8.19387332740007e-06,paced,8.098965736280661e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999589983708574
pos,orig,1,4, only,17.211305618286133,这样才能,8.85679037310183e-06, Pra,8.459674972982612e-06,限,8.39635595184518e-06,到最后,8.39176937006414e-06,这一次,8.334215635841247e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999575611936962
pos,orig,1,5,",",17.21246337890625,lator,7.533926691394299e-06,却,7.4785498327401e-06, lun,7.4684749051812105e-06, stap,7.4238673732907046e-06,登场,7.4218851295881905e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999626732960678
pos,orig,1,6, plain,17.211387634277344,ishments,8.634710866317619e-06, Parenthood,8.424413863394875e-06,cies,8.419242476520594e-06,ning,8.345075002580415e-06,xing,8.26473751658341e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999579118202746
pos,orig,1,7, text,17.21157455444336,ured,8.096426427073311e-06,却,8.06802654551575e-06,-driven,8.052926204982214e-06,-enabled,8.046596121857874e-06,能力强,8.022620022529736e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999959713404678
pos,orig,1,8,.,17.212505340576172, Clubs,7.5399179877422284e-06,全域,7.535671556979651e-06,(),7.523000022047199e-06," 
",7.496209491364425e-06,分为,7.491988071706146e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999624132128702
pos,orig,1,9, The,17.212387084960938,hell,7.882648787926883e-06,een,7.875596566009335e-06,e,7.84063377068378e-06,oret,7.780606210872065e-06,orem,7.680771886953153e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999609397427776
pos,orig,1,10, capital,17.21160888671875,ypse,8.105996130325366e-06,folio,8.078679456957616e-06,/oauth,8.05644322099397e-06,ization,8.039022759476211e-06,ulet,8.027396688703448e-06, cousins,8.007225005712826e-06,istic,7.975819244165905e-06,lesi,7.974750587891322e-06,izations,7.964975338836666e-06,/private,7.9537066994817e-06,�,7.94058450992452e-06,登场,7.926975740701891e-06, RAT,7.920662028482184e-06,/current,7.907895451353397e-06,tery,7.889257176429965e-06,联盟,7.886736966611352e-06,増,7.88289344200166e-06,\\-,7.870419722166844e-06,itemap,7.866451596783008e-06,fol,7.854438990761992e-06,0.9998408696692422
pos,orig,1,11, of,17.211517333984375, sorts,8.349142262886744e-06,这点,8.2985388871748e-06,tery,8.136892574839294e-06, Seasons,8.12409689388005e-06,/power,8.081206942733843e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999590101224385
pos,orig,1,12, Germany,17.21161651611328,佬,8.477271876472514e-06,使者,8.358702871191781e-06,achten,8.161364348779898e-06,aksi,8.05614581622649e-06,�,7.971383638505358e-06,专线,7.970694241521414e-06,ُ,7.943660421005916e-06,收官,7.930998435767833e-06,clid,7.895560884207953e-06,รวม,7.89257865108084e-06,tags,7.89240948506631e-06, stanza,7.885778359195683e-06,Presenter,7.876104064052925e-06,酤,7.874322363932151e-06, fellow,7.871032721595839e-06,�,7.859601282689255e-06, Liberties,7.857939635869116e-06,失落,7.854411705920938e-06,角度,7.850014299037866e-06,骊,7.849429493944626e-06,0.9998406705954039
pos,orig,1,13, is,17.21213150024414,/w,8.328024705406278e-06,omers,8.085814442893025e-06,obar,7.994336556294002e-06,otope,7.929156708996743e-06,/,7.807077963661868e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999598555896227
pos,orig,1,14, called,17.211517333984375,殆,8.220869858632796e-06,而且,8.219262781494763e-06,iveau,8.213919500121847e-06,力争,8.149911991495173e-06,weit,8.081132364168297e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999591149035041
pos,orig,1,15, simply,17.211400985717773,apr,8.218719813157804e-06,标配,8.16732153907651e-06,为广大,8.15126441011671e-06, Atari,8.10763503977796e-06, hend,8.08766435511643e-06,auc,8.087249625532422e-06, filles,8.074388460954651e-06," ""-"",",8.07069409347605e-06, Carp,8.00354428065475e-06,升级,7.983898285601754e-06,告诉大家,7.982199349498842e-06, upgrades,7.96317181084305e-06,两周,7.95743653725367e-06, Höhe,7.94836159911938e-06, Shadows,7.937331247376278e-06, conco,7.934617315186188e-06,esub,7.926597390905954e-06,cast,7.905561687948648e-06,中关村,7.900773198343813e-06,hook,7.899952834122814e-06,0.9998396916171259
pos,orig,2,0,Give,17.21201515197754,来宾,8.248933227150701e-06,poi,8.01303394837305e-06,leh,7.940134310047142e-06,@interface,7.87516273703659e-06,ListModel,7.863346581871156e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999600593891955
pos,orig,2,1, the,17.212646484375,addir,7.342637672991259e-06,asics,7.330448170250747e-06,�,7.297937827388523e-06,adiator,7.292868758668192e-06, Jeb,7.279598776221974e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999634565087945
pos,orig,2,2, city,17.210338592529297,堡,8.855616215441842e-06,gaben,8.64345292939106e-06,城市建设,8.642703505756799e-06,se,8.586896910856012e-06,<|endoftext|>,8.575572792324238e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999566957576462
pos,orig,2,3, name,17.210803985595703,ake,8.553051884518936e-06,氏,8.543703188479412e-06,/name,8.448463631793857e-06,ahl,8.430292837147135e-06,irit,8.42854115035152e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999575959473077
pos,orig,2,4, only,17.210163116455078,限,8.91205945663387e-06,范,8.899867680156603e-06,这样才能,8.710224392416421e-06,一次次,8.674014679854736e-06, Logistics,8.622990208095871e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999561808435828
pos,orig,2,5,",",17.212345123291016,满满,7.75671833253e-06,cheng,7.710153113293927e-06, setting,7.598153842991451e-06, Painter,7.594275757583091e-06,开局,7.592885594931431e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999617478133587
pos,orig,2,6, plain,17.210912704467773,ning,8.799317583907396e-06,ng,8.566586984670721e-06,"
",8.464046914014034e-06,‌,8.394675205636304e-06,rest,8.391321898670867e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999573840514131
