prompt_id,prompt_variant,layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass
pos,orig,1,0,<|startoftext|>,11.281508445739746,",",0.04256045073270798, the,0.037218231707811356,.,0.030244868248701096, of,0.02916877530515194, and,0.026706073433160782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8341016005724669
pos,orig,1,1,Give,11.004263877868652,",",0.05430106818675995,.,0.04393869265913963, the,0.03860350698232651, and,0.0280760508030653, of,0.027261516079306602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.807819165289402
pos,orig,1,2, the,11.355727195739746,",",0.042821936309337616, the,0.040517792105674744,.,0.03988519310951233, and,0.02791847102344036,"
",0.023735838010907173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8251207694411278
pos,orig,1,3, city,11.39276123046875,",",0.04346580430865288, the,0.03812973573803902,.,0.03633063659071922, and,0.027743149548768997, of,0.025339744985103607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8289909288287163
pos,orig,1,4, name,11.353899955749512,",",0.04319138824939728, the,0.0388793870806694,.,0.03633463382720947, and,0.027721328660845757, of,0.025918355211615562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8279549069702625
pos,orig,1,5, only,11.405413627624512,",",0.04292687028646469, the,0.039707452058792114,.,0.03494519367814064, and,0.026291945949196815, of,0.02573193982243538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8303965982049704
pos,orig,1,6,",",11.421881675720215, the,0.04118802770972252,",",0.04099547863006592,.,0.03850351646542549, and,0.02709781564772129,"
",0.02230033464729786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8299148268997669
pos,orig,1,7, plain,11.316511154174805,",",0.04512735828757286, the,0.03876439109444618,.,0.03709721937775612, and,0.028016887605190277, of,0.02700130082666874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8239928428083658
pos,orig,1,8, text,11.431645393371582,",",0.04202251136302948, the,0.03867717459797859,.,0.03437092527747154, and,0.027423135936260223, of,0.0263153538107872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.831190899014473
pos,orig,1,9,.,11.516925811767578,",",0.040349166840314865, the,0.04024110361933708,.,0.0366484709084034, and,0.025740619748830795, of,0.020181993022561073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8368386458605528
pos,orig,1,10, The,11.582980155944824,",",0.04000669717788696, the,0.03882560878992081,.,0.03232860937714577, and,0.026699505746364594, of,0.023231282830238342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8389082960784435
pos,orig,1,11, capital,11.375398635864258,",",0.04379899054765701, the,0.03837194666266441,.,0.03635512664914131, and,0.02704392932355404, of,0.02642899937927723, to,0.020833535119891167,"
",0.0198226198554039, ,0.0182260200381279, a,0.015536067076027393, in,0.013250098563730717, is,0.010126445442438126,-,0.008219919167459011, for,0.007766129914671183, that,0.007096156943589449,1,0.006871386431157589, or,0.004934957716614008, on,0.004871810786426067,s,0.004854074213653803,2,0.004797787871211767, are,0.0045567722991108894,0.676237225998193
pos,orig,1,12, of,11.609869956970215, the,0.04081765189766884,",",0.038489554077386856,.,0.03242875263094902, and,0.02741389535367489, of,0.020727865397930145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8401222806423903
