layer,kl_bits_baseline,kl_bits_tuned,kl_bits_rot_only,kl_bits_temp_only,delta_kl_bits_tuned,delta_kl_bits_rot_only,delta_kl_bits_temp_only,delta_kl_bits_interaction,answer_rank_baseline,answer_rank_tuned,answer_rank_rot_only,answer_rank_temp_only,rank_shift_tuned,rank_shift_rot_only,rank_shift_temp_only,entropy_bits_baseline,entropy_bits_tuned
1,11.680713553716616,7.5171250210857785,9.140527736681122,11.72945206110993,4.163588532630838,2.5401858170354945,-0.04873850739331331,1.6721412229886568,48759,10766,10766,48759,37993,37993,0,16.94176483154297,11.464098930358887
2,11.733034803692703,7.48712436746927,9.0590774411631,11.854464186230295,4.245910436223434,2.6739573625296043,-0.12142938253759183,1.6933824562314213,35748,9313,9313,35748,26435,26435,0,16.87640380859375,11.201549530029297
3,11.610519866662866,7.336305901621639,9.04335822687424,11.664460505279477,4.274213965041227,2.567161639788626,-0.053940638616611025,1.760992963869212,25757,9672,9672,25757,16085,16085,0,16.893569946289062,10.707703590393066
4,11.739329368714282,7.404655246727536,9.181870302156732,11.862852812008779,4.334674121986746,2.5574590665575503,-0.12352344329449672,1.9007384987236922,53285,10916,10916,53285,42369,42369,0,16.899089813232422,11.091835021972656
5,11.741137250340152,7.183762105820551,9.0485727408484,11.889737139991654,4.557375144519601,2.6925645094917527,-0.14859988965150173,2.01341052467935,38263,9760,9760,38263,28503,28503,0,16.87306022644043,10.630122184753418
6,11.7320373043177,7.38330394458822,9.203976264168034,11.877073713443323,4.34873335972948,2.528061040149666,-0.14503640912562332,1.9657087287054376,56751,11824,11824,56751,44927,44927,0,16.879730224609375,10.929411888122559
7,11.639485872651784,6.948804223726007,8.946525803063047,11.723662437151283,4.690681648925778,2.6929600695887377,-0.08417656449949895,2.081898143836539,39477,10728,10728,39477,28749,28749,0,16.880586624145508,10.252873420715332
8,11.806646129984399,7.455011078969563,9.22533582147459,12.0086459447982,4.351635051014836,2.581310308509808,-0.20199981481380114,1.9723245573188288,21603,7832,7832,21603,13771,13771,0,16.86243438720703,11.33254623413086
9,11.751600674818645,7.2808249863839,9.104409316208123,11.922252867894379,4.470775688434745,2.647191358610522,-0.17065219307573365,1.994236522899957,3095,5073,5073,3095,-1978,-1978,0,16.866621017456055,10.785871505737305
10,11.619590919599974,6.849383117054027,8.88719041265417,11.721689452180586,4.770207802545946,2.732400506945803,-0.1020985325806123,2.1399058281807557,8826,6929,6929,8826,1897,1897,0,16.850629806518555,9.891520500183105
