pos_frac,pos_index,layer,kl_bits_baseline,kl_bits_tuned,delta_kl_bits_tuned,answer_rank_baseline,answer_rank_tuned,rank_shift_tuned,entropy_bits_baseline,entropy_bits_tuned
0.2,3,1,9.410907165547371,3.931408858278331,5.47949830726904,,,,14.90003776550293,11.466019630432129
0.4,6,1,8.695979413494296,4.152662818786825,4.543316594707471,,,,14.929380416870117,10.937141418457031
0.6,10,1,7.597158867491295,4.5070444217446,3.0901144457466954,,,,14.880374908447266,12.137198448181152
0.8,13,1,9.94109184197422,4.76509166264808,5.17600017932614,,,,14.856200218200684,12.134069442749023
0.92,15,1,9.455564868601012,5.041551022187631,4.414013846413381,,,,14.928139686584473,10.599993705749512
0.98,16,1,10.220260272230163,5.830317805562144,4.389942466668019,21847,8499,13348,14.92905044555664,10.969782829284668
0.2,3,2,9.318339911477578,4.176037324830892,5.142302586646686,,,,14.80964183807373,11.543734550476074
0.4,6,2,8.581002820017078,4.565349292109506,4.015653527907572,,,,14.82985782623291,10.668163299560547
0.6,10,2,7.493852328771023,4.5684219341498205,2.925430394621203,,,,14.81683349609375,12.271294593811035
0.8,13,2,9.829742018638397,4.870746452483233,4.958995566155164,,,,14.811960220336914,11.90394115447998
0.92,15,2,9.634591928843161,5.233096011655481,4.40149591718768,,,,14.837641716003418,11.237943649291992
0.98,16,2,10.506400879152084,6.667394515564021,3.839006363588063,27602,14019,13583,14.825360298156738,12.087456703186035
0.2,3,3,9.194005398001611,3.817216161723745,5.376789236277866,,,,14.858817100524902,10.93732738494873
0.4,6,3,8.449210450869097,4.457597345829732,3.9916131050393657,,,,14.865226745605469,10.057157516479492
0.6,10,3,7.238138892439751,4.668761772142709,2.569377120297042,,,,14.844362258911133,11.84972858428955
0.8,13,3,9.551291787932458,4.292911918843032,5.258379869089426,,,,14.859601020812988,11.231945991516113
0.92,15,3,9.485011050151138,5.047906125102314,4.437104925048825,,,,14.8773775100708,11.11324405670166
0.98,16,3,10.383834347326987,6.442389613440207,3.9414447338867795,25435,11115,14320,14.877056121826172,12.153176307678223
0.2,3,4,9.226764653337959,3.843272221260064,5.383492432077896,,,,14.821887016296387,10.91874885559082
0.4,6,4,8.482045378571826,4.27470480352679,4.207340575045036,,,,14.848320007324219,10.33165454864502
0.6,10,4,7.258394321127769,4.93934482846758,2.319049492660189,,,,14.809983253479004,11.611727714538574
0.8,13,4,9.34438083654062,3.8062725616840427,5.538108274856576,,,,14.837976455688477,10.186381340026855
0.92,15,4,9.373346154598934,4.8811847674947,4.492161387104234,,,,14.850074768066406,10.763472557067871
0.98,16,4,10.332932986116424,6.423330496071592,3.909602490044832,25144,11697,13447,14.853814125061035,12.011381149291992
0.2,3,5,9.01910179379655,3.476400550266029,5.54270124353052,,,,14.803071975708008,9.850525856018066
0.4,6,5,8.439671605121642,4.394784810185712,4.04488679493593,,,,14.825804710388184,9.930458068847656
0.6,10,5,7.435149834517323,5.235357583514327,2.1997922510029957,,,,14.760465621948242,11.917779922485352
0.8,13,5,9.403251873792167,4.07091705707462,5.332334816717546,,,,14.809967994689941,10.520618438720703
0.92,15,5,9.422150703330178,4.8124935208788875,4.609657182451291,,,,14.826233863830566,10.759984970092773
0.98,16,5,10.228533325667268,6.098134692930538,4.13039863273673,22231,10919,11312,14.826519966125488,11.358776092529297
0.2,3,6,8.668385829059265,3.2121268494707116,5.4562589795885525,,,,14.801961898803711,9.17900562286377
0.4,6,6,8.621021119081043,4.443824631183336,4.177196487897707,,,,14.84388542175293,10.955245971679688
0.6,10,6,7.160056705156226,6.491156325988262,0.6689003791679635,,,,14.762718200683594,10.5325288772583
0.8,13,6,9.27627226714593,3.9101356362625066,5.366136630883425,,,,14.80722427368164,10.280238151550293
0.92,15,6,9.301101746416295,4.58693758634171,4.714164160074585,,,,14.836368560791016,10.338364601135254
0.98,16,6,10.17477292486876,6.111164786490507,4.063608138378253,19005,9275,9730,14.837770462036133,11.440058708190918
0.2,3,7,8.758575594963531,3.471532065385405,5.287043529578126,,,,14.77396297454834,10.017784118652344
0.4,6,7,8.736925730942318,4.7081017716316715,4.028823959310646,,,,14.825271606445312,11.65894603729248
0.6,10,7,7.180113321899846,11.577658797597207,-4.3975454756973615,,,,14.701664924621582,7.487020492553711
0.8,13,7,9.401864317765005,4.268243759299176,5.133620558465829,,,,14.76721477508545,10.809196472167969
0.92,15,7,9.370178922100644,4.695574211377522,4.674604710723122,,,,14.803977966308594,10.789103507995605
0.98,16,7,10.278343628940757,6.588620958024026,3.689722670916731,16499,8529,7970,14.804936408996582,12.033367156982422
0.2,3,8,8.75321730349325,3.432824618086316,5.320392685406933,,,,14.783821105957031,8.921836853027344
0.4,6,8,8.803961128595624,4.682744649588459,4.121216479007165,,,,14.82156753540039,11.591035842895508
0.6,10,8,7.582060166606747,13.385939423217053,-5.803879256610306,,,,14.69452953338623,6.638548374176025
0.8,13,8,9.361081727800606,3.6061521732788715,5.754929554521734,,,,14.774017333984375,9.782904624938965
0.92,15,8,9.330532793493147,4.704306802457732,4.626225991035414,,,,14.820096015930176,10.601161003112793
0.98,16,8,10.252341227991508,6.218887151754333,4.033454076237175,14140,7393,6747,14.821020126342773,11.441202163696289
