prompt_id,prompt_variant,layer,pos,token,entropy,entropy_bits,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass
pos,orig,0,0,<s>,14.959216117858887,14.959216117858887,thon,4.6851771912770346e-05,oso,4.63198812212795e-05,iden,4.601496766554192e-05,amba,4.592065670294687e-05,�,4.5807621063431725e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999769085101434
pos,orig,0,1,Give,14.961874008178711,14.961874008178711,dabei,4.237314351485111e-05,wo,4.228566831443459e-05,oft,4.217800960759632e-05,ave,4.1532290197210386e-05,boy,4.152320252615027e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997901076858398
pos,orig,0,2,the,14.956244468688965,14.956244468688965,/******/,5.4535594244953245e-05,Hughes,5.029747262597084e-05,anto,5.0182821723865345e-05,ipper,4.955862459610216e-05,mant,4.947305569658056e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997459524311125
pos,orig,0,3,city,14.961945533752441,14.961945533752441,adel,4.4317173887975514e-05,aden,4.178836752544157e-05,ave,4.174055720795877e-05,ety,4.164081110502593e-05,ga,4.1406350646866485e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997891067396267
pos,orig,0,4,name,14.96129035949707,14.96129035949707,olas,4.25337057095021e-05,wa,4.24034042225685e-05,/******/,4.222797360853292e-05,LIED,4.20092765125446e-05,aden,4.19321731897071e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997888934667571
pos,orig,0,5,only,14.959881782531738,14.959881782531738,/******/,4.61358176835347e-05,olas,4.587017247104086e-05,oft,4.547020580503158e-05,ave,4.512832310865633e-05,ipper,4.499599526752718e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997723994856642
pos,orig,0,6,",",14.956615447998047,14.956615447998047,/******/,5.5043987231329083e-05,�,5.163238165550865e-05,ety,5.122267612023279e-05,wa,5.052113192505203e-05,edu,4.925199755234644e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997423278255155
pos,orig,0,7,plain,14.961933135986328,14.961933135986328,peg,4.239257032168098e-05,dabei,4.208693644613959e-05,boy,4.184603312751278e-05,лок,4.129441731492989e-05,RENT,4.1073537431657314e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997913065053581
pos,orig,0,8,text,14.961332321166992,14.961332321166992,adel,4.399909084895626e-05,�,4.223813448334113e-05,tid,4.16192488046363e-05,NA,4.151847679167986e-05,hit,4.149427331867628e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997891307757527
pos,orig,0,9,.,14.958024978637695,14.958024978637695,ety,4.87034885736648e-05,rugu,4.815421925741248e-05,ipper,4.790193270309828e-05,�,4.7569454181939363e-05,wa,4.72042229375802e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997604666823463
pos,orig,0,10,The,14.959918975830078,14.959918975830078,/******/,5.0512007874203846e-05,oft,4.779731898452155e-05,�,4.574644481181167e-05,kit,4.533852552413009e-05,anto,4.473493027035147e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999765870772535
