prompt_id,prompt_variant,layer,pos,token,entropy,entropy_bits,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass
pos,orig,1,0,<s>,15.493803024291992,15.493803024291992, ,0.021469682455062866, of,0.008131284266710281, in,0.007834029383957386, to,0.00658947229385376, (,0.0054384563118219376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9505370752885938
pos,orig,1,1,Give,12.944499969482422,12.944499969482422, of,0.03666967153549194,",",0.03643510490655899, the,0.0250905342400074, and,0.02423904463648796, to,0.023227058351039886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8543385863304138
pos,orig,1,2, the,14.932907104492188,14.932907104492188, the,0.022476211190223694, and,0.014552962966263294,",",0.010451342910528183, to,0.009679342620074749, of,0.00823469739407301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9346054429188371
pos,orig,1,3, city,11.371556282043457,11.371556282043457,",",0.059043195098638535, of,0.05040969327092171, and,0.048690274357795715, the,0.04500285163521767, to,0.03267323970794678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7641807459294796
pos,orig,1,4, name,11.813578605651855,11.813578605651855, of,0.05303012952208519,",",0.05095633119344711, the,0.04162080958485603, to,0.036219216883182526, and,0.02747664973139763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7906968630850315
pos,orig,1,5, only,12.616692543029785,12.616692543029785,",",0.04749447852373123, to,0.041674185544252396, the,0.04016564041376114, and,0.029631271958351135, of,0.023345787078142166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8176886364817619
pos,orig,1,6,",",15.343423843383789,15.343423843383789, the,0.012158581055700779, and,0.011101210489869118, to,0.010255394503474236,",",0.007805557921528816, a,0.0069711473770439625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9517081086523831
pos,orig,1,7, plain,10.914739608764648,10.914739608764648,",",0.05617170035839081, the,0.053246188908815384, of,0.045696064829826355, to,0.04175178334116936, and,0.03930717334151268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7638270892202854
pos,orig,1,8, text,11.43513298034668,11.43513298034668, of,0.06241227313876152,",",0.055505912750959396, the,0.050440046936273575, to,0.040338534861803055, and,0.03957325592637062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7517299763858318
pos,orig,1,9,.,15.243354797363281,15.243354797363281, and,0.013470496982336044, to,0.011216633953154087, the,0.010968604125082493,",",0.009651401080191135, a,0.00727696530520916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9474158985540271
pos,orig,1,10, The,14.781265258789062,14.781265258789062, the,0.019695952534675598, and,0.017329836264252663,",",0.01628687046468258, to,0.011866557411849499, of,0.008196408860385418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9266243744641542
pos,orig,1,11, capital,10.72826099395752,10.72826099395752, the,0.06545506417751312, of,0.05928165838122368, and,0.052120521664619446,",",0.043977949768304825, to,0.03825734183192253, in,0.030628474429249763, ,0.026677357032895088,.,0.026258504018187523, a,0.01654648408293724, that,0.014511574991047382, for,0.010367355309426785, or,0.009878735989332199, is,0.008570174686610699, (,0.007832324132323265, on,0.006885448470711708, as,0.006156248040497303,:,0.005753408186137676, at,0.0055043939501047134, with,0.0041315131820738316," """,0.004026593640446663,0.5571788740344346
pos,orig,1,12, of,13.228828430175781,13.228828430175781, the,0.0388491190969944, and,0.038401566445827484,",",0.03459232673048973, a,0.021112466230988503, to,0.016343576833605766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8507009446620941
pos,orig,1,13, Germany,12.472497940063477,12.472497940063477,",",0.05062153562903404, and,0.03728599101305008, the,0.028755709528923035, in,0.02447458729147911, of,0.024426203221082687, to,0.02106075920164585, ,0.020799946039915085,.,0.015202444046735764, or,0.011477524414658546, a,0.009000713936984539, as,0.008776995353400707, that,0.008466769941151142, for,0.007856628857553005, (,0.007762812077999115, is,0.006481991149485111, on,0.0061343577690422535,:,0.005944126285612583, can,0.005076381377875805, at,0.0035466880071908236, with,0.003207511967048049,0.6936403228901327
pos,orig,1,14, is,14.208761215209961,14.208761215209961,",",0.029815243557095528, and,0.028386445716023445, the,0.020255502313375473, to,0.016021091490983963, a,0.013681626878678799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8918400900438428
pos,orig,1,15, called,11.910277366638184,11.910277366638184,",",0.06266601383686066, the,0.04810464382171631, to,0.043781399726867676, and,0.0302077978849411, of,0.02673952467739582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7885006200522184
pos,orig,1,16, simply,10.56108283996582,10.56108283996582,",",0.08224579691886902, the,0.06503517180681229, to,0.04114660993218422, of,0.03794484585523605, ,0.036845721304416656, and,0.035190433263778687, in,0.03016040101647377, a,0.021165156736969948,.,0.020560909062623978, for,0.01556149497628212, that,0.011273955926299095, as,0.008018373511731625, is,0.007722719572484493, (,0.007542625069618225, on,0.005702073685824871,:,0.005137668922543526, with,0.005041359458118677, an,0.004252186976373196, can,0.0042141578160226345, by,0.004153243266046047,0.5510850949212909
pos,orig,2,0,<s>,15.716378211975098,15.716378211975098, ,0.01598428376019001, of,0.006586845964193344, in,0.005576206836849451, a,0.005192143842577934, (,0.004454001784324646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9622065178118646
pos,orig,2,1,Give,14.269801139831543,14.269801139831543,",",0.025396456941962242, a,0.021823260933160782, of,0.01607576385140419, the,0.015584123320877552, to,0.01467595249414444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9064444424584508
pos,orig,2,2, the,14.280147552490234,14.280147552490234, the,0.0341600738465786, and,0.024554919451475143,",",0.013872602954506874, to,0.012723855674266815, of,0.01257894653826952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.902109601534903
pos,orig,2,3, city,12.096292495727539,12.096292495727539, and,0.05670700967311859,",",0.05025635287165642, the,0.039684224873781204, of,0.039588212966918945, to,0.025027824565768242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7887363750487566
pos,orig,2,4, name,11.63048267364502,11.63048267364502, to,0.06805376708507538, of,0.04591938853263855,",",0.0373712033033371, the,0.03676287829875946, and,0.03128054365515709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7806122191250324
pos,orig,2,5, only,12.782639503479004,12.782639503479004,",",0.04748030751943588, to,0.04053022712469101, and,0.03508371487259865, the,0.030090108513832092, of,0.02433370240032673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8224819395691156
pos,orig,2,6,",",15.132115364074707,15.132115364074707, the,0.015455189161002636, and,0.013270136900246143, to,0.012366055510938168,",",0.01085199136286974, a,0.007890799082815647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9401658279821277
pos,orig,2,7, plain,11.44444751739502,11.44444751739502, of,0.052153319120407104,",",0.04944336414337158, the,0.044256541877985, to,0.04273086041212082, and,0.03812664747238159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7732892669737339
pos,orig,2,8, text,10.917393684387207,10.917393684387207, of,0.09490485489368439, to,0.05571453645825386, the,0.04563257470726967, and,0.038489893078804016,",",0.03602126985788345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7292368710041046
pos,orig,2,9,.,15.492837905883789,15.492837905883789, to,0.008786778897047043,",",0.007914276793599129, the,0.007707558106631041, and,0.007101517170667648, ,0.006696021184325218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9617938478477299
pos,orig,2,10, The,15.11955738067627,15.11955738067627, the,0.014075997285544872, and,0.012905293144285679,",",0.011992670595645905, to,0.008871915750205517, of,0.008326397277414799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9438277259469032
pos,orig,2,11, capital,11.211311340332031,11.211311340332031, of,0.05856570601463318, and,0.05479615554213524, the,0.044338688254356384,",",0.04377860203385353, to,0.04280780255794525, ,0.02623079903423786,.,0.02135057933628559, a,0.019314836710691452, in,0.01779198832809925, that,0.012972692027688026, or,0.01249101385474205, for,0.008725453168153763, is,0.008669630624353886, (,0.006872512400150299,:,0.006677177269011736, as,0.00625262875109911, on,0.0059977141208946705, at,0.004234096501022577," """,0.003963683266192675,".

",0.003911877050995827,0.5902563631534576
pos,orig,2,12, of,12.838085174560547,12.838085174560547, the,0.04374576359987259, and,0.03861827775835991,",",0.038372017443180084, a,0.03174560144543648, ,0.023829804733395576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8236885350197554
pos,orig,2,13, Germany,12.533024787902832,12.533024787902832,",",0.05980956181883812, and,0.04102415218949318, to,0.023626405745744705, of,0.022749749943614006, the,0.022523049265146255, in,0.01911589317023754,.,0.018130911514163017, ,0.016197221353650093, or,0.015091242268681526, as,0.008335948921740055, that,0.008280323818325996, for,0.007641057018190622, is,0.0074796113185584545,:,0.0066909692250192165, (,0.005949422717094421, a,0.005839387886226177, on,0.004929434973746538, can,0.004906797781586647,"
",0.0030914617236703634, at,0.0030674475710839033,0.6955199497751892
pos,orig,2,14, is,14.624626159667969,14.624626159667969,",",0.0327099934220314, and,0.020254988223314285, to,0.014260368421673775, the,0.013346872292459011, a,0.00973417703062296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9096936006098986
pos,orig,2,15, called,12.51309585571289,12.51309585571289, to,0.061403241008520126,",",0.040360115468502045, the,0.038964077830314636, and,0.03311477228999138, of,0.018895825371146202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8072619680315256
pos,orig,2,16, simply,11.242220878601074,11.242220878601074,",",0.06547892093658447, the,0.0597241185605526, to,0.051566291600465775, and,0.039919719099998474, of,0.033712923526763916, in,0.02230890840291977, ,0.021781444549560547, a,0.01804373227059841,.,0.014999634586274624, that,0.01123339869081974, for,0.011123907752335072, is,0.009841246530413628, as,0.00637526111677289,:,0.005517217796295881, (,0.005456095561385155, can,0.005266798660159111, on,0.005243641324341297, with,0.003596377559006214, by,0.003515616524964571, or,0.0031624333932995796,0.6021323115564883
pos,orig,3,0,<s>,5.0932745933532715,5.0932745933532715, ,0.28312376141548157,",",0.12139155715703964, in,0.1008765920996666,.,0.05448411405086517, (,0.0530661940574646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3870577812194824
pos,orig,3,1,Give,14.698480606079102,14.698480606079102, ,0.028846479952335358,",",0.02041674591600895, a,0.01975555159151554, and,0.007713848724961281, to,0.006656323559582233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9166110502555966
pos,orig,3,2, the,13.244072914123535,13.244072914123535, to,0.040235236287117004, and,0.037696998566389084, the,0.022947700694203377,",",0.02193812094628811, ,0.02001767046749592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8571642730385065
pos,orig,3,3, city,12.160807609558105,12.160807609558105, and,0.08092658221721649,",",0.047661203891038895, to,0.0398317314684391, of,0.030347323045134544, the,0.022724132984876633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7785090263932943
pos,orig,3,4, name,9.529834747314453,9.529834747314453, to,0.15908847749233246, and,0.05598544701933861,",",0.037925783544778824, of,0.03605695813894272, ,0.03573864325881004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6752046905457973
