prompt_id,prompt_variant,layer,pos,token,entropy,entropy_bits,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass
pos,orig,0,0,<s>,16.998210906982422,16.998210906982422, Fisher,1.0009579455072526e-05, emb,9.80105596681824e-06,uch,9.590456102159806e-06,ramento,9.510299605608452e-06,aks,9.474791113461833e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999516138177569
pos,orig,0,1,Give,16.999095916748047,16.999095916748047, Chuck,9.111342478718143e-06,amo,9.076015885511879e-06,illeurs,9.035174116434064e-06,nab,8.964381777332164e-06, Institution,8.960235390986782e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999954852850351
pos,orig,0,2, the,16.998661041259766,16.998661041259766, franchise,9.378072718391195e-06,fy,9.338978088635486e-06,픽,9.325584869657177e-06, correl,9.257561032427475e-06, election,9.235945071850438e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999953463858219
pos,orig,0,3, city,16.998701095581055,16.998701095581055,rien,9.490104275755584e-06, patronage,9.352147571917158e-06,efa,9.28795361687662e-06,ziehungsweise,9.240731742465869e-06,istro,9.22763592825504e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999534014268647
pos,orig,0,4, name,16.998567581176758,16.998567581176758,chter,9.519897503196262e-06, Phil,9.45568535826169e-06,術,9.336313269159291e-06,etes,9.311410394730046e-06, conj,9.294351002608892e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999953082342472
pos,orig,0,5, only,16.998756408691406,16.998756408691406,egy,9.388140824739821e-06,unte,9.354783287562896e-06,phal,9.304701052315067e-06, patron,9.216008038492873e-06, Cl,9.183027032122482e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999535533397648
pos,orig,0,6,",",16.998626708984375,16.998626708984375, election,9.76660885498859e-06, hyper,9.316795512859244e-06,fold,9.246331501344685e-06,abilities,9.228809176420327e-06,pron,9.22685103432741e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999532146039201
pos,orig,0,7, plain,16.998489379882812,16.998489379882812,",",9.52759637584677e-06, ,9.526415851723868e-06, surge,9.458828571951017e-06, c,9.444203897146508e-06, “,9.443364433536772e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999525995908698
pos,orig,0,8, text,16.998493194580078,16.998493194580078, spraw,9.567429515300319e-06, AT,9.382602911500726e-06, procedure,9.379315997648519e-06, special,9.330643479188439e-06, unused,9.299908015236724e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999530401000811
pos,orig,0,9,.,16.998464584350586,16.998464584350586, election,9.958956979971845e-06,oper,9.485204827797133e-06, terms,9.460175533604342e-06,乃,9.436103027837817e-06,vist,9.422722541785333e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999952236837089
