prompt_id,prompt_variant,layer,pos,token,entropy,entropy_bits,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass
pos,orig,0,0,Give,17.032512664794922,17.032512664794922,音响,5.5500026064692065e-05,窟,5.167619019630365e-05,翥,5.0503804231993854e-05,隍,4.8734767915448174e-05,悟,4.646660090656951e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999747118610685
pos,orig,0,1, the,17.032522201538086,17.032522201538086,音响,5.5618511396460235e-05,窟,5.096167660667561e-05,翥,4.9935195420403033e-05,隍,4.936902769259177e-05, exchanged,4.714469105238095e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997469708978315
pos,orig,0,2, city,17.032203674316406,17.032203674316406,音响,5.679405512637459e-05,窟,5.273222268442623e-05,翥,5.092092033009976e-05,隍,5.0343263865215704e-05, exchanged,4.700541103375144e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997422041269601
pos,orig,0,3, name,17.032197952270508,17.032197952270508,音响,5.54429498151876e-05,窟,5.150159995537251e-05,翥,5.0531147280707955e-05,隍,5.012325709685683e-05, exchanged,4.7017318138387054e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997453837277135
pos,orig,0,4, only,17.032283782958984,17.032283782958984,音响,5.52713536308147e-05,窟,5.2201226935721934e-05,翥,5.0109185394831e-05,隍,4.958578574587591e-05, exchanged,4.657413956010714e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997462583087326
pos,orig,0,5,",",17.03251838684082,17.03251838684082,音响,5.549251363845542e-05,窟,5.1038139645243064e-05,翥,5.014425914851017e-05,隍,4.872349018114619e-05, exchanged,4.684061059379019e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997477609867929
pos,orig,0,6, plain,17.032201766967773,17.032201766967773,音响,5.522653373191133e-05,窟,5.158080966793932e-05,翥,5.005206185160205e-05,隍,4.909515337203629e-05, exchanged,4.6465582272503525e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999747579859104
pos,orig,0,7, text,17.032243728637695,17.032243728637695,音响,5.64508191018831e-05,窟,5.0915237807203084e-05,翥,5.075820445199497e-05,隍,4.989112858311273e-05, exchanged,4.607865048456006e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997459059595712
pos,orig,0,8,.,17.032459259033203,17.032459259033203,音响,5.590560976997949e-05,窟,5.0823244237108156e-05,翥,5.005887942388654e-05,隍,4.8990114009939134e-05, exchanged,4.688471744884737e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997473374351102
pos,orig,0,9, The,17.032394409179688,17.032394409179688,音响,5.58723731955979e-05,窟,5.198193321120925e-05,隍,5.012410838389769e-05,翥,4.9854621465783566e-05, exchanged,4.7032015572767705e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997451349481707
