layer,kl_bits_baseline,kl_bits_tuned,kl_bits_rot_only,kl_bits_temp_only,delta_kl_bits_tuned,delta_kl_bits_rot_only,delta_kl_bits_temp_only,delta_kl_bits_interaction,answer_rank_baseline,answer_rank_tuned,answer_rank_rot_only,answer_rank_temp_only,rank_shift_tuned,rank_shift_rot_only,rank_shift_temp_only,entropy_bits_baseline,entropy_bits_tuned
1,12.784612403434295,9.207667011855548,11.903729648465852,12.786277195494646,3.5769453915787466,0.880882754968443,-0.0016647920603514166,2.697727428670655,103210,49936,49936,103210,53274,53274,0,17.211400985717773,12.141746520996094
2,12.772726338467864,9.110961855205995,11.869007039187254,12.767261417754048,3.6617644832618694,0.9037192992806098,0.005464920713816213,2.7525802632674434,60382,44859,44859,60382,15523,15523,0,17.210529327392578,12.067290306091309
3,12.766856914559218,9.122977939056478,11.834057412809518,12.760631142597985,3.6438789755027408,0.9327995017497006,0.006225771961233306,2.704853701791807,57101,44098,44098,57101,13003,13003,0,17.208303451538086,12.163429260253906
4,12.762346841522993,9.104457471350363,11.875824431467455,12.755895428323827,3.6578893701726294,0.8865224100555373,0.006451413199165756,2.7649155469179263,44884,43923,43923,44884,961,961,0,17.205886840820312,12.003312110900879
5,12.741878154347905,9.067786642602792,11.911534909092609,12.722693145678857,3.6740915117451127,0.8303432452552961,0.01918500866904793,2.8245632578207687,9896,36274,36274,9896,-26378,-26378,0,17.203651428222656,11.773666381835938
6,12.728192462922845,9.042690934188892,11.85587857155099,12.710313146539148,3.685501528733953,0.8723138913718547,0.017879316383696775,2.7953083209784015,5242,31165,31165,5242,-25923,-25923,0,17.19634246826172,11.913717269897461
7,12.624254403908605,8.483732184411487,11.668651378515703,12.58161508924549,4.140522219497118,0.955603025392902,0.04263931466311455,3.1422798794411015,1810,15154,15154,1810,-13344,-13344,0,17.14625358581543,10.91651725769043
8,12.612613242237003,8.43384689670222,11.684334820413184,12.579258238998067,4.1787663455347825,0.9282784218238191,0.033355003238936476,3.217132920472027,1999,14711,14711,1999,-12712,-12712,0,17.132240295410156,11.007494926452637
9,12.613764838067182,8.4742862092955,11.72351797172456,12.604058137252483,4.139478628771682,0.890246866342622,0.009706700814698266,3.239525061614362,17918,28011,28012,17918,-10093,-10094,0,17.11884117126465,11.033561706542969
10,12.652535231016486,9.109211759750815,11.824759342773271,12.792840053451572,3.543323471265671,0.8277758882432149,-0.1403048224350858,2.855852405457542,39855,37710,37710,39855,2145,2145,0,17.019901275634766,11.502645492553711
11,12.639313204818153,9.029847269822456,11.873091971110547,12.639471428856947,3.609465934995697,0.766221233707606,-0.00015822403879361957,2.8434029253268847,20991,31708,31708,20991,-10717,-10717,0,17.12820816040039,11.670074462890625
12,12.62093857839997,9.131293644190997,11.84947806521648,12.62231581546808,3.4896449342089735,0.7714605131834897,-0.001377237068108883,2.7195616580935926,18554,27420,27420,18554,-8866,-8866,0,17.11691665649414,11.779657363891602
13,12.588257747152417,9.067911158042017,11.843041786490591,12.545789039278958,3.5203465891103995,0.7452159606618256,0.04246870787345891,2.732661920575115,17829,28781,28781,17829,-10952,-10952,0,17.125600814819336,11.672480583190918
