fact_key,fact_index,prompt_id,prompt_variant,layer,lens,p_top1,top1_token_id,top1_token_str,p_answer,answer_rank,kl_norm_vs_raw_bits
Germany→Berlin,0,pos,orig,34,norm,2.606377711344976e-05,5042, simply,1.3859407772542909e-05,623,0.008452344678821794
Germany→Berlin,0,pos,orig,34,raw,1.6474859876325354e-05,5042, simply,1.0777632269309834e-05,746,0.008452344678821794
Germany→Berlin,0,pos,orig,35,norm,3.328318416606635e-05,5042, simply,1.4726138033438474e-05,440,0.009848548880453861
Germany→Berlin,0,pos,orig,35,raw,1.7369957276969217e-05,5042, simply,1.1010315574822016e-05,416,0.009848548880453861
Germany→Berlin,0,pos,orig,36,norm,2.3489570594392717e-05,5042, simply,1.3009122994844802e-05,661,0.005090626002888442
Germany→Berlin,0,pos,orig,36,raw,1.6472049537696876e-05,5042, simply,1.06261286418885e-05,1037,0.005090626002888442
Germany→Berlin,0,pos,orig,37,norm,2.6667039492167532e-05,5042, simply,1.3028643479628954e-05,1002,0.005610412326085089
Germany→Berlin,0,pos,orig,37,raw,1.7771879356587306e-05,5042, simply,1.0571954589977395e-05,1721,0.005610412326085089
Germany→Berlin,0,pos,orig,38,norm,2.897492959164083e-05,5042, simply,2.501689778000582e-05,3,0.004690521129993486
Germany→Berlin,0,pos,orig,38,raw,2.03387771762209e-05,5042, simply,1.7865113477455452e-05,3,0.004690521129993486
Germany→Berlin,0,pos,orig,39,norm,2.6211884687654674e-05,5042, simply,2.4237846446339972e-05,2,0.003885650721545916
Germany→Berlin,0,pos,orig,39,raw,1.951657213794533e-05,5042, simply,1.8250673747388646e-05,2,0.003885650721545916
Germany→Berlin,0,pos,orig,40,norm,2.3916558347991668e-05,20437, Berlin,2.3916558347991668e-05,1,0.0021652125324349756
Germany→Berlin,0,pos,orig,40,raw,1.9851895558531396e-05,20437, Berlin,1.9851895558531396e-05,1,0.0021652125324349756
Germany→Berlin,0,pos,orig,41,norm,2.487628262315411e-05,330," """,2.333082738914527e-05,2,0.002732788198836511
Germany→Berlin,0,pos,orig,41,raw,2.0270443201297894e-05,20437, Berlin,2.0270443201297894e-05,1,0.002732788198836511
Germany→Berlin,0,pos,orig,42,norm,2.3176675313152373e-05,330," """,2.1247366021270864e-05,2,0.002517058300919513
Germany→Berlin,0,pos,orig,42,raw,2.3252978280652314e-05,20437, Berlin,2.3252978280652314e-05,1,0.002517058300919513
Germany→Berlin,0,pos,orig,43,norm,2.2633510525338352e-05,20437, Berlin,2.2633510525338352e-05,1,0.003073752201762403
Germany→Berlin,0,pos,orig,43,raw,2.4089895305223763e-05,20437, Berlin,2.4089895305223763e-05,1,0.003073752201762403
Germany→Berlin,0,pos,orig,44,norm,3.121044937870465e-05,20437, Berlin,3.121044937870465e-05,1,0.0029806981669227147
Germany→Berlin,0,pos,orig,44,raw,2.5984403691836633e-05,20437, Berlin,2.5984403691836633e-05,1,0.0029806981669227147
Germany→Berlin,0,pos,orig,76,norm,0.00011571095092222095,20437, Berlin,0.00011571095092222095,1,0.2954567136386764
Germany→Berlin,0,pos,orig,76,raw,0.010928839445114136,20437, Berlin,0.010928839445114136,1,0.2954567136386764
Germany→Berlin,0,pos,orig,77,norm,0.00014827973791398108,20437, Berlin,0.00014827973791398108,1,0.46297635021810113
Germany→Berlin,0,pos,orig,77,raw,0.02674698643386364,20437, Berlin,0.02674698643386364,1,0.46297635021810113
Germany→Berlin,0,pos,orig,78,norm,0.00011933664791285992,20437, Berlin,0.00011933664791285992,1,0.7750258855185272
Germany→Berlin,0,pos,orig,78,raw,0.048860643059015274,20437, Berlin,0.048860643059015274,1,0.7750258855185272
Germany→Berlin,0,pos,orig,79,norm,5.0012211431749165e-05,20437, Berlin,5.0012211431749165e-05,1,1.243740866839293
Germany→Berlin,0,pos,orig,79,raw,0.07248178124427795,330," """,0.049594487994909286,2,1.243740866839293
Germany→Berlin,0,pos,orig,80,norm,0.47833800315856934,20437, Berlin,0.47833800315856934,1,0.1763690038795705
Germany→Berlin,0,pos,orig,80,raw,0.32918107509613037,330," """,0.2772580087184906,2,0.1763690038795705
Germany→Berlin,0,pos,no_filler,34,norm,2.2688518583890982e-05,70577, quits,1.6034346117521636e-05,113,0.010263176882045505
Germany→Berlin,0,pos,no_filler,34,raw,1.4513016139972024e-05,70577, quits,1.146380054706242e-05,109,0.010263176882045505
Germany→Berlin,0,pos,no_filler,35,norm,2.2713004000252113e-05,55039,ieri,1.423242883902276e-05,624,0.011018709431623192
Germany→Berlin,0,pos,no_filler,35,raw,1.3696194400836248e-05,2785,ling,1.0766106242954265e-05,492,0.011018709431623192
Germany→Berlin,0,pos,no_filler,36,norm,2.0092165868845768e-05,55039,ieri,1.3262127140478697e-05,513,0.006115580123958397
Germany→Berlin,0,pos,no_filler,36,raw,1.3813937584927771e-05,70577, quits,1.0812579603225458e-05,498,0.006115580123958397
Germany→Berlin,0,pos,no_filler,37,norm,2.4142662368831225e-05,2785,ling,1.3402192962530535e-05,797,0.008019673278648614
Germany→Berlin,0,pos,no_filler,37,raw,1.5439312846865505e-05,24277, Kon,1.0706421562645119e-05,788,0.008019673278648614
Germany→Berlin,0,pos,no_filler,38,norm,3.564576036296785e-05,6063, German,2.9641434593941085e-05,3,0.007249386498687143
Germany→Berlin,0,pos,no_filler,38,raw,2.1239087800495327e-05,6063, German,1.894936758617405e-05,3,0.007249386498687143
Germany→Berlin,0,pos,no_filler,39,norm,3.701877358253114e-05,6063, German,3.0328215871122666e-05,2,0.006303712348821561
Germany→Berlin,0,pos,no_filler,39,raw,2.317366852366831e-05,6063, German,2.0197192498017102e-05,2,0.006303712348821561
Germany→Berlin,0,pos,no_filler,40,norm,3.175804886268452e-05,6063, German,2.805654912663158e-05,2,0.003575524685895631
