fact_key,fact_index,prompt_id,prompt_variant,layer,pos,token,entropy,entropy_bits,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass,copy_collapse,copy_strict@0.95,copy_strict@0.7,copy_strict@0.8,copy_strict@0.9,copy_soft_k1@0.5,copy_soft_k2@0.5,copy_soft_k3@0.5,entropy_collapse,is_answer,p_top1,p_top5,p_answer,answer_minus_uniform,semantic_margin_ok,teacher_entropy_bits,kl_to_final_bits,kl_to_final_bits_norm_temp,answer_rank,topk_jaccard_raw_norm@50,topk_jaccard_consecutive@50,cos_to_final,cos_to_answer,cos_to_prompt_max,geom_crossover,echo_mass_prompt,answer_mass,answer_minus_echo_mass,mass_ratio_ans_over_prompt,topk_prompt_mass@50,control_margin,resid_norm_ratio,delta_resid_cos,answer_logit_gap,answer_vs_top1_gap
Germany→Berlin,0,pos,orig,0,15,⟨NEXT⟩,17.21284294128418,17.21284294128418,CLICK,7.252558589243563e-06,称之,7.20872230886016e-06,oreal,7.197297236416489e-06, CLICK,7.172615369199775e-06,flix,7.167594503698638e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999640012119926,False,False,False,False,False,False,False,False,False,False,7.252558589243563e-06,3.599878982640803e-05,6.74042894388549e-06,1.5871032551986301e-07,False,3.1225837383336885,12.787859435882584,12.785944237082576,14864,0.6949152542372882,,0.1266356110572815,0.02559276670217514,0.031943269073963165,False,9.17772981665621e-05,6.74042894388549e-06,-8.503686922267661e-05,0.07344251395523536,0.0,,0.41076263785362244,0.9923043847084045,,-0.07323075830936432
Germany→Berlin,0,pos,orig,1,15,⟨NEXT⟩,17.211400985717773,17.211400985717773,apr,8.218719813157804e-06,标配,8.16732153907651e-06,为广大,8.15126441011671e-06, Atari,8.10763503977796e-06, hend,8.08766435511643e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999592673948428,False,False,False,False,False,False,False,False,False,False,8.218719813157804e-06,4.073260788572952e-05,6.44022202322958e-06,-1.414965951360469e-07,False,3.1225837383336885,12.784612403434295,12.785026537657572,103210,0.2987012987012987,0.0,0.06883145868778229,-0.0054090507328510284,0.0067082359455525875,False,8.894709435480763e-05,6.44022202322958e-06,-8.250687233157805e-05,0.07240427206388472,0.0,,0.12322485446929932,0.8263189196586609,,-0.24385148473083973
Germany→Berlin,0,pos,orig,2,15,⟨NEXT⟩,17.210529327392578,17.210529327392578,财经,8.68099868966965e-06,湾,8.551200153306127e-06,为广大,8.461161087325308e-06, сост,8.460321623715572e-06,因为他,8.45990507514216e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999573864133708,False,False,False,False,False,False,False,False,False,False,8.68099868966965e-06,4.261358844814822e-05,6.665607998002088e-06,8.388937963646041e-08,False,3.1225837383336885,12.772726338467864,12.783076942327392,60382,0.21951219512195122,0.17647058823529413,-0.032972302287817,0.0011148718185722828,0.04205479845404625,False,9.214647752742167e-05,6.665607998002088e-06,-8.548086952941958e-05,0.07233630455069706,0.0,,0.1306724101305008,0.8284883499145508,,-0.2641753973439336
Germany→Berlin,0,pos,orig,3,15,⟨NEXT⟩,17.208303451538086,17.208303451538086,-looking,9.395150300406385e-06,态,9.390066225023475e-06,财经,9.316077012044843e-06,-minded,9.271112503483891e-06,国防,9.219446837960277e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999534081471211,False,False,False,False,False,False,False,False,False,False,9.395150300406385e-06,4.659185287891887e-05,6.722308626194717e-06,1.4059000782909008e-07,False,3.1225837383336885,12.766856914559218,12.804331246251621,57101,0.2987012987012987,0.20481927710843373,-0.05323275178670883,0.001246508676558733,0.02868473529815674,False,9.207699804392178e-05,6.722308626194717e-06,-8.535468941772706e-05,0.07300667661115019,0.0,,0.15632973611354828,0.88042813539505,,-0.3347620186395943
Germany→Berlin,0,pos,orig,4,15,⟨NEXT⟩,17.205886840820312,17.205886840820312,院子,1.0730628673627507e-05,湾,1.0323797141609248e-05,财经,1.0212324013991747e-05,tec,1.0071125871036202e-05,简单,1.005889498628676e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999486032293134,False,False,False,False,False,False,False,False,False,False,1.0730628673627507e-05,5.1396771596046165e-05,6.8928225118725095e-06,3.111038935068822e-07,False,3.1225837383336885,12.762346841522993,12.838796569484527,44884,0.3333333333333333,0.21951219512195122,-0.07941755652427673,0.003763759508728981,0.028326574712991714,False,9.327270345238503e-05,6.8928225118725095e-06,-8.637988094051252e-05,0.07389888314439237,0.0,,0.16459234058856964,0.8942110538482666,,-0.44262149557471275
Germany→Berlin,0,pos,orig,5,15,⟨NEXT⟩,17.203651428222656,17.203651428222656, (?),1.2270187653484754e-05,mente,1.134033482230734e-05,kowski,1.1037066542485263e-05,-minded,1.0959373867081013e-05,tics,1.0861703231057618e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999435313338836,False,False,False,False,False,False,False,False,False,False,1.2270187653484754e-05,5.64686706638895e-05,7.769468538754154e-06,1.1877499203885267e-06,False,3.1225837383336885,12.741878154347905,12.77939513773772,9896,0.3888888888888889,0.19047619047619047,-0.15003810822963715,0.01667638123035431,0.017496608197689056,False,9.32731213652005e-05,7.769468538754154e-06,-8.550365282644634e-05,0.08329715064625474,0.0,,0.14156611263751984,0.8405293226242065,,-0.45697071403265
Germany→Berlin,0,pos,orig,6,15,⟨NEXT⟩,17.19634246826172,17.19634246826172,ly,1.4352421203511767e-05, (?),1.434144451195607e-05,tion,1.3502034562407061e-05,tics,1.341011648037238e-05,此项,1.3144650438334793e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999312493328034,False,False,False,False,False,False,False,False,False,False,1.4352421203511767e-05,6.875066901557148e-05,8.600102773925755e-06,2.018384155560128e-06,False,3.1225837383336885,12.728192462922845,12.88788179390198,5242,0.3888888888888889,0.2987012987012987,-0.11990147829055786,0.023030415177345276,0.01383908186107874,False,9.556536315358244e-05,8.600102773925755e-06,-8.696526037965668e-05,0.08999089732131726,0.0,,0.14779463410377502,0.8177786469459534,,-0.5121445506811142
Germany→Berlin,0,pos,orig,7,15,⟨NEXT⟩,17.14625358581543,17.14625358581543, (?),4.8344285460188985e-05,ly,4.531154263531789e-05,-sized,3.403655864531174e-05,-looking,3.096511500189081e-05,-,3.073579864576459e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998106066996115,False,False,False,False,False,False,False,False,False,False,4.8344285460188985e-05,0.0001893932931125164,1.286098631680943e-05,6.2792676984438034e-06,False,3.1225837383336885,12.624254403908605,13.386378322942056,1810,0.17647058823529413,0.16279069767441862,-0.3044215440750122,0.022363213822245598,0.02849747985601425,False,0.00012941224258611328,1.286098631680943e-05,-0.00011655125626930385,0.09937921390271603,0.0,,0.22766663134098053,0.729152500629425,,-1.3241495788097382
Germany→Berlin,0,pos,orig,8,15,⟨NEXT⟩,17.132240295410156,17.132240295410156, (?),5.0455055315978825e-05,ly,4.1972398321377113e-05,-sized,3.368054240127094e-05,est,3.364689109730534e-05,_,3.3604046620894223e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998066410662432,False,False,False,False,False,False,False,False,False,False,5.0455055315978825e-05,0.00019335893739480525,1.3371961358643603e-05,6.790242740277975e-06,False,3.1225837383336885,12.612613242237003,13.11782947741159,1999,0.20481927710843373,0.4084507042253521,-0.28199493885040283,0.02227408066391945,0.031767528504133224,False,0.0001402855409651238,1.3371961358643603e-05,-0.0001269135796064802,0.09531891845539171,0.0,,0.23570409417152405,0.7851966023445129,,-1.327922761440277
Germany→Berlin,0,pos,orig,9,15,⟨NEXT⟩,17.11884117126465,17.11884117126465, (?),5.613356188405305e-05,ifiable,4.069346687174402e-05,ly,3.787286186707206e-05,-,3.6863340937998146e-05,-sized,3.532631308189593e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997931104553572,False,False,False,False,False,False,False,False,False,False,5.613356188405305e-05,0.00020688955555669963,9.404357115272433e-06,2.8226384969068053e-06,False,3.1225837383336885,12.613764838067182,13.137787720078917,17918,0.21951219512195122,0.3888888888888889,-0.2731471061706543,0.0032388607505708933,0.03186160326004028,False,0.00013983963754071738,9.404357115272433e-06,-0.00013043528042544494,0.067250530894742,0.0,,0.22778229415416718,0.8233233690261841,,-1.7865607514977455
