layer,kl_bits_baseline,kl_bits_tuned,kl_bits_rot_only,kl_bits_temp_only,delta_kl_bits_tuned,delta_kl_bits_rot_only,delta_kl_bits_temp_only,delta_kl_bits_interaction,answer_rank_baseline,answer_rank_tuned,answer_rank_rot_only,answer_rank_temp_only,rank_shift_tuned,rank_shift_rot_only,rank_shift_temp_only,entropy_bits_baseline,entropy_bits_tuned
1,44.05409072839292,43.543566420682104,43.72365014233115,43.89565755869569,0.510524307710817,0.3304405860617692,0.15843316969723276,0.02165055195181509,211226,82818,82818,211226,128408,128408,0,8.75646686553955,8.969462394714355
2,44.04115763304804,43.58508165673918,43.76896275531928,43.88474147588012,0.45607597630885977,0.27219487772875794,0.1564161571679179,0.02746494141218392,179254,59343,59343,179254,119911,119911,0,8.761448860168457,8.974759101867676
3,18.65739341342507,18.22943040915685,17.8170283951387,23.622510530055045,0.4279630042682179,0.84036501828637,-4.965117116629976,4.552715102611824,102875,26270,26270,102875,76605,76605,0,0.838631272315979,1.4224966764450073
4,18.154135028747906,17.38964187671617,17.76543222401865,19.806747965696392,0.7644931520317364,0.388702804729256,-1.6526129369484863,2.0284032842509667,100262,31035,31035,100262,69227,69227,0,0.5906863212585449,2.2864267826080322
5,44.37621836104258,44.19353150999007,44.32615352344581,44.277604884899056,0.18268685105250881,0.05006483759677138,0.09861347614352667,0.03400853731221076,99170,57399,57399,99170,41771,41771,0,8.522544860839844,8.63794231414795
6,44.34242720980106,44.136788242095,44.28678187914909,44.22989276996609,0.20563896770605794,0.05564533065196997,0.1125344398349668,0.037459197219121165,135267,73738,73738,135267,61529,61529,0,8.56270694732666,8.69106388092041
7,44.35826062057009,44.16692235424858,44.31562268176818,44.253004486519636,0.19133826632151596,0.042637938801910025,0.10525613405045675,0.043444193469149184,150300,83673,83673,150300,66627,66627,0,8.549454689025879,8.666085243225098
8,44.3538771267649,44.16954474570893,44.322226815561315,44.24821924124203,0.18433238105596672,0.031650311203584636,0.10565788552286648,0.047024184329515606,184381,115776,115776,184381,68605,68605,0,8.53386402130127,8.645237922668457
9,44.42339939354968,44.21186348471084,44.35165923849937,44.31174825660955,0.21153590883884021,0.07174015505030695,0.11165113694013229,0.028144616848400972,141368,80467,80467,141368,60901,60901,0,8.522858619689941,8.670076370239258
10,44.53747754965879,44.34710238618211,44.61505410794878,44.358315655018366,0.1903751634766806,-0.07757655828999077,0.17916189464042276,0.08878982712624861,190190,143384,143384,190190,46806,46806,0,8.352091789245605,8.482789039611816
11,44.37979560018053,44.192722503600415,44.38528253467366,44.2525779695455,0.1870730965801144,-0.005486934493127649,0.12721763063503033,0.06534240043821171,246323,225612,225612,246323,20711,20711,0,8.490885734558105,8.603599548339844
12,44.5604819490382,44.36271565915804,44.65457159353343,44.367071635739094,0.19776628988015688,-0.09408964449523438,0.19341031329910408,0.09844562107628718,231119,205999,205999,231119,25120,25120,0,8.32037353515625,8.464315414428711
13,44.65882575638518,44.425314592349686,44.78704501397883,44.41156148372549,0.233511164035491,-0.12821925759365627,0.24726427265968454,0.11446614896946272,215626,201703,201695,225688,13923,13931,-10062,8.222554206848145,8.401851654052734
14,45.00186647937976,44.64378208994891,45.18973757545987,44.58091073623829,0.3580843894308501,-0.18787109608011576,0.42095574314146944,0.1249997423694964,1193,233385,2006,238804,-232192,-813,-237611,7.861551284790039,8.174115180969238
15,45.051100296807554,44.671764355174886,45.23594174651007,44.60367023232287,0.37933594163266804,-0.18484144970251748,0.4474300644846849,0.1167473268505006,1208,227460,2030,234347,-226252,-822,-233139,7.774316787719727,8.107094764709473
16,44.883715774098214,44.58528322315382,45.03124937131436,44.541145595636394,0.2984325509443906,-0.147533597216146,0.3425701784618198,0.10339596969871678,1298,212727,2664,227691,-211429,-1366,-226393,7.966145038604736,8.228841781616211
17,45.06386278536278,44.692674693797386,45.21120651373238,44.634929798943695,0.37118809156539356,-0.14734372836959864,0.4289329864190847,0.08959883351590747,1029,216112,1093,218901,-215083,-64,-217872,7.79228401184082,8.12643814086914
18,45.51328509687506,44.95573935655714,45.62247344225484,44.89435393294998,0.55754574031792,-0.10918834537977773,0.6189311639250761,0.04780292177262169,835,3249,844,1754,-2414,-9,-919,7.311870574951172,7.842979907989502
19,45.31238734688799,44.82993611124281,45.44209253458509,44.766264006309775,0.4824512356451791,-0.12970518769710537,0.5461233405782124,0.06603308276407205,876,28692,889,14613,-27816,-13,-13737,7.523580551147461,7.976486682891846
20,46.65169467324547,45.76589871790718,46.65632307034549,45.75077800324332,0.8857959553382955,-0.00462839710002072,0.9009166700021538,-0.010492317563837616,688,815,695,804,-127,-7,-116,6.206559181213379,7.047674179077148
21,46.40326917372716,45.52805634279236,46.44010923340318,45.49172810348531,0.8752128309347995,-0.03684005967601678,0.9115410702418529,0.000511820368963356,700,833,702,825,-133,-2,-125,6.459065914154053,7.297908306121826
22,46.435910104999714,45.631127609246256,46.47161095159642,45.59787854732025,0.8047824957534573,-0.03570084659670414,0.8380315576794644,0.002451784670697066,687,810,693,803,-123,-6,-116,6.39424467086792,7.171763896942139
23,45.79443407933834,45.124637326594076,45.87231332709384,45.071776739024884,0.6697967527442614,-0.07787924775550437,0.7226573403134537,0.025018660186312047,787,1083,796,1037,-296,-9,-250,7.012849807739258,7.653916358947754
24,46.29641428895429,45.45386990651618,46.30273224361638,45.429170446129866,0.8425443824381063,-0.006317954662094394,0.867243842824422,-0.01838150572422137,718,855,723,850,-137,-5,-132,6.489943981170654,7.313420295715332
