pos_frac,pos_index,layer,kl_bits_baseline,kl_bits_tuned,delta_kl_bits_tuned,answer_rank_baseline,answer_rank_tuned,rank_shift_tuned,entropy_bits_baseline,entropy_bits_tuned
0.2,3,1,8.79756199812232,2.9991046665631145,5.798457331559206,,,,16.96831703186035,11.371556282043457
0.4,6,1,9.641154786800087,6.078513536258901,3.5626412505411853,,,,16.869726181030273,15.343423843383789
0.6,10,1,8.615027867663777,5.755911919423462,2.859115948240315,,,,16.893299102783203,14.781265258789062
0.8,13,1,10.673230929795041,5.312172602626295,5.361058327168746,,,,16.96502685546875,11.232195854187012
0.92,15,1,9.504719574009412,5.3288676464761515,4.175851927533261,,,,16.968013763427734,11.868385314941406
0.98,16,1,9.886943448315368,5.2425447384938835,4.644398709821484,76646,21750,54896,16.974491119384766,10.601680755615234
0.2,3,2,9.000126603961553,3.392075048790882,5.60805155517067,,,,16.932994842529297,12.096292495727539
0.4,6,2,9.72307562685087,6.0654607409890176,3.657614885861852,,,,16.836013793945312,15.132115364074707
0.6,10,2,8.80332066520381,6.005407151030139,2.797913514173671,,,,16.83131980895996,15.11955738067627
0.8,13,2,10.830547588122874,5.348742993505763,5.4818045946171114,,,,16.931644439697266,11.699539184570312
0.92,15,2,9.654519214633334,5.608978885624124,4.04554032900921,,,,16.936925888061523,12.467259407043457
0.98,16,2,10.047505763230282,5.502763432347158,4.544742330883124,95405,26767,68638,16.94428253173828,11.23917293548584
0.2,3,3,9.590124782566678,3.9607071347487155,5.629417647817962,,,,16.73042869567871,12.160807609558105
0.4,6,3,10.502181112830513,7.97046096980109,2.531720143029423,,,,16.434106826782227,15.452256202697754
0.6,10,3,10.14052429977594,9.464696459431224,0.6758278403447164,,,,16.129039764404297,15.303175926208496
0.8,13,3,11.540160388333684,6.417664699621567,5.1224956887121165,,,,16.651920318603516,12.727139472961426
0.92,15,3,9.98402903058863,5.7019406678949975,4.282088362693632,,,,16.785202026367188,10.27248477935791
0.98,16,3,10.359053711129466,5.3053679370622575,5.053685774067208,56263,15743,40520,16.809938430786133,9.829100608825684
0.2,3,4,9.407993779441755,3.832361641889327,5.575632137552428,,,,16.793428421020508,12.016860961914062
0.4,6,4,9.948567583841925,6.1948267788986255,3.753740804943299,,,,16.704978942871094,14.384552001953125
0.6,10,4,9.609281586080984,8.086136500771415,1.5231450853095687,,,,16.444538116455078,15.602886199951172
0.8,13,4,11.401492840734813,6.426567897491433,4.97492494324338,,,,16.72427749633789,13.091145515441895
0.92,15,4,9.841569609503534,5.512176042828879,4.329393566674654,,,,16.84430503845215,10.425203323364258
0.98,16,4,10.181313769046374,5.123569204418803,5.057744564627572,33721,10209,23512,16.87015151977539,9.368544578552246
0.2,3,5,9.075836806524379,2.930859198978338,6.144977607546041,,,,16.8741397857666,10.340487480163574
0.4,6,5,9.308757726102105,4.838864652631587,4.469893073470518,,,,16.88810920715332,10.138959884643555
0.6,10,5,9.346711545425112,7.2573039511212984,2.0894075943038137,,,,16.575843811035156,15.459222793579102
0.8,13,5,11.465034926783792,7.303918816741758,4.161116110042034,,,,16.71265411376953,14.314555168151855
0.92,15,5,9.684598980269238,5.307396300446533,4.377202679822704,,,,16.889625549316406,9.80135726928711
0.98,16,5,10.087709803557178,5.063744351385572,5.023965452171606,49098,15595,33503,16.903316497802734,8.989911079406738
0.2,3,6,8.96599492707132,2.7689628146406804,6.197032112430639,,,,16.8771915435791,9.324706077575684
0.4,6,6,9.102919946451651,4.790261667567154,4.312658278884498,,,,16.913721084594727,9.302165985107422
0.6,10,6,9.026549330509512,6.582064979373136,2.444484351136376,,,,16.69968032836914,14.740989685058594
0.8,13,6,11.368059413407082,7.206803653452547,4.161255759954535,,,,16.74696159362793,14.396684646606445
0.92,15,6,9.64193902768802,5.26970458268344,4.37223444500458,,,,16.901851654052734,11.062994956970215
0.98,16,6,10.040906444951375,5.234643511547945,4.80626293340343,77665,24889,52776,16.909854888916016,9.600696563720703
0.2,3,7,8.816817863643523,2.6111671846301956,6.205650679013328,,,,16.87697982788086,8.787336349487305
0.4,6,7,9.03999768587638,4.496669740313951,4.543327945562428,,,,16.904695510864258,9.49821662902832
0.6,10,7,8.664441234979074,6.281088461057187,2.383352773921888,,,,16.81639862060547,13.733160972595215
0.8,13,7,11.172977428741588,6.80514849132151,4.367828937420078,,,,16.793167114257812,14.009195327758789
0.92,15,7,9.551109486322543,5.213891740929537,4.337217745393007,,,,16.894174575805664,10.881515502929688
0.98,16,7,10.038907318617746,5.7674639940819175,4.271443324535828,51626,17894,33732,16.898488998413086,11.148944854736328
0.2,3,8,8.799140798857241,2.4752124913660336,6.323928307491208,,,,16.878807067871094,9.281906127929688
0.4,6,8,9.124398515752604,4.6693533924616775,4.455045123290927,,,,16.896717071533203,10.16462230682373
0.6,10,8,8.510480990065481,6.167255208242904,2.3432257818225777,,,,16.857057571411133,12.814959526062012
0.8,13,8,11.15644370461824,6.603349552243917,4.553094152374324,,,,16.791399002075195,13.80284309387207
0.92,15,8,9.4802395634856,5.186147155727046,4.294092407758554,,,,16.895980834960938,10.253710746765137
0.98,16,8,10.001666883330516,5.549660349515032,4.452006533815484,106105,44263,61842,16.89548110961914,10.402796745300293
0.2,3,9,8.813290155509025,2.6692077176607256,6.144082437848299,,,,16.877695083618164,9.014885902404785
0.4,6,9,9.234677231138855,5.2602410653370635,3.9744361658017917,,,,16.891225814819336,11.32730770111084
0.6,10,9,8.36876384610151,7.266826974464874,1.101936871636636,,,,16.880002975463867,10.940908432006836
0.8,13,9,11.207008667763716,6.993386942343871,4.213621725419846,,,,16.786914825439453,14.233168601989746
0.92,15,9,9.553070088542379,5.129011079457404,4.424059009084974,,,,16.885730743408203,10.766216278076172
