fact_key,fact_index,prompt_id,prompt_variant,layer,pos,token,entropy,entropy_bits,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass
Germany→Berlin,0,pos,orig,0,0,<bos>,17.53069305419922,17.53069305419922, informée,0.0016716786194592714,contentLoaded,0.00025453168200328946,RTSN,0.0001641248381929472, opérés,0.0001460812200093642, kohdetta,0.00013920388300903141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9976243797573261
Germany→Berlin,0,pos,orig,0,1,Give,14.033065795898438,14.033065795898438,"]"")]",0.022852616384625435, zijne,0.019148526713252068, mijne,0.010794800706207752, otomatig,0.004978014621883631, wikipagina,0.004854780156165361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9373712614178658
Germany→Berlin,0,pos,orig,0,2, the,17.502363204956055,17.502363204956055, Numerade,0.0005571825313381851, Roskov,0.00030453369254246354,RegistryLite,0.0002862125402316451, betweenstory,0.00025946248206309974,OGND,0.00021189246035646647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9983807162934681
Germany→Berlin,0,pos,orig,0,3, city,17.304872512817383,17.304872512817383, otomatig,0.0003691950987558812, pinulongan,0.00026628212071955204,Carriera,0.00025542720686644316,帖最后由,0.00020487075380515307,GOTREF,0.00020420707005541772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9987000177497976
Germany→Berlin,0,pos,orig,0,4, name,17.20403289794922,17.20403289794922,contentLoaded,0.0017239865846931934,MENAFN,0.0009571950067766011,berdayakan,0.0005600766162388027, mijne,0.0004973362665623426, boneka,0.00043521710904315114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9958261884166859
Germany→Berlin,0,pos,orig,0,5, only,17.33620262145996,17.33620262145996,ScopeManager,0.0006299468223005533,parsedMessage,0.000531031284481287, saites,0.0005138013511896133,XmlEnum,0.0003835604584310204,➯,0.00031862815376371145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9976230319298338
Germany→Berlin,0,pos,orig,0,6,",",17.43307876586914,17.43307876586914, Lazar,0.00011312473361613229, Essen,9.495649283053353e-05,公,7.612133049406111e-05,ich,7.604137499583885e-05,walk,7.470956916222349e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9995650464989012
Germany→Berlin,0,pos,orig,0,7, plain,17.068449020385742,17.068449020385742,contentLoaded,0.00164458726067096, Komunikasi,0.0008739456534385681, Lingkungan,0.00037612536107189953, Biôgrafia,0.000365175015758723,asantry,0.00032784030190669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9964123264071532
Germany→Berlin,0,pos,orig,0,8, text,17.13041114807129,17.13041114807129, nahilalakip,0.0032582611311227083, Wikimedijinoj,0.0008557934779673815,IsMutable,0.0007881916826590896,contentLoaded,0.0007057517068460584, يتيمه,0.0006489974912256002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9937430045101792
Germany→Berlin,0,pos,orig,0,9,.,17.539531707763672,17.539531707763672,Portale,0.0001994211197597906,RTGC,0.0001990362798096612, Roskov,0.00012477235577534884,徊,9.616764145903289e-05,ﬅ,9.336911170976236e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9992872334914864
Germany→Berlin,0,pos,orig,0,10, The,17.247556686401367,17.247556686401367, Roskov,0.0011540077393874526, Савезне,0.0011080835247412324,contentLoaded,0.001016221009194851,:✨,0.0007599241798743606, kasarigan,0.0005133273079991341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.995448436238803
Germany→Berlin,0,pos,orig,0,11, capital,16.87696075439453,16.87696075439453, pinulongan,0.0035552680492401123,contentLoaded,0.003383342642337084, Савезне,0.0016904682852327824, Numerade,0.0015524722402915359, صوتيه,0.0012011430226266384, itſelf,0.0011712731793522835, informée,0.0010199763346463442, otomatig,0.0009973220294341445,intios,0.0009203085792250931, Roskov,0.0008305372321046889,Personendaten,0.0006766662700101733, betweenstory,0.0006692495662719011, GetEnumerator,0.0006621491047553718,"}(),",0.0006017349660396576,localctx,0.0005745051894336939,⟬,0.0005402625538408756, queſta,0.0005356723559089005,例文帳に追加,0.0005176679114811122,IndentedString,0.0004870800767093897, snippetHide,0.0004712982045020908,0.9779416022065561
Germany→Berlin,0,pos,orig,0,12, of,17.48557472229004,17.48557472229004,évaluateur,0.00016378698637709022,şört,0.0001573998888488859,lawn,0.00012689974391832948,➯,0.00011864316184073687," [];",0.00011765217641368508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9993156180426013
Germany→Berlin,0,pos,orig,0,13, Germany,17.17447280883789,17.17447280883789, Signalez,0.0004222835414111614,ſelf,0.000394485832657665, otomatig,0.0003667229611892253,guenos,0.00030876853270456195, keluarganya,0.0002707616949919611, opérés,0.0002630499948281795, متعلقه,0.0002625582565087825,+#+#,0.0002437983639538288, itſelf,0.00023422125377692282,dcmtk,0.00023248432262334973, overras,0.0002214892883785069, impré,0.00021460057178046554, fæ,0.00021133990958333015, sessionFactory,0.00020051964384038,RTSN,0.00019569713913369924, obviously,0.00019014977442566305, Biôgrafia,0.00018924279720522463, tør,0.0001879958581412211,MigrationBuilder,0.0001878188195405528, للمعارف,0.0001857511670095846,0.9950162602763157
Germany→Berlin,0,pos,orig,0,14, is,17.625425338745117,17.625425338745117, Wikimedijinoj,0.0001078411441994831, acrí,6.952523108338937e-05, résine,6.239130743779242e-05,ఔ,6.138510798336938e-05, informée,5.9690381021937355e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999639166828274
Germany→Berlin,0,pos,orig,0,15, called,17.073060989379883,17.073060989379883,Personendaten,0.00104995328001678,contentLoaded,0.000786921416874975, miniaturka,0.0006066749920137227, ligiloj,0.00041986457654275, 收納,0.0004169405438005924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9967196451907512
Germany→Berlin,0,pos,orig,0,16, simply,16.7889347076416,16.7889347076416,ſelf,0.0017402993980795145, itſelf,0.0017257767030969262, ſtand,0.0013433456188067794,AddTagHelper,0.001056648325175047,contentLoaded,0.0009708600700832903,jména,0.0008465698920190334, houſe,0.0006905375048518181, Anſ,0.0006639529601670802, feroit,0.0006204618839547038,PyExc,0.0006145054358057678, ainfi,0.0006093826959840953, élastique,0.0005754665471613407, kasarigan,0.0005569536588154733, Inscrivez,0.0005457880906760693, Biôgrafia,0.0005364830722101033, myſelf,0.0005349070997908711, poffe,0.0005267617525532842, commandement,0.0005071273189969361, ligiloj,0.0005064282449893653,følgelig,0.0004886127426289022,0.9843391309841536
Germany→Berlin,0,pos,orig,1,0,<bos>,17.668054580688477,17.668054580688477,contentLoaded,0.00023598471307195723, informée,0.00017076788935810328, Roskov,0.000152534747030586,oa̍t,0.00012435387179721147, noDo,0.00011957084643654525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9991967879323056
Germany→Berlin,0,pos,orig,1,1,Give,10.724418640136719,10.724418640136719, mijne,0.06437374651432037, utafitiHapana,0.04790553078055382,"]"")]",0.04606590047478676, zijne,0.027421321719884872,Дереккөздер,0.021470164880156517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7927633356302977
Germany→Berlin,0,pos,orig,1,2, the,17.298389434814453,17.298389434814453,OGND,0.0005566980107687414, Numerade,0.00044831386185251176, հղումներ,0.00030285754473879933,,0.0002815324696712196, fédé,0.00027987529756501317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9981307228154037
