pos_frac,pos_index,layer,kl_bits_baseline,kl_bits_tuned,delta_kl_bits_tuned,answer_rank_baseline,answer_rank_tuned,rank_shift_tuned,entropy_bits_baseline,entropy_bits_tuned
0.2,3,1,9.728863874948308,3.168057327083022,6.560806547865286,,,,16.943614959716797,10.910340309143066
0.4,6,1,11.057158120275142,6.071899771437321,4.985258348837821,,,,16.947093963623047,11.158635139465332
0.6,10,1,9.139376828781549,5.1046033016469545,4.034773527134594,,,,16.932538986206055,12.231281280517578
0.8,13,1,12.24571783763715,6.4843341181938365,5.761383719443313,,,,16.94125747680664,11.682618141174316
0.92,15,1,12.538038813100476,7.499282165024064,5.038756648076412,,,,16.943330764770508,11.478449821472168
0.98,16,1,12.077454139616599,7.407748182720653,4.669705956895946,13624,15556,-1932,16.941730499267578,11.453639030456543
0.2,3,2,9.800476762836977,2.6987159849478135,7.101760777889163,,,,16.886619567871094,9.704415321350098
0.4,6,2,10.940075771220759,6.485422424408497,4.454653346812262,,,,16.894084930419922,9.672786712646484
0.6,10,2,9.290952018292977,5.049285769927535,4.2416662483654415,,,,16.88876724243164,12.187535285949707
0.8,13,2,12.198878018709362,6.4562720530178535,5.742605965691508,,,,16.887910842895508,11.330074310302734
0.92,15,2,12.554600054447961,7.4466630410966825,5.107937013351279,,,,16.882829666137695,10.892023086547852
0.98,16,2,12.158364409610913,7.416310167011207,4.742054242599706,22240,14408,7832,16.876014709472656,11.263833999633789
0.2,3,3,9.763316127499749,3.1521069681114016,6.6112091593883475,,,,16.902067184448242,10.610129356384277
0.4,6,3,11.105613200259834,5.915368729858631,5.190244470401202,,,,16.903263092041016,10.469076156616211
0.6,10,3,9.12866712514702,5.288427645952271,3.840239479194749,,,,16.900331497192383,11.541141510009766
0.8,13,3,12.24068080975868,6.344214349091079,5.896466460667602,,,,16.908916473388672,11.639396667480469
0.92,15,3,12.412861584635282,7.14962079790187,5.2632407867334114,,,,16.89432716369629,9.990716934204102
0.98,16,3,12.018999300380141,7.253274741576885,4.765724558803257,10794,13632,-2838,16.893674850463867,10.768664360046387
0.2,3,4,9.780218582426546,3.2689224000916455,6.511296182334901,,,,16.903564453125,11.005871772766113
0.4,6,4,11.194527542825302,6.384452098017545,4.810075444807757,,,,16.902278900146484,11.0919189453125
0.6,10,4,8.987335910251584,5.676167691801998,3.311168218449586,,,,16.89727020263672,11.085110664367676
0.8,13,4,12.440458608723333,7.123126526571153,5.31733208215218,,,,16.899120330810547,12.552949905395508
0.92,15,4,12.501987121896011,7.169472411325662,5.332514710570349,,,,16.901674270629883,10.436684608459473
0.98,16,4,12.146966775372933,7.362681848888562,4.7842849264843705,4798,10788,-5990,16.898880004882812,11.223163604736328
0.2,3,5,9.892764717081771,3.31918604963281,6.573578667448961,,,,16.886140823364258,11.3707275390625
0.4,6,5,11.19655625017488,6.173189297628274,5.023366952546605,,,,16.87538719177246,11.121577262878418
0.6,10,5,8.936538426562143,5.636870000045149,3.2996684265169938,,,,16.88132095336914,10.920770645141602
0.8,13,5,12.480265025161435,7.159998231054932,5.3202667941065025,,,,16.8780517578125,12.534605026245117
