layer,kl_bits_baseline,kl_bits_tuned,kl_bits_rot_only,kl_bits_temp_only,delta_kl_bits_tuned,delta_kl_bits_rot_only,delta_kl_bits_temp_only,delta_kl_bits_interaction,answer_rank_baseline,answer_rank_tuned,answer_rank_rot_only,answer_rank_temp_only,rank_shift_tuned,rank_shift_rot_only,rank_shift_temp_only,entropy_bits_baseline,entropy_bits_tuned
1,9.886943448315368,5.2425447384938835,8.330851990545312,9.988541167416667,4.644398709821484,1.556091457770055,-0.10159771910129933,3.1899049711527283,76646,21750,21750,76646,54896,54896,0,16.974491119384766,10.601680755615234
2,10.047505763230282,5.502763432347158,8.47578933766404,10.353434006029874,4.544742330883124,1.5717164255662421,-0.30592824279959174,3.2789541481164735,95405,26767,26767,95405,68638,68638,0,16.94428253173828,11.23917293548584
3,10.359053711129466,5.3053679370622575,8.402255747530534,11.180810894523088,5.053685774067208,1.956797963598932,-0.8217571833936219,3.918644993861898,56263,15743,15743,56263,40520,40520,0,16.809938430786133,9.829100608825684
4,10.181313769046374,5.123569204418803,8.412567827276268,10.77340325668599,5.057744564627572,1.7687459417701064,-0.5920894876396154,3.881088110497081,33721,10209,10209,33721,23512,23512,0,16.87015151977539,9.368544578552246
5,10.087709803557178,5.063744351385572,8.397488388448616,10.531281265287104,5.023965452171606,1.690221415108562,-0.4435714617299258,3.7773154987929702,49098,15595,15595,49098,33503,33503,0,16.903316497802734,8.989911079406738
6,10.040906444951375,5.234643511547945,8.384095067530025,10.379430215603692,4.80626293340343,1.6568113774213504,-0.3385237706523174,3.4879753266343974,77665,24889,24889,77665,52776,52776,0,16.909854888916016,9.600696563720703
7,10.038907318617746,5.7674639940819175,8.503440708269762,10.383292258011467,4.271443324535828,1.5354666103479833,-0.3443849393937217,3.0803616535815666,51626,17894,17894,51626,33732,33732,0,16.898488998413086,11.148944854736328
8,10.001666883330516,5.549660349515032,8.402109218311999,10.310868987871931,4.452006533815484,1.5995576650185175,-0.3092021045414146,3.1616509733383813,106105,44263,44263,106105,61842,61842,0,16.89548110961914,10.402796745300293
9,10.05148406591004,5.398694666518262,8.426025813671584,10.445263110562164,4.652789399391779,1.625458252238456,-0.3937790446521241,3.4211101918054467,78857,28119,28119,78857,50738,50738,0,16.883867263793945,10.231111526489258
10,10.26913911746658,5.891291158737838,8.699471349237415,10.947587285479843,4.377847958728742,1.5696677682291647,-0.6784481680132632,3.4866283585128404,74870,26204,26204,74870,48666,48666,0,16.831693649291992,11.783164024353027
11,10.250260237916068,5.400514930894994,8.555300356810934,10.873906478197199,4.849745307021074,1.6949598811051345,-0.6236462402811309,3.7784316661970703,69626,22542,22542,69626,47084,47084,0,16.83797836303711,10.820540428161621
12,10.103984865773628,4.569844574637758,8.29964057906673,10.588526722522696,5.53414029113587,1.8043442867068968,-0.48454185674906824,4.214337861178041,85852,34247,34247,85852,51605,51605,0,16.836463928222656,9.019389152526855
13,9.965729388606224,4.8576049141655036,8.139812286105698,10.282784220986036,5.108124474440721,1.8259171025005259,-0.3170548323798119,3.5992622043200067,35044,14729,14729,35044,20315,20315,0,16.869531631469727,7.842858791351318
14,9.947733811950542,4.901525499577546,8.100428946988718,10.311937344099091,5.046208312372996,1.8473048649618242,-0.36420353214854906,3.5631069795597208,36832,16349,16349,36832,20483,20483,0,16.81354331970215,8.056832313537598
15,10.065308031386394,5.080387800440169,8.200016532866732,10.530143428068996,4.984920230946225,1.865291498519662,-0.4648353966826022,3.584464129109165,32426,13342,13342,32426,19084,19084,0,16.81283950805664,8.466950416564941
