layer,kl_bits_baseline,kl_bits_tuned,kl_bits_rot_only,kl_bits_temp_only,delta_kl_bits_tuned,delta_kl_bits_rot_only,delta_kl_bits_temp_only,delta_kl_bits_interaction,answer_rank_baseline,answer_rank_tuned,answer_rank_rot_only,answer_rank_temp_only,rank_shift_tuned,rank_shift_rot_only,rank_shift_temp_only,entropy_bits_baseline,entropy_bits_tuned
1,11.951375722060884,6.738719848460448,9.6269455801858,12.022857215204295,5.212655873600436,2.3244301418750837,-0.0714814931434109,2.9597072248687635,54858,25204,25204,54858,29654,29654,0,15.941791534423828,11.431293487548828
2,11.962059284332481,6.676197275565783,9.584469305075704,12.049404457191478,5.285862008766698,2.3775899792567774,-0.08734517285899734,2.9956172023689183,52779,25923,25923,52779,26856,26856,0,15.931811332702637,11.322379112243652
3,12.958962911434183,6.780676048034335,9.387506518140375,13.470473711630348,6.178286863399848,3.5714563932938077,-0.5115108001961648,3.1183412703022046,42087,19083,19083,42087,23004,23004,0,15.841251373291016,11.371092796325684
4,13.016870157910294,6.755169645050174,9.354646824935923,13.553013001293634,6.26170051286012,3.6622233329743707,-0.53614284338334,3.135620023269089,41295,18911,18911,41295,22384,22384,0,15.826498031616211,11.309856414794922
5,12.805785531547317,6.6978526430318235,9.435634831088427,13.27925376937263,6.107932888515493,3.3701507004588898,-0.47346823782531366,3.211250425881917,37524,17974,17974,37524,19550,19550,0,15.864400863647461,11.259393692016602
6,12.866145938555336,6.73021083482636,9.512210450350393,13.427296435235336,6.135935103728976,3.353935488204943,-0.5611504966799998,3.3431501122040332,33251,17346,17346,33251,15905,15905,0,15.831208229064941,11.09889030456543
7,12.697989557708922,6.685685902379185,9.542658946789748,13.185546614292916,6.012303655329737,3.155330610919174,-0.4875570565839933,3.3445301009945565,31636,17144,17144,31636,14492,14492,0,15.862462043762207,11.107453346252441
8,12.643604515922481,6.7370701908733714,9.561409183317416,13.10895104504345,5.90653432504911,3.0821953326050657,-0.46534652912096774,3.289685521565012,32486,17529,17529,32486,14957,14957,0,15.87265682220459,11.13410758972168
9,12.754032512249681,6.82178471710477,9.575941717315322,13.293288929544241,5.932247795144911,3.1780907949343593,-0.5392564172945598,3.2934134175051115,40370,22434,22434,40370,17936,17936,0,15.837039947509766,11.075052261352539
10,12.900121455198585,6.917260541765957,9.534153372808678,13.515501521348645,5.982860913432628,3.365968082389907,-0.6153800661500597,3.2322728971927805,39892,22855,22855,39892,17037,17037,0,15.798983573913574,11.13209056854248
11,13.189088081039483,7.214701096780168,9.605493840178381,13.94479911098756,5.974386984259315,3.5835942408611015,-0.7557110299480776,3.146503773346291,35482,19560,19560,35482,15922,15922,0,15.704883575439453,11.301191329956055
12,12.861192838210487,7.070578259495927,9.704425140260703,13.553559218192774,5.7906145787145595,3.1567676979497836,-0.6923663799822872,3.326213260747063,33651,19959,19959,33651,13692,13692,0,15.774760246276855,11.120174407958984
13,12.887105808181287,6.848834836363077,9.59570458769127,13.539343820203058,6.038270971818211,3.291401220490018,-0.6522380120217708,3.3991077633499636,27866,15314,15314,27866,12552,12552,0,15.786079406738281,10.909856796264648
14,12.993746058605884,6.877375701239061,9.526839982563388,13.678040260887276,6.116370357366823,3.4669060760424966,-0.6842942022813912,3.3337584836057177,33713,19155,19155,33713,14558,14558,0,15.742181777954102,10.872077941894531
15,13.001629743321436,6.898034257260702,9.530950367919008,13.67694094778296,6.103595486060734,3.470679375402428,-0.6753112044615239,3.3082273151198303,34389,18815,18815,34389,15574,15574,0,15.756646156311035,10.992536544799805
16,13.117114029584002,6.882526237667101,9.466589644451922,13.848836919389734,6.234587791916901,3.65052438513208,-0.7317228898057326,3.315786296590554,32158,17546,17546,32158,14612,14612,0,15.715792655944824,10.807003021240234
17,13.094873233174424,6.876928546346818,9.425161087650881,13.796678021036062,6.217944686827606,3.669712145523542,-0.7018047878616382,3.2500373291657016,32510,17917,17917,32510,14593,14593,0,15.718061447143555,10.765632629394531
18,13.09426647838218,6.881093966150716,9.548644630970378,13.866033808614809,6.213172512231464,3.5456218474118018,-0.7717673302326293,3.439317995052291,43712,26685,26685,43712,17027,17027,0,15.721052169799805,10.775527954101562
19,13.219259341445648,6.860527592829937,9.456765995434639,13.984861437610148,6.35873174861571,3.7624933460110093,-0.7656020961644998,3.361840498769201,41039,23375,23375,41039,17664,17664,0,15.699408531188965,10.91290283203125
20,13.473482720089844,7.068749739951953,9.470085019848057,14.315970692218468,6.404732980137891,4.003397700241788,-0.8424879721286231,3.2438232520247263,44678,26499,26499,44678,18179,18179,0,15.605080604553223,11.120393753051758
21,13.483867720479545,6.961773091462269,9.463381136117425,14.364340468808331,6.522094629017276,4.02048658436212,-0.8804727483287866,3.3820807929839427,41423,23774,23774,41423,17649,17649,0,15.612422943115234,11.06994342803955
22,13.394407848945539,6.895810865550348,9.467156499269166,14.29872152026753,6.498596983395191,3.9272513496763732,-0.9043136713219919,3.4756593050408098,38950,21896,21896,38950,17054,17054,0,15.622199058532715,10.943459510803223
23,13.468046692461373,6.964026752119175,9.48784394837615,14.358707693027272,6.504019940342197,3.980202744085222,-0.890661000565899,3.4144781968228743,35153,17922,17922,35153,17231,17231,0,15.608107566833496,11.15870475769043
24,13.509355549337412,7.054039031927752,9.577607885236882,14.524124734210742,6.45531651740966,3.9317476641005307,-1.0147691848733302,3.5383380381824594,39306,22694,22694,39306,16612,16612,0,15.554929733276367,11.279871940612793
25,13.48417591338989,6.862646419088567,9.539600407326805,14.495406383239066,6.621529494301323,3.944575506063085,-1.0112304698491759,3.688184458087414,39139,22071,22071,39139,17068,17068,0,15.574372291564941,11.043461799621582
26,13.33669047131598,6.958684970983376,9.704321950670185,14.39467820842053,6.378005500332605,3.6323685206457963,-1.0579877371045487,3.803624716791357,36762,21131,21131,36762,15631,15631,0,15.595536231994629,11.000028610229492
27,14.258419793794944,7.381989309205025,9.415512173006874,15.416112064980096,6.876430484589919,4.84290762078807,-1.1576922711851516,3.191215134987001,36111,18991,18991,36111,17120,17120,0,15.252508163452148,11.3224458694458
28,13.723487708273678,6.9242843132271945,9.54685738726261,14.980525413764429,6.799203395046484,4.176630321011068,-1.2570377054907507,3.8796107795261667,43870,28140,28140,43870,15730,15730,0,15.448481559753418,10.81373119354248
29,13.556566850791064,6.897667590249062,9.616716740043085,14.832347913503448,6.658899260542002,3.9398501107479795,-1.2757810627123831,3.9948302125064057,44700,29750,29750,44700,14950,14950,0,15.479504585266113,10.548196792602539
