prompt_id,prompt_variant,layer,p_top1_raw,top1_token_id_raw,top1_token_str_raw,p_answer_raw,answer_rank_raw,p_top1_norm,top1_token_id_norm,top1_token_str_norm,p_answer_norm,answer_rank_norm,kl_norm_vs_raw_bits,kl_raw_to_norm_bits,js_divergence,entropy_bits_norm,entropy_bits_raw,entropy_gap_bits,l1_prob_diff,topk_jaccard_raw_norm@50,topk_jaccard_consecutive@50,norm_only_semantics
pos,orig,0,8.097964382614009e-06,10969,apon,7.865100997150876e-06,15299,9.172249519906472e-06,54826, winding,7.510596788051771e-06,115765,0.0005976704049410775,0.0005979421509655854,0.00014909671881008473,16.96805323741953,16.968624219820395,14.371102654657605,0.022680053487420082,0.010101010101010102,,False
pos,orig,1,8.175576112989802e-06,10969,apon,7.927695151010994e-06,4993,1.3177843356970698e-05,58871,cepts,9.192486686515622e-06,7516,0.007621318463587634,0.007608983411038837,0.001900540386130621,16.960091128615183,16.96860358190229,14.363140545853259,0.08091605454683304,0.08695652173913043,0.0,False
pos,orig,2,8.19900378701277e-06,16080,uni,7.952926353027578e-06,3604,1.195540426124353e-05,116391,улю,8.942381100496277e-06,6551,0.0045076370632105576,0.004495802842951676,0.0011247867328476185,16.963351919675542,16.96859119915143,14.366401336913619,0.062119029462337494,0.07526881720430108,0.17647058823529413,False
pos,orig,3,8.303175491164438e-06,5700,alls,8.000100933713838e-06,1915,1.2383183275233023e-05,39068,zier,9.261398190574255e-06,3648,0.004921453521668442,0.004918195256603268,0.001228479339028716,16.962564927065195,16.968565057788496,14.365614344303271,0.065098837018013,0.25,0.07526881720430108,False
pos,orig,4,8.335050551977474e-06,5700,alls,8.04508545115823e-06,2005,1.4593974810850341e-05,5700,alls,8.979392987384927e-06,12970,0.008130843267250672,0.008125445967965392,0.0020284372830712575,16.958612077817765,16.968521030229876,14.361661495055841,0.08354034274816513,0.16279069767441862,0.20481927710843373,False
pos,orig,5,8.412611350649968e-06,80071, �,8.030816388782114e-06,3439,1.512286235083593e-05,5700,alls,9.79122251010267e-06,4048,0.009220280805285731,0.009217167650582224,0.002299981177578788,16.95717980630138,16.968493513005736,14.360229223539456,0.08894946426153183,0.25,0.3333333333333333,False
pos,orig,6,8.431077731074765e-06,28678, backs,8.069097020779736e-06,2672,1.4689461750094779e-05,5700,alls,9.950924322765786e-06,3675,0.009803707091470304,0.009798557017245638,0.002445051902617717,16.95612176903327,16.968464619920393,14.359171186271347,0.09169396758079529,0.2987012987012987,0.3888888888888889,False
pos,orig,7,8.478085874230601e-06,124209, поба,8.037352017709054e-06,5933,1.5547908333246596e-05,80306,NodeId,9.764133210410364e-06,6852,0.012345023511703654,0.012335251403737051,0.003078164295744987,16.953330146644465,16.968435726835047,14.356379563882541,0.10287129133939743,0.13636363636363635,0.3888888888888889,False
pos,orig,8,8.635375706944615e-06,8843,inds,7.883751095505431e-06,35751,1.3559681065089535e-05,8843,inds,8.31869419926079e-06,33123,0.0065148660638400645,0.006510172818531754,0.0016267876734269754,16.95937430492639,16.968379316525564,14.362423722164465,0.07479532808065414,0.3888888888888889,0.19047619047619047,False
pos,orig,9,8.782973054621834e-06,8843,inds,7.977548193593975e-06,19792,1.3464275980368257e-05,80306,NodeId,8.60668660607189e-06,21575,0.006005225037526249,0.006002627158968098,0.0014992778214266836,16.95967149094708,16.96827062349022,14.362720908185157,0.07196824252605438,0.3698630136986301,0.3698630136986301,False
pos,orig,10,8.830220394884236e-06,8843,inds,7.960831680975389e-06,25806,1.610312392585911e-05,8843,inds,8.436813004664145e-06,34376,0.011477083504606373,0.011465035313744756,0.0028618635296343534,16.952386305856532,16.968182568372978,14.355435723094608,0.09935150295495987,0.4084507042253521,0.26582278481012656,False
pos,orig,11,8.998090379463974e-06,8843,inds,7.952250598464161e-06,30316,1.4594209460483398e-05,8843,inds,8.381873158214148e-06,34013,0.007987568282937355,0.00798089119087905,0.0019937099718138574,16.95602408288758,16.9680669960316,14.359073500125657,0.08294093608856201,0.5384615384615384,0.42857142857142855,False
pos,orig,12,9.185752787743695e-06,7792,lik,8.008870281628333e-06,26048,1.4445015949604567e-05,24235,lia,8.561233698856086e-06,27354,0.007161185599276489,0.007166034703862144,0.001789160625721017,16.956355665438444,16.96785236168332,14.35940508267652,0.07869751006364822,0.42857142857142855,0.35135135135135137,False
pos,orig,13,9.493448487774003e-06,90774,xes,7.898736839706544e-06,46584,1.4285424185800366e-05,6910,eds,8.17611362435855e-06,43145,0.006995843762881567,0.007001361987468235,0.001747674513850974,16.955209573053093,16.967491886047114,14.35825899029117,0.07777126133441925,0.5873015873015873,0.2987012987012987,False
pos,orig,14,9.818978469411377e-06,60086,ouns,7.990120138856582e-06,36904,1.6737112673581578e-05,100229,idders,8.161266123352107e-06,45619,0.009593142551392451,0.00960397208393897,0.0023949958818190354,16.95043671052635,16.967068120795386,14.353486127764427,0.09108737111091614,0.3333333333333333,0.3157894736842105,False
pos,orig,15,1.0087876034958754e-05,38071,/plain,8.367808732145932e-06,10339,1.5133846318349242e-05,65815, Kok,9.184886039292905e-06,14437,0.007124473349582348,0.007137423777553764,0.0017799834870324232,16.953258601861705,16.966713148604008,14.356308019099782,0.07840757071971893,0.4084507042253521,0.2987012987012987,False
pos,orig,16,1.0530007784836926e-05,38071,/plain,8.62632441567257e-06,4924,1.5635583622497506e-05,38071,/plain,9.674986358731985e-06,8205,0.006936562149297832,0.006954569942096182,0.0017337752421431821,16.952197812871184,16.96622334201435,14.35524723010926,0.07737737149000168,0.3888888888888889,0.28205128205128205,False
pos,orig,17,1.0481625395186711e-05,60086,ouns,9.016615877044387e-06,1156,1.6829126252559945e-05,10184, nut,1.1240885214647278e-05,1608,0.009296070737930606,0.00932133942327007,0.0023230501980956446,16.948026201691857,16.965966055968657,14.351075618929933,0.08965298533439636,0.42857142857142855,0.3157894736842105,False
pos,orig,18,1.122829235100653e-05,10184, nut,8.739723853068426e-06,5826,1.9893999706255272e-05,10184, nut,1.0588081750029232e-05,4919,0.010472165362361934,0.010493330649140969,0.0026156462638398693,16.944301745404772,16.965199701276415,14.347351162642848,0.0952044203877449,0.4492753623188406,0.35135135135135137,False
pos,orig,19,1.1182983143953606e-05,16820,yt,9.062910066859331e-06,2920,1.701207111182157e-05,10184, nut,1.093692935683066e-05,2389,0.007326564385069058,0.007351555614022559,0.0018312390196401497,16.9475363951022,16.964434722445375,14.350585812340277,0.07974135875701904,0.5873015873015873,0.3333333333333333,False
pos,orig,20,1.1686609468597453e-05,10184, nut,8.673773663758766e-06,10392,1.865505510068033e-05,10184, nut,1.0137263416254427e-05,6991,0.007392519731674945,0.007408616232904136,0.0018464795544825023,16.946397182022885,16.964079750253994,14.349446599260961,0.07989475131034851,0.47058823529411764,0.2987012987012987,False
pos,orig,21,1.2162793609604705e-05,88069, burge,8.770774002186954e-06,8930,2.1775655113742687e-05,88069, burge,1.0511585060157813e-05,7500,0.011683216804195587,0.011695822595058048,0.002915376670438269,16.937979663159055,16.96369038153244,14.341029080397131,0.10042932629585266,0.6129032258064516,0.4084507042253521,False
pos,orig,22,1.2165322914370336e-05,5042, simply,8.634425284981262e-06,14354,2.144409518223256e-05,5042, simply,1.0117674719367642e-05,10765,0.010580056931681918,0.010584239603495482,0.002639419590261406,16.937846204621984,16.963014833679853,14.34089562186006,0.09553007781505585,0.5625,0.4492753623188406,False
pos,orig,23,1.2192422218504362e-05,5042, simply,8.153004273481201e-06,37492,2.2430009266827255e-05,7951, bur,8.80960033100564e-06,31268,0.011324795554496276,0.011334319093787803,0.002826436615122882,16.935748016281458,16.96257593395485,14.338797433519535,0.09885186702013016,0.6666666666666666,0.3698630136986301,False
pos,orig,24,1.2764966413669754e-05,59399,�,8.607473318988923e-06,17505,1.7653146642260253e-05,7951, bur,9.363684512209147e-06,13999,0.004358781376238187,0.004367722794564978,0.0010895826064087736,16.949744652339277,16.961966427440192,14.352794069577353,0.061227910220623016,0.3888888888888889,0.3888888888888889,False
pos,orig,25,1.3816500540997367e-05,59399,�,9.100548595597502e-06,7801,2.4044928068178706e-05,59399,�,1.0591597856546286e-05,7267,0.008476957008497614,0.008486326703933489,0.002116967787904097,16.93745683590043,16.96088362467036,14.340506253138507,0.08548040688037872,0.6666666666666666,0.4084507042253521,False
pos,orig,26,1.3456505257636309e-05,59399,�,9.741819667397067e-06,1726,2.342132938792929e-05,59399,�,1.2017943845421541e-05,1837,0.00821619570400641,0.008226112250527448,0.002052063735637151,16.938280976763366,16.961173931385016,14.341330394001442,0.08419180661439896,0.6129032258064516,0.3888888888888889,False
pos,orig,27,1.319019247603137e-05,4458,za,9.815842531679664e-06,1732,2.0945615688106045e-05,4458,za,1.198865174956154e-05,1984,0.008996428590007039,0.00901832950570285,0.0022469840687033642,16.937250456719397,16.960645600681566,14.340299873957473,0.08816666156053543,0.42857142857142855,0.3888888888888889,False
